file,title,decision_bucket,novelty_potential_0to4,fit_0to4,mechanism_A,network_gap_B,candidate_increment_X,strong_control,missing_assumption_or_evidence,decision_and_reason,evidence_depth,source_csv
GustavSNN.md,GustavSNN: Unleashing the Power of Gustavson's Algorithm on SNN Acceleration with Column-Parallel Tick-Batch Dataflow,保留强底座,2,4,CPTB柱并行时间批、每PE膜驻留、NRV/NR4双缓冲、L1D/merger、双口共享W与同k-ID屏障,残差PSN双消费者改变last-use；2×4功能切片不能外推8×8净服务；稠密/广播分母已被否定,无标题级 X；差分只在lifting源字打包后并集费用是否下降,完整Gustav CPTB/NRV、普通稠密供数、最优普通GP、class序与packed-time,8×8调度/带宽未做；θg非因果T10未等价原LIF；完整producer→FC1→PSN→FC2→BN2未闭,保留强底座；2×4 GP切片仅功能且NR4+W驻留后class对packed-time约1.70%十帧，不得当标题或冒用原作PPA,card only; 已逐字读卡，卡内引用未当本轮全文证据,review_batch1_named_os.csv
arxiv_2407.20421.md,Event-based Optical Flow on Neuromorphic Processor: ANN vs. SNN Comparison based on Activation Sparsification,保留强底座,2,4,SENECA同核ANN/SNN稀疏训练、group4和空间有序完成,相同nnz下像素支持决定状态访存；满T10改变就绪,在普通T10窄门缓存之后仍省供权/halo才有增量,SENECA训练+group4、GP权复用、层先T10窄门缓存,LIF膜不能如ANN三行即释放；原权不复用须补强,重点保留完整底座；以真实支持和消费者时序区别，不以AC/MAC常数代替结果,primary text inspected; 本轮已读原文相关方法段,review_part_b.csv
arxiv_2505.12281.md,Bishop: Sparsified Bundling Spiking Transformers on Heterogeneous Cores with Error-Constrained Pruning,保留完整迁移,2,4,Bishop TTB/BSA、稀密分流与QK误差约束剪枝,活动束不同于完整T10/双PED消费者请求,改变束目标使真实请求并集收缩，须胜原BSA,完整BSA+ECP+稀密core/GP、同边际束打乱控制,ECP约束attention误差非门无损；训练L0 tag的可导定义须核工件,重点保留完整迁移；束OR/生存损失是A，差分必须落实双消费者,primary text inspected; 本轮已读原文相关方法段,review_part_b.csv
arxiv_2512.17555.md,A 28nm 0.22μJ/Token Memory-Compute-Intensity-Aware CNN-Transformer Accelerator with Hybrid-Attention-Based Layer-Fusion and Cascaded Pruning for Semantic-Segmentation,保留强底座,2,4,CFMP两因子扩Z、预训tile mask、FMS/DRU恢复及KV权复用,稠密输出使普通零跳过不足，latent可重设支持,两个真实消费者的依赖驱动生产与共享mask可检验,完整CFMP与普通共享/分组低秩、R32preview/R16Conv2,Z容量/TC→TR搬移/第二因子连续MAC；短文未给完整训练recipe,重点保留全方法迁入；分解、同mask恢复本身均属A,primary text inspected; 本轮已读相关方法段，别名不另计全文,review_part_b.csv
arxiv_2607.05445.md,BitFair: A 12-nm Bit-Serial CNN Accelerator with Learnable Early Termination and Adaptive Bit Ordering for Ultra-Low-Power XR Vision,保留强底座,2,4,BitFair全输入bit-plane归约、学习阈值/生存loss/位序及PE终止,多T门与连续消费者共享节点未必可一起停,训练改变未发射节点的需求并集才是候选差分,完整BitFair、BitSET/FGIE、exact宽度header、whole-word与普通低位whole,原法有损ReLU置零；权bit-plane不是lifting RNE层；检查/余量状态需收费,重点保留强条件计算底座；当前不认定新X或晶圆实测,primary text inspected; 本轮已读相关方法段，别名不另计全文,review_part_b.csv
gustavsnn_hpca2026.md,GustavSNN: Unleashing the Power of Gustavson's Algorithm on SNN Acceleration with Column-Parallel Tick-Batch Dataflow,保留强底座,2,4,CPTB列分块膜in-situ驻留、NRV行跳、NR=4 merger与列主序time-second供数,相对naive/ex-situ GP、IP tick-batch与FTP，局部膜+NRV列主序尚未在残差双消费者上闭合,无标题级 X；NRV打包边界与lifting因子组对齐或共享请求同步只可挂接口,naive/ex-situ GP、IP tick-batch、FTP/temporal-parallel、ordinary序加同Gustav部件,原评测为分类SNN/LIF；无残差PED双消费者与finite背压合同；P过小会撞共享W-BUF,保留强底座；合并GustavSNN.md同文不另计先验，列主序/NRV须胜ordinary序才谈对齐,card only; 已逐字读卡，卡内引用未当本轮全文证据,review_batch1_named_os.csv
isscc2025_convformer.md,ISSCC25-ConvFormer,保留对照/底座,2,4,与2512.17555同ISSCC短文；CFMP和DR-LFS完整接口,稀疏latent恢复为密集输出的实际费用,同第54条，聚焦未完成消费者对生产端的需求,完整FMS/DRU和普通低秩/分组/preview-only,卡把early decoder-stop与神经门证书混联；训练recipe仍缺,合并同文证据并保留此行；不用两张卡算两套独立先验,primary text inspected; 本轮已读相关方法段，别名不另计全文,review_part_b.csv
unresolved_Bishop.md,Bishop: Sparsified Bundling Spiking Transformers with Error-Constrained Pruning,保留对照/底座,2,4,Bishop重复别名，已能对应2505.12281,同第46条束级稀疏与实际消费者,同第46条，非另一候选,完整TTB/BSA/ECP与同资源GP,原卡unresolved已被同包实名卡及原文消解,合并到已核Bishop；保留记录但不重复计全文数量,primary text inspected; 本轮已读相关方法段，别名不另计全文,review_part_b.csv
ExSpike_APEC.md,ExSpike: A General Full-Event Neuromorphic Architecture for Exploiting Irregular Sparsity with Event Compression,保留完整迁移,2,3,APEC公共通道贡献、残差重建及事件压缩,GP后重复贡献尚可能存在，当前相同源不是免费交集,换真实θg支持后连检测和重建共同优化，尚无具体新电路,完整Prosperity和完整ExSpike同缓存/端口；普通跨位置共享,压缩器、检测、冷启动、残差布局及当前支持分布未闭,保留完整迁移；只停止旧G4融合，不将旧慢例外推全族,card only; 已逐字读卡，卡内引用未当本轮全文证据,review_part_b.csv
Phi.md,Phi: Leveraging Pattern-based Hierarchical Sparsity for High-Efficiency Spiking Neural Networks,保留对照/底座,2,3,Phi的层次模式、PAFT训练、PWP及预取,自然/训练支持决定可复用模式和物理字触达,按实际双消费者共同支持改变取数单元可测,完整Phi、onehot类归约、GP、同精度窄稠密,模式生产与表冲突尚未迁全；卡不能只比平坦稠密,保留训练及存储迁移；旧q8/cap16变体失败仅限该布局,card only; 已逐字读卡，卡内引用未当本轮全文证据,review_part_b.csv
VENOM.md,VENOM: A Vectorized N:M Format for Unleashing the Power of Sparse Tensor Cores,保留完整迁移,2,3,V:N:M格式、二阶补偿、Spatha内核,H8共mask能省W却未必省P4物理源码字,双消费者误差下选组并对齐真实字，潜在接口增量,完整VENOM/HiNM、2:4、同GT预算hidden及R16,本地半槽/少步不等同原高稀疏全训练和索引格式,保留完整迁移；不能因已有共mask否定任务共设,card only; 已逐字读卡，卡内引用未当本轮全文证据,review_part_b.csv
arxiv_2107.07305.md,"Training for temporal sparsity in deep neural networks, application in video processing",保留对照/底座,2,3,Delta层保存旧激活并传播量化差分,跨帧稀疏可能省生产但旧连续基值昂贵,训练改变producer使差分省下完整存储后仍有余量,普通DeltaCNN/Delta层、当前完整执行、静态减宽,真相邻时间、初始化/刷新、旧状态读写与动态BN,保留训练诱导时间稀疏；只停止旧1.529倍精确warp版本,card only; 已逐字读卡，卡内引用未当本轮全文证据,review_part_b.csv
arxiv_2204.10687.md,SNE: an Energy-Proportional Digital Accelerator for Sparse Event-Based Convolutions,保留对照/底座,2,3,SNE事件UPDATE/FIRE与卷积权缓存,稀疏卷积需明确何时所有输入到齐,完整T10完成标识与有限状态交接需新接口证据,同GP供数、先完成T10窄门缓存再下层的普通控制,原LIF复位/泄漏不同于非因果PSN；θ与τ不可混,保留事件执行底座；不能按首事件或单tick宣告本地门就绪,card only; 已逐字读卡，卡内引用未当本轮全文证据,review_part_b.csv
arxiv_2310.02065.md,VENOM: A Vectorized N:M Format for Unleashing the Power of Sparse Tensor Cores,保留完整迁移,2,3,VENOM向量N:M、二阶剪枝及column-loc,与VENOM.md同一物理字/精度矛盾,同第4条，不重复计算候选数量,完整VENOM/HiNM、2:4和窄稠密,GPU稀疏核优势不可当ASIC同端口结果,合并同文证据但保留此卡行；完整迁移未被否定,card only; 已逐字读卡，卡内引用未当本轮全文证据,review_part_b.csv
arxiv_2408.15578.md,FireFly-S: Exploiting Dual-Side Sparsity for Spiking Neural Networks Acceleration with Reconfigurable Spatial Architecture,保留对照/底座,2,3,FireFly-S权/尖峰双稀疏、膜静默通道剪枝、rewiring,物理源字稀疏和通道表达常冲突,双消费者共同支持训练仍有待测接口,完整FireFly-S训练、HiNM/2:4、hidden及Conv2R16,静默判据、剪枝量化恢复、H8∩W和producer成本,保留完整联合流程；不能只比单边稀疏或沿旧s2b3负例否决,card only; 已逐字读卡，卡内引用未当本轮全文证据,review_part_b.csv
arxiv_2503.03379.md,Prosperity: Accelerating Spiking Neural Networks via Product Sparsity,保留完整迁移,2,3,行间公共二进制子组合只算一次再复用，识别与矩阵乘流水重叠,GP后重复贡献仍可能存在，本地产品掩码负结果只否定已测布局,挂lifting源DAG公共虚节点或部分lane尚待同端口证明，无标题级X,仅比特稀疏零跳过、稠密脉冲矩阵乘、朴素行扫描、公共子表达式与普通部分通道,架构细部截断；原作PPA禁搬；联合图挂源DAG未试；消费者未接,保留完整迁移；只停止已列产品费用布局，不杀部分和复用家族,card only; 已逐字读卡，卡内引用未当本轮全文证据,review_batch2_arxiv_a.csv
arxiv_2505.12292.md,SpikeX: Exploring Accelerator Architecture and Network-Hardware Co-Optimization for Sparse Spiking Neural Networks,保留完整迁移,2,3,NTWU派发、激活诱导权裁剪与占用费用训练的网芯共设计,活动标志跳权不等于双PED真实请求并集；θg是连续幅值不是二值发放,按真实双消费者占用改producer仍可测，尚无新电路,完整SpikeX含硬件loss、普通静态窄层、HiNM/2:4、完整Prosperity同端口,调度Algo细步未迁；EDP倍率勿搬；非因果T10与连续θg未接,保留完整迁移；只停止照搬二值NTWU到PSN的布局，不将共设计负例外推全族,card only; 已逐字读卡，名称或摘录不计全文,review_batch3_arxiv_b.csv
arxiv_2508.19806.md,Context-aware Sparse Spatiotemporal Learning for Event-based Vision,保留对照/底座,2,3,CSSL输入条件阈值和卷积/循环稀疏训练,普通阈值稀疏未保证物理字/后继减少,按完整消费者请求学习支持仍可检验,原CSSL、SENECA/FATReLU、Bishop/SpikeX块目标,阈值支路必须先算；真实训练方法与部署零传播未核,保留较贴任务的训练对照；不得只胜逐spike正则,card only; 已逐字读卡，名称或摘录不计全文,review_part_b.csv
arxiv_2602.23204.md,Motion-aware Event Suppression for Event Cameras,保留对照/底座,2,3,过去事件预测IMO mask及time-conditioned flow并warp未来mask,输入抑制可早于卷积，但背景事件对全流也有用,任务保留集及不确定区域回退换取净源字减少可测,同因果静态mask/无warp/过去flow、普通事件滤波和完整父,预测器延迟/GRU状态/边界召回；不准用当前或GT flow作在线oracle,保留因果前端融合；旧精确warp差分失败不否此过滤，但未获AEE或费用证据,primary text inspected; 本轮已读相关方法段，别名不另计全文,review_part_b.csv
arxiv_2606.13354.md,SupraSNN: Exploiting Synapse-Level Parallelism in Spiking Neural Network Accelerators through Co-Optimized Mapping and Scheduling,保留对照/底座,2,3,SupraSNN组播树/同步归约与突触映射,广播、归约、状态持有互相约束,全T10消费者完成下的资源分配待实现,同扇出/缓冲普通组播归约及GP,中心LIF就绪不能替满T10；无缓冲树对负载/反压要求,保留互连强底座；不同并行维度须付同资源税,card only; 已逐字读卡，名称或摘录不计全文,review_part_b.csv
arxiv_2607.22790.md,The Sparsity Tax: Weight Sparsity Trade-offs in Event-Driven SIMD and SIMT Neuromorphic Cores,保留对照,2,3,SIMD、位图Sparse-SIMD与SIMT+RLC的稀疏税量化,中等稀疏下元数据/分歧税可吃掉跳零；本网要same-port不是门级功耗点,无标题级X；可作稀疏必赢的负对照,理想跳零、稠密无门控、完整GP、完整Prosperity,RTL门级≠AEE；SIMT分歧≠并集同步,保留对照；中等稀疏税大于收益则停该稀疏执行布局，不杀家族,card only; 已逐字读卡，名称或摘录不计全文,review_batch3_arxiv_b.csv
arxiv_2607.26648.md,The Sparsity Ceiling: Where Spiking Networks Can and Cannot Trade Activity for Energy,保留对照,2,3,双侧ρ⋆探针、记忆负载发放地板与注意逃避但付KV墙,递归发放地板说明不能任意降活动；本网T10门全被消费,无标题级X；可作F2杀门先验,单侧L1稀疏至静默、普通发放正则、当前满T10消费,代理pJ≠AEE；发放地板≠删字合同,保留对照；用天花板约束稀疏必省叙事，不把代理点当硬件收益,card only; 已逐字读卡，名称或摘录不计全文,review_batch3_arxiv_b.csv
