uid,name,full_title,venue,venue_norm,entity_type,precision_tier,relevance_score,precision_status,depth_bucket,read_flag,f_candidates,arxiv_id,source_url,abstract
MAIN-R001,Prosperity,Prosperity: Accelerating Spiking Neural Networks via Product Sparsity,HPCA 2025,HPCA 2025,paper,P0_high_rel,100,arxiv_abstract_verified,unclear,already_inventoried,"F1,F3,F7",2503.03379,"['https://arxiv.org/abs/2503.03379', 'https://arxiv.org/html/2503.03379v2']","Spiking Neural Networks (SNNs) are highly efficient due to their spike-based activation, which inherently produces bit-sparse computation patterns. Existing hardware implementations of SNNs leverage this sparsity pattern to avoid wasteful zero-value computations, yet this approach fails to fully cap"
MAIN-R003,LoAS,LoAS: Fully Temporal-Parallel Dataflow for Dual-Sparse Spiking Neural Networks,MICRO 2024,MICRO 2024,paper,P0_high_rel,100,arxiv_abstract_verified|audit_deep_evidence,deep_or_method,already_inventoried,"F2,F7",2407.14073,"['https://arxiv.org/abs/2407.14073', 'https://arxiv.org/html/2407.14073v3']","Spiking Neural Networks (SNNs) have gained significant research attention in the last decade due to their potential to drive resource-constrained edge devices. Though existing SNN accelerators offer high efficiency in processing sparse spikes with dense weights, opportunities are less explored in SN"
MAIN-R005,Phi,Phi: Leveraging Pattern-based Hierarchical Sparsity for High-Efficiency Spiking Neural Networks,ISCA 2025,ISCA 2025,paper,P0_high_rel,100,arxiv_abstract_verified|audit_deep_evidence,deep_or_method,already_inventoried,"F2,F3,F4,F7",2505.10909,['https://arxiv.org/abs/2505.10909'],"Spiking Neural Networks (SNNs) are gaining attention for their energy efficiency and biological plausibility, utilizing 0-1 activation sparsity through spike-driven computation. While existing SNN accelerators exploit this sparsity to skip zero computations, they often overlook the unique distributi"
MAIN-R059,FireFly-S,FireFly-S: Exploiting Dual-Side Sparsity for Spiking Neural Networks Acceleration with Reconfigurable Spatial Architecture,IEEE Transactions on Circuits and Systems I 2025,IEEE Transactions on Circuits and Systems I 2025,paper,P0_high_rel,98,arxiv_abstract_verified,metadata_or_list,already_inventoried,"F1,F7",2408.15578,"['https://arxiv.org/abs/2408.15578', 'https://doi.org/10.1109/TCSI.2024.3496554']","Spiking Neural Networks (SNNs), with brain-inspired structure using discrete spikes instead of continuous activations, are gaining attention for their efficient processing on neuromorphic chips. While current SNN hardware accelerators often prioritize temporal spike sparsity, exploiting sparse synap"
MAIN-R203,ASTER,ASTER: Attention-based Spiking Transformer Engine for Event-driven Reasoning,arXiv 2025,arXiv 2025,paper,P0_high_rel,98,arxiv_abstract_verified,unclear,already_inventoried,"F2,F4,F7",2511.06770,['https://arxiv.org/abs/2511.06770'],"The integration of spiking neural networks (SNNs) with transformer-based architectures has opened new opportunities for bio-inspired low-power, event-driven visual reasoning on edge devices. However, the high temporal resolution and binary nature of spike-driven computation introduce architectural m"
MAIN-R004,ExSpike / APEC,ExSpike: A General Full-Event Neuromorphic Architecture for Exploiting Irregular Sparsity with Event Compression,FPL 2026,FPL 2026,paper,P0_high_rel,96,arxiv_abstract_verified,metadata_or_list,already_inventoried,"F3,F7",2606.20414,['https://arxiv.org/abs/2606.20414'],"Spiking neural networks (SNNs) promise energy-efficient computing due to their sparse spatio-temporal activity. However, effectively translating such irregular sparsity into practical performance and energy gains remains challenging, as full-event computing architectures are still underexplored. Thi"
MAIN-R064,Hardware Efficient Reconfigurable Time-Step Spiking Transformer,Hardware Efficient Accelerator for Spiking Transformer With Reconfigurable Parallel Time Step Computing,ISCAS 2025,ISCA 2025,paper,P0_high_rel,94,arxiv_abstract_verified,metadata_or_list,already_inventoried,,2503.19643,"['https://arxiv.org/abs/2503.19643', 'https://doi.org/10.1109/ISCAS56072.2025.11043330']","This paper introduces the first low-power hardware accelerator for Spiking Transformers, an emerging alternative to traditional artificial neural networks. By modifying the base Spikformer model to use IAND instead of residual addition, the model exclusively utilizes spike computation. The hardware "
MAIN-R013,ELSA (SNN 2026),ELSA: An ELastic SNN Inference Architecture for Efficient Neuromorphic Computing,ISCA 2026,ISCA 2026,paper,P0_high_rel,92,arxiv_abstract_verified,metadata_or_list,already_inventoried,"F5,F7",2605.20802,"['https://arxiv.org/abs/2605.20802', 'https://github.com/Intelligent-Computing-Research-Group/ELSA']","Spiking neural networks (SNNs) exploit event-driven and addition-only computation to substantially improve efficiency for intelligent computation. A key temporal property of SNNs, elastic inference, allows outputs to emerge progressively, enabling responses to salient inputs much earlier than full e"
MAIN-R199,MFPSN,Multiplication-Free Parallelizable Spiking Neurons with Efficient Spatio-Temporal Dynamics,NeurIPS 2025,NeurIPS 2025,paper,P0_high_rel,88,arxiv_abstract_verified,unclear,already_inventoried,F1,2501.14490,"['https://arxiv.org/abs/2501.14490', 'https://proceedings.neurips.cc/paper_files/paper/2025/file/5f40a99efedc1148a061d80201949c84-Paper-Conference.pdf']","Spiking Neural Networks (SNNs) are distinguished from Artificial Neural Networks (ANNs) for their complex neuronal dynamics and sparse binary activations (spikes) inspired by the biological neural system. Traditional neuron models use iterative step-by-step dynamics, resulting in serial computation "
MAIN-R224,BAT,BAT: Learning Event-based Optical Flow with Bidirectional Adaptive Temporal Correlation,AAAI 2026,AAAI 2026,paper,P0_high_rel,88,arxiv_abstract_verified,unclear,already_inventoried,F2,2503.03256,['https://arxiv.org/abs/2503.03256'],"Event cameras deliver visual information characterized by a high dynamic range and high temporal resolution, offering significant advantages in estimating optical flow for complex lighting conditions and fast-moving objects. Current advanced optical flow methods for event cameras largely adopt estab"
MAIN-R242,SNE,SNE: an Energy-Proportional Digital Accelerator for Sparse Event-Based Convolutions,DATE 2022,DATE 2022,paper,P0_high_rel,88,arxiv_abstract_verified,unclear,already_inventoried,F7,2204.10687,['https://arxiv.org/abs/2204.10687'],"Event-based sensors are drawing increasing attention due to their high temporal resolution, low power consumption, and low bandwidth. To efficiently extract semantically meaningful information from sparse data streams produced by such sensors, we present a 4.5TOP/s/W digital accelerator capable of p"
ARX-035,PrimeSVT: An Automated Memory-aware Pruning Framework with Prioritized Compressi,PrimeSVT: An Automated Memory-aware Pruning Framework with Prioritized Compression Policy for Spiking Vision Transformers,arXiv 2026,arXiv 2026,paper,P0_high_rel,84,arxiv_abstract_verified,metadata_or_list,new_this_round,F1,2606.03428,https://arxiv.org/abs/2606.03428v1,"The large sizes of Spiking Vision Transformers (SViTs) still hinder their embedded implementation, highlighting the need for model compression. State-of-the-art works compress SViT models through unstructured pruning, which needs specialized hardware accelerators for their specific sparsity patterns"
ARX-185,Platinum: Path-Adaptable LUT-Based Accelerator Tailored for Low-Bit Weight Matri,Platinum: Path-Adaptable LUT-Based Accelerator Tailored for Low-Bit Weight Matrix Multiplication,arXiv 2025,arXiv 2025,paper,P0_high_rel,82,arxiv_abstract_verified,metadata_or_list,new_this_round,F3,2511.21910,https://arxiv.org/abs/2511.21910v1,"The rapid scaling of large language models demands more efficient hardware. Quantization offers a promising trade-off between efficiency and performance. With ultra-low-bit quantization, there are abundant opportunities for results reuse, and thus it can be boosted with lookup tables (LUTs) based ac"
MAIN-R052,OliVe,OliVe: Accelerating Large Language Models via Hardware-friendly Outlier-Victim Pair Quantization,Proceedings of the 50th Annual International Symposium on Computer Architecture 2023 / ISCA 2023,ISCA 2023,paper,P0_high_rel,82,arxiv_abstract_verified,metadata_or_list,already_inventoried,,2304.07493,"['https://arxiv.org/abs/2304.07493', 'https://doi.org/10.1145/3579371.3589038']","Transformer-based large language models (LLMs) have achieved great success with the growing model size. LLMs' size grows by $240\times$ every two years, which outpaces the hardware progress and makes model inference increasingly costly. Model quantization is a promising approach to mitigate the wide"
