file,title,mechanism_A,network_gap_B,candidate_increment_X,strong_control,missing_assumption_or_evidence,decision_and_reason,novelty_potential_0to4,fit_0to4,evidence_depth
arxiv_2505.07556.md,"Self-Supervised Event Representations: Towards Accurate, Real-Time Perception on SoC FPGAs",异步per-pixel GRU/MGU递归表示、掩码重建与QAT流水,本网已有固定T10体素；同像素隐状态写回会钉死非因果双消费者再入,无标题级X；同址完成屏障只是工程对照,原T10体素、计数加时间戳、LSTM双隐、同GT预算,方法窗截于实验开头；检测任务非valid825；160ns/event不可当same-port；未接θg,旁路低适配；只停SSER前端替换布局，不把同址屏障写成lifting半步,1,2,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2505.12292.md,SpikeX: Exploring Accelerator Architecture and Network-Hardware Co-Optimization for Sparse Spiking Neural Networks,NTWU派发、激活诱导权裁剪与占用费用训练的网芯共设计,活动标志跳权不等于双PED真实请求并集；θg是连续幅值不是二值发放,按真实双消费者占用改producer仍可测，尚无新电路,完整SpikeX含硬件loss、普通静态窄层、HiNM/2:4、完整Prosperity同端口,调度Algo细步未迁；EDP倍率勿搬；非因果T10与连续θg未接,保留完整迁移；只停止照搬二值NTWU到PSN的布局，不将共设计负例外推全族,2,3,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2506.03512.md,EDCFlow: Exploring Temporally Dense Difference Maps for Event-based Optical Flow Estimation,高分辨时密特征差加低分辨相关与注意力融合,当前网本无4D相关体瓶颈；连续差动会把θg变成连续特征,无标题级X；不能把消灭不存在的相关体计作收益,TMA、无相关体IDNet/当前SNN、普通两时刻差分加粗头、Conv2R16,方法窗截于Fig.2；DSEC EPE≠AEE；warp/缓存/GRU费用未计,保留对照；差动头替换本地出口后无AEE或净服务增益则停该布局,1,2,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2506.12524.md,Inference-Time Gaze Refinement for Micro-Expression Recognition: Enhancing Event-Based Eye Tracking with Motion-Aware Post-Processing,运动感知中值抑眨眼尖峰与局部光流邻域纠偏,瞳孔轨迹稳定与稠密光流AEE、patch贵段无关,无标题级X,固定核中值、无后处理骨干、普通局部光流,瞳孔/微表情指标≠valid825；后处理延迟未进主路径,旁路低适配；模型无关后处理不进融合标题,0,0,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2508.12637.md,HOMI: Ultra-Fast EdgeAI platform for Event Cameras,EVT解码、事件/时间双表示与RAMAN ASE稀疏CNN管线,边缘分类fps不是本网patch贵段；ASE零跳过已是普通分母,无标题级X,普通直方图/ETS、稠密CNN FPGA、已评RAMAN、同端口GP,预处理中段截断；IMX636资源≠θg/T10；训练结果可能缺失,旁路低适配；平台集成不作主岛执行增量，ASE只作普通稀疏跳过对照,1,1,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2509.18968.md,Otters: An Energy-Efficient SpikingTransformer via Optical Time-to-First-Spike Encoding,光TFT衰减加动态阶梯阈的TTFS与1-bit K/V加减注意,本地ATLIF输出连续θg，不是TTFS首尖或二值K/V,无标题级X,数字TTFS、率编码、全精度QK、当前保留的spike QK路径,ImageNet/模拟能≠AEE；TFT不可复现；1-bit注意破坏连续幅值,旁路低适配；光电TTFS与二值注意不得当标题或替换连续θg,0,0,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2510.14172.md,Systolic Array Acceleration of Diagonal-Optimized Sparse-Sparse Matrix Multiplication for Efficient Quantum Circuit Simulation,对角SpMSpM的DPE索引对齐转发与对角累加器,本网稀疏图不是固定对角；量子核规律不成立,无标题级X,Gustavson/Flexagon、CSR/COO、普通GP与稠密GEMM,对角假设；索引税；量子加速比≠AEE,保留对照；对角特化不成立或索引税吃掉收益则停该布局，不杀稀疏乘法家族,1,1,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2510.26614.md,"Spiking Patches: Asynchronous, Sparse, and Efficient Tokens for Event Cameras",patch电位/阈值/不应期的异步事件分词,稠密光流不能随意丢空间位置；主岛在r1残差链不在tokenizer,无标题级X,固定T10体素、先帧化再筛patch、HeatViT类token剪枝,手势/检测与token缩减≠AEE；不应期丢事件伤召回未测,保留对照；分类token缩减不能当稠密光流无损跳过，替换前端无增益则停该分词挂载,1,1,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2511.21910.md,Platinum: Path-Adaptable LUT-Based Accelerator Tailored for Low-Bit Weight Matrix Multiplication,离线可切换构造路径与在线shortcut LUT，对照Prosperity运行时调度,静态path复用省乘，未必省T10双消费者物理源字；LUT填表可能吞收益,无标题级X；Prosperity须完整抄作强底座，Platinum只提供静态path对照,完整Prosperity、LUT-DLA全流程、普通量化MAC/CMVM、da4ml CSE,BitNet加速比≠AEE；LUT冷填/银行/溢出；路径≠源DAG产品mask,保留强底座；不得把LUT路径或Prosperity本身当标题，本地C1融合慢于Prosperity只停该布局,1,3,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2512.20073.md,3D Stack In-Sensor-Computing (3DS-ISC): Accelerating Time-Surface Construction for Neuromorphic Event Cameras,eDRAM漏电作Time-Surface物理衰减的感存算前端,模拟TS不能映射数字θg与非因果T10合同,无标题级X,数字time surface、SRAM时间戳、普通T10体素,电路细部截断；分类/SSIM≠AEE；原作PPA勿搬,旁路低适配；模拟CIM/传感阵列不得当标题，只停模拟TS前端替换,0,0,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2602.12590.md,Unbiased Gradient Estimation for Event Binning via Functional Backpropagation,前向核不变、反向弱导数κ=l∗k的无偏分箱梯度,冻结学生与固定T10下，训练前端梯度不是执行瓶颈,无标题级X,rect/linear/gauss代理、固定T10、同GT,IWE/光流基准≠valid825；弱导数≠硬件事件前端,旁路低适配；分箱反传技巧不进主岛，无下游AEE增益则保持旁路,1,1,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2603.15184.md,CATFormer: When Continual Learning Meets Spiking Transformers With Dynamic Thresholds,动态阈值与门控任务头的无回放持续学习,CIL路由与二维光流主岛正交；动态阈不是连续θg幅值,无标题级X,固定阈值SNN、EWC/MAS、当前ATLIF连续θg,CIL精度≠AEE；无缓冲声明勿外推RF,旁路低适配；不得把动态阈写成二值ATLIF或本地θg，CIL头不挂光流,0,1,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2604.21952.md,Focus Session: Hardware and Software Techniques for Accelerating Multimodal Foundation Models,混合精度、结构剪枝、小到大级联与算子融合的综述条目,综述不产生可测执行合同，与patch贵段无直接接口,无标题级X,逐篇原始工作、普通剪枝/量化/减宽,MFM任务指标≠valid825；条目≠可落地RTL,旁路低适配；本轮不把综述当原论文方法证据,0,1,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2605.00319.md,A PVT-Resilient Subthreshold SRAM-Based In-Memory Computing Accelerator with In-Situ Regulation for Spiking Neural Networks,亚阈SRAM-CIM闭环稳压与ITH电流阈神经元,模拟CIM/电流阈与数字θg、same-port无关,无标题级X,数字定点核、事后校准、普通LIF,KWS/nJ≠AEE；稳压开销；ADC免除不可搬,旁路低适配；CIM/模拟不得当标题,0,0,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2605.09770.md,Encoding and Decoding Temporal Signals with Spiking Bandpass Wavelets,差分低通尺度空间加LIF的带通尖峰编码与框架界,因果小波不是T10 lifting；最小二乘解码非在线双消费者,无标题级X,Morlet、普通temporal conv/PSN、固定T10,重建MSE≠AEE；在线解码差距未闭,旁路低适配；表示编码不替换本地前端,1,1,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2605.13869.md,Elastic Spiking Transformers for Efficient Gesture Understanding,Matryoshka嵌套宽度/头数与行式QK→LIF→V注意力,弹性缩放降参数未必降物理源字；行式LIF注意是二值语义,无标题级X；弹性宽度只作普通减宽对照,固定Spikformer、普通减宽/hidden、完整原架构同GT,手势/Loihi pJ≠AEE；GPU行式≠芯片吞吐；二值LIF≠连续θg,保留对照；mixer或弹性可替换不是独立X，禁止二值注意当标题,1,2,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2605.21333.md,SymbolicLight V1: Spike-Gated Dual-Path Language Modeling at High Encoder Spike Sparsity,LIF二值门控衰减/FFN与连续残差窗注意力双路径,语言模型PPL与光流无关；二值门控不能套连续PED,无标题级X,纯SNN、纯稠密、当前连续shortcut加门,PPL≠AEE；位置掩码近失效；混合模型≠纯事件合同,旁路低适配；二值门控残差不得替换连续θg捷径,1,1,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2606.03257.md,PSViT: A Methodology for Structurally Pruning Spiking Vision Transformers,层敏度剖析后均匀通道剪大层与弱敏块加码,参数量/通道剪不等于双消费者物理字并集,无标题级X,完整PrimeSVT、HiNM/VENOM、普通敏感度减宽,ImageNet Top-1≠AEE；单次无重训迁移未证,保留对照；大层优先不自动对应最贵活动层，精度破门则停该剪枝挂接,1,3,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2606.05362.md,MOSAIC: A Workload-Driven Simulation and Design-Space Exploration Framework for Heterogeneous NPUs,异构NPU的DAG映射、op分裂与含LIF SFU的tile仿真,仿真Pareto不是same-port净服务；LIF SFU≠非因果PSN,无标题级X,同构脉动、手工映射、SCALE-Sim类工具,仿真≠硅测；校准偏差；完整神经形态合同未核,旁路低适配；DSE工具不作硬件增量，未建语义不得称真实周期,0,1,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2606.13016.md,Otters++: A Time-to-first-spike Based Energy Efficient Optical Spiking Transformer,器件衰减作TTFS时间核、SNN前向与QNN反向STE,与Otters同族，光学TTFS不能替换连续θg,无标题级X；与Otters合并证据不另计候选,数字TTFS、Otters、当前θg路径,GLUE/层能量≠AEE；器件漂移；模拟光突触≠数字same-port,旁路低适配；合并Otters同族证据，光电/二值TTFS不得当标题,0,0,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2606.20675.md,VQ4SNN: Vector Quantization for Memory-Efficient FPGA Spiking Neural Networks,权向量量化指针加共享码本与交错执行消多端口,BRAM压缩省存储未必省T10源字触达；高活动时延升,无标题级X,稠密权表、标量量化、LUT-DLA/GOBO、普通剪枝,MNIST/SHD≠AEE；码本多端口；补HTML≠全文,保留对照；查表/码本冷填须计费，高活动时延不可接受则停该VQ布局,1,2,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2606.26701.md,SegFold: Accelerating Sparse GEMM with a Fine-Grained Dynamic Dataflow,SelectA行交、SegmentBC重分、IPM LUT与空间折叠的动态SpGEMM,不规则SpGEMM调度税可能吞掉并集收益；本网输出较规则,无标题级X,静态数据流、Spada/Flexagon、Gustavson、普通GP,SuiteSparse cycle≠AEE；动态调度≠T10并集合同,保留对照；极端稠密行或调度税过大则停该动态布局，不杀多数据流家族,1,2,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2606.30039.md,Mega: A 22 nm Convolutional Spiking Neural Network Accelerator Achieving 0.375 pJ/SOP for Efficient Edge Vision,九簇核偏移并行事件ΔV、交错膜SRAM与dense spike map转地址,AER/事件卷积假设LIF复位，不同于非因果PSN与连续θg,无标题级X,普通滑窗/GP、SNE事件UPDATE、输出中心稠密窗,pJ/SOP勿搬；288SOP/周期≠并集；硅测≠valid825,保留对照；事件卷积挂接失败只停该布局，不把pJ/SOP当净服务,1,2,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2607.11986.md,SpikeDS: Dual Sparsity Spikformer for Perineural Invasion Prediction in 3D MRI,发放率窗剪枝、W-EMSA专家门控与非对称CW-SSA,医学PNI与AEE无关；窗剪伤早期特征；二值QK不是连续θg,无标题级X,全窗Spikformer、普通token剪、HeatViT、当前spike QK,AUC/理论能量≠AEE；ρ窗剪≠源字删字合同,旁路低适配；任务与二值窗剪不进主岛，伤早期特征则停该注意挂接,1,1,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2607.12505.md,Realizable N:M Sparse Transformer Inference via Search-Kernel Co-Design,Micro-Dense把N:M落到MMA瓦片、打包解码与延迟LUT搜索,Tensor Core可实现N:M不等于ASIC同端口；H8共mask未必省P4源字,无标题级X；可作VENOM/HiNM可部署对照,完整VENOM/HiNM、2:4、不规则SpMM、同GT窄稠密,ViT延迟LUT≠AEE；MMA≠same-port合同,保留强底座；不能因GPU可实现N:M否定任务共设，也不搬端到端倍率,1,3,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2607.19248.md,A Flexible Sparsity-Aware FPGA Accelerator with Column-Wise Compression for Efficient CNN Inference,列向核压缩、可变列PE、V-Line归约与硬件感知剪枝复活,CNN列压缩不对应T10双消费者；1×1层V-Line争用,无标题级X,通道/块结构稀疏、HiNM、普通非结构CSR、同类剪枝,ImageNet GOP/s≠AEE；V-Line≠并集同步,保留对照；1×1争用或剪枝掉点则停该列压缩布局,1,2,card only; 已逐字读卡，名称或摘录不计全文
arxiv_2607.19421.md,Opto-ViT-v2: Noise-Resilient On-Chip Fine-Tuning for Photonic Near-Sensor Vision Transformer Accelerators,冻结光权加电子低秩因子链与稀疏头微调,光子工艺不可迁；低秩微调不是lifting源字删字,无标题级X,稠密反传、普通LoRA、数字低秩,VTAB≠AEE；MRR阵列；热串扰,旁路低适配；光学/模拟不得当标题,0,0,card only; 已逐字读卡，名称或摘录不计全文
