repository,associated_work_reported,origin_status,scope_reported,attribution_source,mention_count,source_locations,example_context,verification_this_run
https://github.com/accelergy-project/accelergy,,repository_link_owner_unverified,现有材料中的仓库入口；实现/许可/作者关系待核,,3,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_list_300plus.md:10 || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_new_this_round.md:49 || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json:0,- [new_this_round] Accelergy — Accelergy energy estimation — `open-source` — https://github.com/Accelergy-Project/accelergy || - **Accelergy**｜open-source｜`open_source`｜https://github.com/Accelergy-Project/accelergy || Accelergy,local aggregation only; no clone or completeness claim
https://github.com/accelergy-project/micro22-sparseloop-artifact,,repository_link_owner_unverified,现有材料中的仓库入口；实现/许可/作者关系待核,,3,codex_independent_20260905/02_literature_and_alternative_ideas.md:72 || research/literature_audit_20260909/LITERATURE_INVENTORY.md:65 || research/literature_audit_20260909/literature_inventory.json:0,"| [Sparseloop，MICRO 2022](https://sparseloop.mit.edu/documents/2022-micro-sparseloop.pdf) / [artifact](https://github.com/Accelergy-Project/micro22-sparseloop-artifact) | 稀疏优化分类与成本建模 | 统计／分析模型不能替代同 workload 的 RTL、宏和物理证据 | || | <a id=""r037""></a>**R037 Sparseloop**<br>Sparseloop: An Analytical Approach To Sparse Tensor Accelerator Modeling<br>[原文](https://sparseloop.mit.edu/documents/2022-micro-sparseloop.pdf) · [配套来源](https://github.com/Accelergy-Project/micro22-sparseloop-artifact) | MICRO 2022<br>本地表称该会议/年份；本轮未一手复核 | 分类法与作者工件已读/定位；完整模型未导入<br>格式/门控/跳过的建模方法 | **方法学已纳入**<br>已用于避免把byte/逻辑加法数叫周期；它是评价工具不是本项目PE创新。 | 官方artifact对本网络的统一稀疏格式/端口映射；现有自写事件模型不等于完整Sparseloop。<br>[02_literature_and_alternative_ideas.md](</home/zhumd/work/sdformer_codex/ideafromai/codex_independent_20260905/02_literature_and_alternative_ideas.md>) · [07_transformer_attention_accelerators.md](</home/zhumd/work/sdformer_codex/ideafromai/research/07_transformer_attention_accelerators.md>) | || Sparseloop",local aggregation only; no clone or completeness claim
https://github.com/aiot-mlsys-lab/svd-llm,,repository_link_owner_unverified,现有材料中的仓库入口；实现/许可/作者关系待核,,1,research/hardware_innovation_20260908/open_fusion_execution/catalog/local_execution_priors.json:0,SVD-LLM,local aggregation only; no clone or completeness claim
https://github.com/alexsunnik/spsrc,SPSRC,author_code_reported,卷积重组saliency、剪枝、微调与评价；本轮读作者README，未迁入或宣称硬件工件,research/hardware_innovation_20260908/open_fusion_execution/literature_followup.md,2,research/hardware_innovation_20260908/open_fusion_execution/literature_followup.md:9 || research/hardware_innovation_20260908/open_fusion_execution/literature_followup.md:0,| [WACV 2024：SPSRC](https://openaccess.thecvf.com/content/WACV2024/papers/Sun_Towards_Better_Structured_Pruning_Saliency_by_Reorganizing_Convolution_WACV_2024_paper.pdf)；[作者代码](https://github.com/AlexSunNik/SPSRC) | 官方摘要、方法入口、作者README | 卷积重组后得到空间saliency已有。应作为比简单幅值更强的剪枝对照；本地`gate+PED`误差评分本身不够撑标题 | 原`conv_to_mat`及谱/核/Frobenius范数的同预算迁移 | || SPSRC,local aggregation only; no clone or completeness claim
https://github.com/belugarex/0534cele-report,,repository_link_owner_unverified,现有材料中的仓库入口；实现/许可/作者关系待核,,1,research/hardware_innovation_20260908/psn/gustavsnn_migration_notes.md:5,原论文 **GustavSNN: Unleashing the Power of Gustavson’s Algorithm on SNN Acceleration with Column-Parallel Tick-Batch Dataflow**，Hwang、Lee、Koo、Kung，HPCA 2026，[DOI](https://doi.org/10.1109/HPCA68181.2026.11408587)。已取得并阅读 [14 页原论文 PDF](../literature/GustavSNN_HPCA2026_public_mirror.pdf)，来源为 [公开阅读仓库镜像](https://github.com/BelugaRex/0534CELE-report/tree/main/papers)，已对上标题、作者和 DOI；镜像不是官方复现工件，本轮未找到作者官方工件。,local aggregation only; no clone or completeness claim
https://github.com/bindsnet/bindsnet,,repository_link_owner_unverified,现有材料中的仓库入口；实现/许可/作者关系待核,,3,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_list_300plus.md:45 || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_new_this_round.md:28 || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json:0,- [new_this_round] bindsnet — BindsNET — `open-source` — https://github.com/BindsNET/bindsnet || - **bindsnet**｜open-source｜`open_source`｜https://github.com/BindsNET/bindsnet || bindsnet,local aggregation only; no clone or completeness claim
https://github.com/boomluo02/eemflow,,repository_link_owner_unverified,现有材料中的仓库入口；实现/许可/作者关系待核,,1,research/hardware_innovation_20260908/literature/algorithm_followup_20260908.md:13,4. **EEMFlow/EEMFlow+，CVPR 2024。** 三层金字塔、池化后稀疏采样的相关搜索与 group-shuffle 卷积产生 meshflow；dense-flow 版本再做金字塔残差与 CDC。CDC 包含五层卷积修正器和自相关分支，**置信度是融合权重，并非已实现的计算跳过器**。DSEC 正式测试 Table 3 报 EEMFlow+ EPE 0.75、39.2 FPS；摘要 39× 来自 HREM meshflow 对照，不能搬到我们的 dense-flow。可借完整便宜运动读出/细节恢复来替换解码；仅用 mesh/置信度改名没有增量。须训练新头，比较已有 `preds2+bilinear` 和同宽普通卷积头。[主文 §3.2、Table 2–5](https://openaccess.thecvf.com/content/CVPR2024/papers/Luo_Efficient_Meshflow_and_Optical_Flow_Estimation_from_Event_Cameras_CVPR_2024_paper.pdf)、[官方实现](https://github.com/boomluo02/EEMFlow)。,local aggregation only; no clone or completeness claim
https://github.com/calad0i/da4ml,da4ml,author_code_reported,官方 CMVM/CSE/硬件生成；本地已安装并调用，非本地完整执行核,research/hardware_innovation_20260908/psn/cmvm_20260909/README.md:7,5,research/hardware_innovation_20260908/algorithm/patch_probe/residual_consumer_probe/projection_chain/fast_temporal_recovery_lifting40/ordinary_source_cmvm.md:13 || research/hardware_innovation_20260908/exploration_tcasii_20260911/web/W1_2025_2026_venues.md:346 || research/hardware_innovation_20260908/psn/cmvm_20260909/README.md:7 || research/hardware_innovation_20260908/psn/cmvm_20260909/da4ml_official/README.md:3 || research/hardware_innovation_20260908/psn/cmvm_20260909/da4ml_official/docs/install.md:27,来源：[官方算法](https://calad0i.github.io/da4ml/cmvm.html)、[官方实现](https://github.com/calad0i/da4ml)。产物是同前缀 .py/.json/.integer_dag.json/.official_pipeline.json/.dais，旧helper、训练与官方源码未修改。 || - **Code:** https://github.com/calad0i/da4ml || 使用 [da4ml 官方发行版 0.6.0](https://github.com/calad0i/da4ml) 和[官方 CMVM 方法](https://calad0i.github.io/da4ml/cmvm.html)：矩阵图分解、两阶段带位宽权重的跨输出公共子式、正负移位、可选延迟限制。没有把逐常量 CSD 称作完整 CMVM。论文为 [da4ml，TRETS](https://arxiv.org/abs/2507.04535)。,local aggregation only; no clone or completeness claim
https://github.com/calad0i/hgq2,,repository_link_owner_unverified,现有材料中的仓库入口；实现/许可/作者关系待核,,1,research/hardware_innovation_20260908/psn/cmvm_20260909/da4ml_official/docs/getting_started.md:52,"For models defined in [HGQ2](https://github.com/calad0i/HGQ2) (Keras3 based), da4ml can trace the model operations automatically when the supported layers/operations are used (i.e., most HGQ2 layers without general non-linear activations). In this way, one can easily convert existing HGQ2 models to HDL or HLS code in seconds.",local aggregation only; no clone or completeness claim
https://github.com/calad0i/jedi-linear,,repository_link_owner_unverified,现有材料中的仓库入口；实现/许可/作者关系待核,,1,research/hardware_innovation_20260908/psn/cmvm_20260909/da4ml_official/README.md:29,- See [JEDI-linear](https://github.com/calad0i/JEDI-linear) project which is based on da4ml,local aggregation only; no clone or completeness claim
