uid,name,full_title,venue,entity_type,category,depth_bucket,read_flag,inventory_origin,status,source_url
MAIN-R001,Prosperity,Prosperity: Accelerating Spiking Neural Networks via Product Sparsity,HPCA 2025,paper,稀疏架构与C1/C2,unclear,already_inventoried,literature_audit_20260909,已纳入强底座；完整移植仍不完整,"['https://arxiv.org/abs/2503.03379', 'https://arxiv.org/html/2503.03379v2']"
MAIN-R002,GustavSNN,GustavSNN: Unleashing the Power of Gustavson's Algorithm on SNN Acceleration with Column-Parallel Tick-Batch Dataflow,2026 IEEE International Symposium on High Performance Computer Architecture (HPCA) 2026,paper,稀疏架构与C1/C2,deep_or_method,already_inventoried,literature_audit_20260909,已纳入paper-guided CPU及2×4功能RTL；未完成原作全系统 / 纳入；不冒用原作 PPA,"['https://doi.org/10.1109/HPCA68181.2026.11408587', 'https://2026.hpca-conf.org/program/program-hpca-2026/Detailed-Timeline']"
MAIN-R003,LoAS,LoAS: Fully Temporal-Parallel Dataflow for Dual-Sparse Spiking Neural Networks,MICRO 2024,paper,稀疏架构与C1/C2,method_or_partial,already_inventoried,literature_audit_20260909,已纳入真正T并行强对照；共享变体停止作主创新 / 强时间打包底座,"['https://arxiv.org/abs/2407.14073', 'https://arxiv.org/html/2407.14073v3']"
MAIN-R004,ExSpike / APEC,ExSpike: A General Full-Event Neuromorphic Architecture for Exploiting Irregular Sparsity with Event Compression,FPL 2026,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,APEC进入C1融合CPU比较；完整ExSpike未迁入 / 完整先验，停止限定旧融合布局,['https://arxiv.org/abs/2606.20414']
MAIN-R005,Phi,Phi: Leveraging Pattern-based Hierarchical Sparsity for High-Efficiency Spiking Neural Networks,ISCA 2025,paper,稀疏架构与C1/C2,method_or_partial,already_inventoried,literature_audit_20260909,部分CPU迁移；onehot类共享成为强基线 / 强模式稀疏训练底座,['https://arxiv.org/abs/2505.10909']
MAIN-R006,TA / Transitive Array,Transitive Array: An Efficient GEMM Accelerator with Result Reuse,ISCA 2025,paper,稀疏架构与C1/C2,deep_or_method,already_inventoried,literature_audit_20260909,结果复用图/虚父节点部分迁移；完整阵列未试,['https://arxiv.org/abs/2504.16339']
MAIN-R007,Comperity,Comperity: A Stateless Spiking Neural Network Accelerator with Differential Spike Encoding,ACM Transactions on Architecture and Code Optimization 2026,paper,稀疏架构与C1/C2,method_or_partial,already_inventoried,literature_audit_20260909,保留完整先验缺口；未实验 / 纳入；不冒用原作 PPA,['https://doi.org/10.1145/3828526']
MAIN-R008,RSR / RSR++,An Efficient Matrix Multiplication Algorithm for Accelerating Inference in Binary and Ternary Neural Networks,ICML 2025,paper,稀疏架构与C1/C2,deep_or_method,already_inventoried,literature_audit_20260909,完整算法级参考与有界变体已试；硬件全迁未做,"['https://arxiv.org/abs/2411.06360', 'https://arxiv.org/html/2411.06360v3']"
MAIN-R009,Mailman,The Mailman algorithm: A note on matrix–vector multiplication,Information Processing Letters 2009,paper,稀疏架构与C1/C2,unclear,already_inventoried,literature_audit_20260909,数学强先验；选择性共享部分和已借鉴,"['https://www.sciencedirect.com/science/article/pii/S0020019008002949', 'https://cs.yale.edu/homes/el327/papers/mailmanAlgorithm.pdf']"
MAIN-R010,SumMerge,SumMerge: An Efficient Algorithm and Implementation for Weight Repetition-Aware DNN Inference,ICS 2021,paper,稀疏架构与C1/C2,deep_or_method,already_inventoried,literature_audit_20260909,交集/共享子表达式CPU变体已纳入,"['https://cwfletcher.github.io/content/research/2021.ics.summerge.paper.pdf', 'https://ics21.github.io/program']"
MAIN-R011,Gamma,Gamma: Exploiting Gustavson’s Algorithm to Accelerate Sparse Matrix Multiplication,ASPLOS 2021,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,相关底座；未完整迁移,['https://www.guowei.zone/files/2021.gamma.asplos.pdf']
MAIN-R012,Gustavson algorithm,Two Fast Algorithms for Sparse Matrices: Multiplication and Permuted Transposition,ACM Transactions on Mathematical Software 1978,paper,稀疏架构与C1/C2,unclear,already_inventoried,literature_audit_20260909,算法祖先；非本项目新机制,['https://doi.org/10.1145/355791.355796']
MAIN-R013,ELSA (SNN 2026),ELSA: An ELastic SNN Inference Architecture for Efficient Neuromorphic Computing,ISCA 2026,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未完整迁移,"['https://arxiv.org/abs/2605.20802', 'https://github.com/Intelligent-Computing-Research-Group/ELSA']"
MAIN-R014,HYTE,完整题名待核,ISCA 2025,paper,稀疏架构与C1/C2,deep_or_method,already_inventoried,literature_audit_20260909,联合分块/有限容量原则已纳入；完整工件未迁入,"['https://people.iiis.tsinghua.edu.cn/~gaomy/pubs/hyte.isca25.pdf', 'https://github.com/tsinghua-ideal/HYTE-sim']"
MAIN-R017,Swift,Swift: High-Performance Sparse-Dense Matrix Multiplication on GPUs,HPCA 2026,paper,稀疏架构与C1/C2,deep_or_method,already_inventoried,literature_audit_20260909,保留布局/尾部组织；未完整移植,"['https://ranger.uta.edu/~jiang/publication/Conferences/2026/HPCA26_camera_ready.pdf', 'https://2026.hpca-conf.org/details/hpca-2026-main-conference/42/Swift-High-Performance-Sparse-Dense-Matrix-Multiplication-on-GPUs']"
MAIN-R018,RISCSparse,RISCSparse: Point Cloud Inference Engine on RISC-V Processor,ICCAD 2024,paper,稀疏架构与C1/C2,deep_or_method,already_inventoried,literature_audit_20260909,未试；软件/控制边界参考,['https://www.cse.cuhk.edu.hk/~byu/papers/C232-ICCAD2024-RiscvSubCon.pdf']
