id,title,venue,year,primary_url,venue_evidence_url,local_pdf,read_range,depth,code_status,code_url,borrowed_A,not_reproduced
S01,SmartExchange: Trading Higher-cost Memory Storage/Access for Lower-cost Computation,ISCA,2020,https://arxiv.org/pdf/2005.03403,https://arxiv.org/abs/2005.03403,sources/smartexchange.pdf,PDF pp.3–7; §III-A/B/C and §IV-A/B; algorithm and RE/PE/index/buffer sections,method_and_hardware_close_read,author_repository_not_located_in_read_sources_and_named_search,,"Sparse PoT coefficients, basis decomposition, alternating fitting/projection, vector sparse skipping, near-PE weight rebuild, basis stationarity, bit-serial/Booth.","Original alternating training; full RE/PE accelerator, banked buffers, original workloads and PPA."
S02,StrassenNets: Deep Learning with a Multiplication Budget,ICML,2018,https://proceedings.mlr.press/v80/tschannen18a/tschannen18a.pdf,https://proceedings.mlr.press/v80/tschannen18a.html,sources/strassennets.pdf,"PDF pp.3–5; §2.1–2.4; ternary SPN, inference folding, grouped and spatial convolution mapping",method_close_read,author_repository_accessible_readme_inspected_not_run,https://github.com/mitscha/strassennets,"Ternary pre/post sums, learned scale vector, convolution grouping and p×p spatial compression, distillation.","MXNet training, ternary learned matrices, distillation, network experiments, hardware implementation."
S03,Convolutional Neural Network Compression through Generalized Kronecker Product Decomposition,AAAI,2022,https://cdn.aaai.org/ojs/19958/19958-13-23971-1-2-20220628.pdf,https://ojs.aaai.org/index.php/AAAI/article/view/19958,sources/gkpd.pdf,PDF pp.2–4; printed pp.772–774; rearrangement/SVD method and KroneckerConvolution Algorithm 1,method_close_read,"author_repository_not_located; found xinychen/tensor-var is a references-only third-party repository, not original implementation",,Generalized Kronecker sum and no-reconstruction Conv3d–BatchConv2d contraction.,"GKPD fitting/fine-tuning, original CNNs, decomposition configuration choices."
S04,Fast Algorithms for Convolutional Neural Networks,CVPR,2016,https://openaccess.thecvf.com/content_cvpr_2016/papers/Lavin_Fast_Algorithms_for_CVPR_2016_paper.pdf,https://openaccess.thecvf.com/content_cvpr_2016/html/Lavin_Fast_Algorithms_for_CVPR_2016_paper.html,sources/winograd.pdf,PDF pp.2–3; printed pp.4014–4015; §4.1 Equations 5–13 and Algorithm 1,method_close_read,paper_mentions_NervanaSystems_neon; original_repo_not_opened_this_round,https://github.com/NervanaSystems/neon,"F(2×2,3×3) transforms, 16-point products, channel reduction before inverse transform.",Original CUDA kernels and numerical/performance experiments; only binary input-transform algebra independently enumerated.
S05,WINS: Winograd Structured Pruning for Fast Winograd Convolution,ICCV,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Park_WINS_Winograd_Structured_Pruning_for_Fast_Winograd_Convolution_ICCV_2025_paper.pdf,https://openaccess.thecvf.com/ICCV2025?day=2025-10-23,sources/wins.pdf,"PDF pp.2–6; printed pp.22478–22482; §2, §4, §5, row/column WINS, balanced and adaptive balanced variants",method_and_gpu_mapping_close_read,author_repository_not_located; CVF metadata and author-page search checked; no source-code claim,,"Per-transform GEMM row/column pruning, equal pruning ratios in WINS-B, per-layer WINS/WINS-B choice and Adaptive BN short evaluation.","Pruning/65-epoch fine-tuning, CUTLASS kernel, WINS-AB search; supplement not close-read."
S06,Fast Kronecker Matrix-Matrix Multiplication on GPUs,PPoPP,2024,https://arxiv.org/pdf/2401.10187,https://github.com/abhijangda/fastkron/blob/main/README.md,sources/fastkron.pdf,"PDF pp.3–6; §3, §4.1–4.2, algorithms/shift caching/fusion",method_and_cuda_implementation_close_read,author_repository_accessible_readme_inspected_not_run,https://github.com/abhijangda/fastkron,"Sliced multiplication, direct output ordering without extra transpose, shift cache banking, inter-factor shared-memory fusion.","CUDA/CPU kernels, autotuner, multi-GPU path, Gaussian-process case study."
S07,LUT-GEMM: Quantized Matrix Multiplication based on LUTs for Efficient Inference in Large-Scale Generative Language Models,ICLR,2024,https://proceedings.iclr.cc/paper_files/paper/2024/file/a4f98ce85f440ee269b0df57b4368719-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2024/file/a4f98ce85f440ee269b0df57b4368719-Paper-Conference.pdf,sources/lutgemm.pdf,PDF pp.4–6; §2.3 and §3.1–3.4,method_and_gpu_mapping_close_read,author_repository_accessible_readme_inspected_not_run,https://github.com/naver-aics/lut-gemm,"Binary-coding quantization with scales/bias, runtime activation combination LUTs, groupwise scales, shared-memory GPU tiling.",BCQ quantization and CUDA kernels; LLM latency/accuracy curves.
S08,LUT-DLA: Lookup Table as Efficient Extreme Low-Bit Deep Learning Accelerator,HPCA,2025,https://arxiv.org/pdf/2501.10658,https://hpca-conf.org/2025/main-program/,sources/lutdla.pdf,"PDF pp.2–7; §II–V; VQ, CCM/IMM pipeline, LUT-stationary Algorithm 1, LUTBoost",method_and_hardware_close_read,Chisel_generator_reported_in_paper; author_public_repository_not_located,,"Activation VQ and centroid matching, CCM/IMM decoupling, indexed LUT accumulation, LUT-stationary dataflow, staged centroid/weight training.","Generator, LUTBoost, design-space search and full DNN results; BN folding statement is not applicable to local dynamic BN without proof."
S09,Platinum: Path-Adaptable LUT-Based Accelerator Tailored for Low-Bit Weight Matrix Multiplication,ASP-DAC,2026,https://arxiv.org/html/2511.21910v1,https://scholars.duke.edu/publication/1908342,sources/platinum.pdf,HTML §II–IV and §V-A (lines 73–219 on opened rendering); original PDF also downloaded but not independently page-read,method_and_hardware_close_read,RTL_and_Prosperity_simulator_extension_reported; public_author_repository_not_located,,"Offline MST LUT build paths, four-stage constructor, ternary mirror consolidation, 5-trit byte packing, 8-column queries, LUT port/add reduction balancing.","Full RTL, offline path builder, DRAMsim3/CACTI model, BitNet kernels; ASP-DAC pp.1449–1455 DOI10.1109/ASP-DAC66049.2026.11420289."
S10,UCNN: Exploiting Computational Reuse in Deep Neural Networks via Weight Repetition,ISCA,2018,https://www.kartikhegde.net/media/UCNN_ISCA.pdf,https://research.nvidia.com/publication/2018-06_ucnn-exploiting-computational-reuse-deep-neural-networks-weight-repetition,sources/ucnn.pdf,"PDF pp.3–8; §III–IV, group factorization/reuse, sorted iiT/wiT, size16 limit, empty-group handling and spatial banks",method_and_hardware_close_read,author_repository_not_located_in_read_primary_sources,,"Group sums for repeated weights, hierarchical cross-filter reuse, sorted indirection tables, bounded accumulator growth, spatial bank mapping.","PE RTL, full accelerator cycle/energy model and network experiments."
S11,FINEA: An Efficient Neural Network Accelerator Exploiting Factorized Input Features,ICCD,2025,https://pure.korea.ac.kr/en/publications/finea-an-efficient-neural-network-accelerator-exploiting-factoriz/,https://pure.korea.ac.kr/en/publications/finea-an-efficient-neural-network-accelerator-exploiting-factoriz/,,Author-institution abstract and metadata only; full paper not located/read,abstract_and_metadata_only_excluded_from_10_close_reads,not_located,,Abstract explicitly describes factorized/unfactorized dot products for repeated weights and gather from filter indices.,Full method/RTL/control details unknown; DOI10.1109/ICCD65941.2025.00083 pp.540–548.
