id,title,venue_year,primary_or_local_url,actual_read_scope,evidence_status,code_status,implication_and_not_reproduced
S1,UCNN,ISCA 2018,https://www.kartikhegde.net/media/UCNN_ISCA.pdf,Primary PDF reopened online; local fulltext III-A/B reread (printed pp3-5); IV from earlier close read,Full method+hardware previously read; listed current reread only,No official code confirmed,"Grouping, iiT/wiT and cross-filter activation sum reuse are A; not implemented here"
S2,SmartExchange,ISCA 2020,https://arxiv.org/pdf/2005.03403,Primary PDF reopened online; local III algorithm and IV-A design principles reread,Methods and hardware subset reread,No official repository confirmed,"Sparse PoT factors, reconstruction and basis residency are A; original RE/PE system not reproduced"
S3,StrassenNets,ICML 2018,https://proceedings.mlr.press/v80/tschannen18a/tschannen18a.pdf,"Primary reopened online; local 2.1-2.4 reread, printed PDF pp3-5",Method close reread,"https://github.com/mitscha/strassennets ; prior README inspection, no current run","Ternary transforms, scale folding, grouped/spatial convolution are A; no training reproduction"
S4,Fast Algorithms for Convolutional Neural Networks,CVPR 2016,https://openaccess.thecvf.com/content_cvpr_2016/papers/Lavin_Fast_Algorithms_for_CVPR_2016_paper.pdf,Local primary fulltext 4/4.1 Eq3-10 and nesting reread; earlier full transform read,Current local primary reread,Paper lists NervanaSystems/neon; not opened this stage,1D/2D Winograd and nesting are A; proposed one-axis integer kernel not executed
S5,LoAS,MICRO 2024,https://arxiv.org/html/2407.14073v2,"Current online III/Algorithm1, IV-A-D, V, lines159-256",Current full method/hardware section reread,"https://github.com/RuokaiYin/LoAS ; paper link verified, no code execution","FTP, fibers, pseudo/correction accumulators and 0/1-spike pruning+finetune are A; P-LIF not PSN"
S6,Prosperity,HPCA 2025,https://arxiv.org/html/2503.03379v1,"Online reopened; prior 2026-09-13 III-A-D,V-B-E close read reused","Reused close read, not a new full-paper count",https://github.com/dubcyfor3/Prosperity ; official README located online,Single-prefix/residual and full dispatch obligations are A; current leaf not whole Prosperity
S7,Phi,ISCA 2025,https://arxiv.org/html/2505.10909v1,"Online reopened; prior 3.2-3.3,4.1-4.3 close read reused",Reused close read,Official code not confirmed,PWP/PAFT/capacity-bank pack checking/flush are A; not fully reproduced
S8,Bishop,ISCA 2025,https://arxiv.org/html/2505.12281v1,Online reopened; prior 3.2/4.1 current team close read reused,Reused close read,Official code not confirmed,TTB/BSA and feature positions are A; attention ECP cannot be imported as signed-conv bound
S9,TensorDash,MICRO 2020,https://www.cs.toronto.edu/ecosystem/papers/MICRO_21/TensorDash.pdf,Current online conference PDF pp6-7 scheduling; local author preprint 3.2 and 3.6.2 reread,Explicitly distinguish conference 4lane/4deep and preprint16lane/3deep configurations,Official hardware repository not located; unrelated names excluded,"Bounded promotion, matched operands, hierarchical consumption and banked refill are A; full accelerator not reproduced"
S10,Comperity,ACM TACO 2026-07-24,https://doi.org/10.1145/3828526,Current Crossref publisher-deposited abstract+metadata; DOI/fulltext web attempts failed,"Abstract/metadata only, not full read",Code not located,Adjacent-row base/differential AND/XOR confirmed; detailed state/consumer exclusions cannot be inferred
P1,ChatGPTpro 硬件idea深挖0911,Local supplied advice,../../../../gptpro/ChatGPTpro-%23硬件idea深挖0911.md,Method matrix/sections3-7 and recommendations reread,"Advice, not primary evidence",Not applicable,Physical word/all-consumer obligations retained; historical lifting point not current target
P2,ChatGPTpro 第二轮跨领域调研,Local supplied advice,../../../../gptpro/ChatGPTpro-%23第二轮跨领域调研：.md,Method matrices/physical source emitter/6.2 certificate and conclusions reread,"Advice, not primary evidence",Not applicable,Reuse and joint-sparsity strong controls retained; no lifting-control candidate
M1,Scientific Agent Skills,arXiv 2026,https://doi.org/10.48550/arXiv.2609.00065,Current arXiv metadata verified; local scientific-brainstorming SKILL read,"Process provenance, not hardware prior",Local skill only,Kassis/Agarwal/He/Patel/Brueckner; hypotheses/counterexamples/decisions separated
