file,title,mechanism_A,network_gap_B,candidate_increment_X,strong_control,missing_assumption_or_evidence,decision_and_reason,novelty_potential_0to4,fit_0to4,evidence_depth
APEX.md,APEX: A Dual-Sparsity Accelerator for Precise and Efficient SNN Inference,APEX双稀疏、近似/精度可调执行、早退费用交换及负修正/全时间后发放,有损近似≠门证书；PASC-IF发放语义≠连续θg非因果PSN；早退省算未必过相对AEE+0.005门,无标题级 X；精度-费用旋钮映射到门控生存期尚无新电路,固定全精度全算、普通剪枝双稀疏、完整APEX编码/兴奋抑制修正与当前lifting40 T10,完整训练/编码/输出未迁；真实θg同模型AEE未测；原40nm结果不迁本地,保留对照；近似早退是费用旋钮先验而非证书跳过，PASC-IF不能当非因果PSN,1,2,card only; 已逐字读卡，卡内引用未当本轮全文证据
GustavSNN.md,GustavSNN: Unleashing the Power of Gustavson's Algorithm on SNN Acceleration with Column-Parallel Tick-Batch Dataflow,CPTB柱并行时间批、每PE膜驻留、NRV/NR4双缓冲、L1D/merger、双口共享W与同k-ID屏障,残差PSN双消费者改变last-use；2×4功能切片不能外推8×8净服务；稠密/广播分母已被否定,无标题级 X；差分只在lifting源字打包后并集费用是否下降,完整Gustav CPTB/NRV、普通稠密供数、最优普通GP、class序与packed-time,8×8调度/带宽未做；θg非因果T10未等价原LIF；完整producer→FC1→PSN→FC2→BN2未闭,保留强底座；2×4 GP切片仅功能且NR4+W驻留后class对packed-time约1.70%十帧，不得当标题或冒用原作PPA,2,4,card only; 已逐字读卡，卡内引用未当本轮全文证据
LoAS.md,LoAS: Fully Temporal-Parallel Dataflow for Dual-Sparse Spiking Neural Networks,真正时间维并行FTP与dual-sparse spMspM及Algorithm 1归约/分发,静态共享已测加法降而服务周期升；R>T使Vσ跨BN失败；串行scatter是弱分母,无标题级 X；共享变体不作主创新,完整FTP、direct 8bank T10并行累加、普通时间打包；禁用串行scatter弱分母,完整LoAS编码/控制/神经元链与checkpoint未迁；同负载功能诊断≠全网DC/PT/FM,停止该布局；静态共享相对direct加法-8.96%而Verilator周期+0.23%，只停该组织不杀FTP家族,1,3,card only; 已逐字读卡，卡内引用未当本轮全文证据
SCNN.md,SCNN: An Accelerator for Compressed-sparse Convolutional Neural Networks,压缩稀疏卷积：非零探测、笛卡尔积稀疏执行与PE间传递,CNN假设下非因果T10改变融合last-use，不能假设零中间存储而忽略Conv2 halo与输出累加,无标题级 X；祖先底座不是本地增量,稠密卷积、仅门控零乘、普通压缩稀疏执行与same-port计费,完整输入/输出halo、bank冲突与压缩finish未迁；两Conv+PSN+BN2/shortcut同域融合未闭,保留对照；笛卡尔积零跳过不是新机制，same-port计费对不齐则仅文献对照,1,2,card only; 已逐字读卡，卡内引用未当本轮全文证据
Tambe_Sparse_Transformer_Processor.md,"Sparse Transformer Processor with Entropy-Based Early Exit, Mixed-Precision Predication and Fine-Grained Power Management",熵早退、混合精度谓词与细粒度功耗管理的稀疏Transformer处理器,光流是连续回归，分类熵不能替代可靠误差；现粗头试验未复现芯片控制闭环,无标题级 X；解码器旁路可能省费用但搬到r1主岛易诱拐课题,稠密注意力、普通token稀疏/早退、FlashAttention类软件核与本地K=0有限份额,光流廉价判据/校准/错误代价及FP4/8与V/F联合控制未做；不能借用原文实测收益,旁路低适配；明确不进主岛不抢Stage B，分类熵早退不能当AEE证书,1,1,card only; 已逐字读卡，卡内引用未当本轮全文证据
gustavsnn_hpca2026.md,GustavSNN: Unleashing the Power of Gustavson's Algorithm on SNN Acceleration with Column-Parallel Tick-Batch Dataflow,CPTB列分块膜in-situ驻留、NRV行跳、NR=4 merger与列主序time-second供数,相对naive/ex-situ GP、IP tick-batch与FTP，局部膜+NRV列主序尚未在残差双消费者上闭合,无标题级 X；NRV打包边界与lifting因子组对齐或共享请求同步只可挂接口,naive/ex-situ GP、IP tick-batch、FTP/temporal-parallel、ordinary序加同Gustav部件,原评测为分类SNN/LIF；无残差PED双消费者与finite背压合同；P过小会撞共享W-BUF,保留强底座；合并GustavSNN.md同文不另计先验，列主序/NRV须胜ordinary序才谈对齐,2,4,card only; 已逐字读卡，卡内引用未当本轮全文证据
looptree_tcasai2024.md,LoopTree,融合层tiling×retain/recompute数据流分析：多面体tile形、动作计数、Buffet编排与占用/传输聚合,无限重排/零停顿假设与finite背压冲突；只降缓冲占用未必改善同端口服务,无标题级 X；分析器本身非加速器增量，工具借入≠标题X,只搜层内Timeloop、无per-tensor retain的融合DSE、ordinary dense占用/传输,CNN/Transformer层融合验证；非SNN时间维且无spike/NRV语义；融合集外生须先固定r1→PED,保留对照；作Stage B同分母排程方法论底座，预测乐观或无净服务则停该分析布局用法,1,2,card only; 已逐字读卡，卡内引用未当本轮全文证据
scnn_isca2017.md,SCNN: An Accelerator for Compressed-sparse Convolutional Neural Networks,PT-IS-CP-sparse笛卡尔积、RLE索引、scatter写入累加bank及PPU halo/ReLU/再压缩,输出须稠密累加至ReLU；bank冲突与RLE解码限制密度积优势；无膜/时间步语义,无标题级 X；Kc压缩块只是结构化稀疏接口先例，借入格式≠lifting剪枝X,同阵列PT-IS-CP-dense、仅门控零乘、普通压缩路径与same-port密度积计费,16nm综合估计与剪枝CNN；halo邻PE通信及高密度psum缓冲未按本网重计,保留对照；合并SCNN.md同文，scatter与稠密psum吃掉密度积则停该执行布局不杀剪枝族,1,2,card only; 已逐字读卡，卡内引用未当本轮全文证据
os_CUTLASS.md,CUTLASS,NVIDIA CUTLASS稀疏/稠密GEMM构件工具链,GPU kernel吞吐≠ASIC same-port净服务；半稀疏权仍可能打满θg/T10源bank字,无标题级 X,稠密CUTLASS、2:4稀疏核、手工循环与同训练步数,软件栈≠same-port；版本/核调用未核；开源仓级非论文全文,保留对照；开源GEMM栈只作F1工具分母，不得当标题X,0,3,card only; 已逐字读卡，名称或摘录不计全文
os_FlashAttention.md,FlashAttention,IO-aware分块注意力高效核,不进主岛；本地K=0注意力份额有限；软件核延迟≠AEE/净服务,无标题级 X,朴素注意力、xformers、稠密QK与普通token稀疏,开源仓级非论文全文；未映射residual PSN接口,旁路低适配；F7不进主岛，软件核延迟不能替代AEE/净服务,1,1,card only; 已逐字读卡，名称或摘录不计全文
