file,title,mechanism_A,network_gap_B,candidate_increment_X,strong_control,missing_assumption_or_evidence,decision_and_reason,novelty_potential_0to4,fit_0to4,evidence_depth
unresolved_ASNA_Flow.md,ASNA-Flow: Asynchronous Neuromorphic Accelerator for Real-Time Event-Based Optical Flow,仅题名异步事件光流加速器；本卡无完整机制A,事件光流硬件或可对照当前SNN-Transformer路径但卡未证明A不够,无标题级 X,普通事件卷积核、异步供数与当前完整T10双消费者同资源,全文未迁；神经元与调度接口未抄；消费者未接；同资源未比；库存有TVLSI DOI不等于已读,待核全文；题名不能抄全异步调度与输出合同，不得当已精读光流硬件或标题X,1,2,card only; 已逐字读卡，名称或摘录不计全文
unresolved_COMPASS.md,COMPASS: SRAM-CIM with adaptive spike speculation,仅题名SRAM-CIM与自适应脉冲推测；无电路细节,卡未说明CIM转换税后如何服务连续θg,无标题级 X,普通数字稀疏供数、预测非零与完整CIM宏同资源,全文未迁；推测窗口与误预测费用未给；未接θg连续路径；同资源未比,旁路低适配；CIM加脉冲推测未提供θg连续路径控制，二值存内不得当主贡献,0,0,card only; 已逐字读卡，名称或摘录不计全文
unresolved_C_Transformer_ISSCC24.md,C-Transformer homogeneous DNN/Spiking-Transformer processor,仅题名同构DNN/脉冲Transformer处理器；机制未核,权生成或大小网或可对照流量但卡未定位本网洞,无标题级 X,同小网、普通量化与完整隐式权生成,全文未迁；与unresolved_C_Transformer.md同ISSCC24芯片但本卡更短；LLM拓扑未接T10消费者,待核全文；不能从简称抄全大小网或隐式权，不另计一份先验也不推导已支持残差θg,0,1,card only; 已逐字读卡，同包实名卡不沿用为这张未核卡的全文证据
unresolved_Clock_free_multilevel_event_SNN.md,An 82-nW 0.53-pJ/SOP Clock-Free Spiking Neural Network With 40-µs Latency for AIoT Wake-Up Functions Using a Multilevel-Event-Driven Bionic Architecture and Computing-in-Memory Technique,仅题名无时钟多级事件驱动与CIM唤醒；无微架构A,空闲唤醒与内部双消费者完成不是同一问题,无标题级 X,普通时钟门控、事件触发与数字定点神经元,全文未迁；nW/SOP不可当系统服务；未接满T10与θg幅值,旁路低适配；CIM唤醒岛未给θg连续路径控制，不得用传感级延迟替代光流执行,0,0,card only; 已逐字读卡，名称或摘录不计全文
unresolved_Configurable_CSA_for_Spiking_Transformers.md,An Area-Efficient and Bit-Width Configurable Carry-Save Adder Tree for Spiking Transformers,仅题名位宽可配CSA加法树；无树结构或位合同,累加器位宽可能影响脉冲或幅值路径但卡未证明,无标题级 X,普通定点加法树、popcount与连续θg累加同精度,全文未迁；未说明是否只服务二值脉冲；消费者未接；库存ISCAS DOI不等于已读,待核全文；题名加法树不能当已抄全的θg累加控制，也不得默认只做二值popcount,0,1,card only; 已逐字读卡，名称或摘录不计全文
unresolved_DVS_NullHop_demonstration.md,完整题名待核；DVS + NullHop demonstration,无完整题名也无机制A,卡不能证明DVS演示相对本网缺什么,无标题级 X,普通事件前端、稀疏CNN与当前完整网络,题名待核；全文未迁；与NullHop身份是否同一加速器未消歧,待核全文；不完整标题不能命名先验A，禁止把演示名写入晋级证据,0,1,card only; 已逐字读卡，名称或摘录不计全文
unresolved_ELSA_attention_2021_.md,"ELSA: Hardware-Software Co-design for Efficient, Lightweight Self-Attention",仅题名轻量自注意力软硬协同；机制未核且勿与2026弹性SNN ELSA混名,注意力近似是否能省当前patch贵段未知,无标题级 X,稠密注意力、AND-popcount与普通token剪枝同精度,全文未迁；ANN自注意力语义未核；库存ISCA PDF不等于本卡已读,待核全文；题名不能抄全近似注意力算法，不得套成lifting停止或θg注意力,1,1,card only; 已逐字读卡，名称或摘录不计全文
unresolved_ESSA.md,ESSA: Efficient Sparse Spiking Architecture with adaptive spike compression,仅题名稀疏脉冲架构与自适应脉冲压缩,脉冲压缩未说明如何保持连续θg信息,无标题级 X,普通稀疏供数、无压缩脉冲与量化后连续幅值,全文未迁；压缩码、解码与误差未给；未接双消费者,旁路低适配；题名只给脉冲压缩未提供θg连续路径控制，二值压缩不得当主贡献,0,1,card only; 已逐字读卡，名称或摘录不计全文
unresolved_Eyeriss_row_stationary_.md,Eyeriss: A Spatial Architecture for Energy-Efficient Dataflow for Convolutional Neural Networks,仅题名行驻留空间数据流；本卡未抄PE阵列与复用细节,卷积reuse是普通实现分母但卡未证明对本网不够,无标题级 X,row-stationary、普通输出驻留与零跳过同缓存,全文未迁；勿与JSSC芯片卡混为一份；库存主页不等于已读ISCA正文,待核全文；行驻留一词不是可抄全的数据流A，只作普通对照线索不升标题,1,2,card only; 已逐字读卡，名称或摘录不计全文
unresolved_FPGA_plane_fitting_event_optical_flow.md,Event-based Plane-fitting Optical Flow for Dynamic Vision Sensors in FPGA,仅题名事件平面拟合光流FPGA；无拟合窗口与速度编码细节,局部平面速度不能覆盖稠密遮挡与复杂运动,无标题级 X,普通局部时差、平面拟合加同一稠密后端,全文未迁；指标未必是DSEC AEE；未接入当前网络,待核全文；题名局部拟合不能当完整先验A，也不可替代本任务SNN-Transformer,1,1,card only; 已逐字读卡，名称或摘录不计全文
unresolved_FireFly_T.md,FireFly-T: sparse engine + binary AND-PopCount attention for Spike Transformer,题名级稀疏引擎与二值AND-PopCount注意力；无引擎接口细节,二值注意力算术不同于连续膜与θg消费,无标题级 X,完整双引擎、AND-popcount、普通GP与连续θg注意力,本卡无全文；同包FireFly-T实名卡不沿用为这张卡的机制抄全；未接θg连续路径,保留对照；FireFly稀疏引擎可作执行分母但非标题X；二值AND-PopCount未给θg控制不得当主贡献,1,2,card only; 已逐字读卡，同包实名卡不沿用为这张未核卡的全文证据
unresolved_Gustavson_algorithm.md,Two Fast Algorithms for Sparse Matrices: Multiplication and Permuted Transposition,仅1978稀疏矩阵乘法题名；本卡未抄行式SpMM,稀疏行积是供数底座但卡未证明相对GustavSNN还缺什么,无标题级 X,普通内积/外积、完整Gustavson与GustavSNN CPTB同资源,全文未迁；算法纸不等于已迁SNN执行；消费者未接,待核全文；不得把题名当已抄全Gustavson；可执行底座在GustavSNN.md而非本卡,1,2,card only; 已逐字读卡，名称或摘录不计全文
unresolved_ISSCC25_ConvFormer.md,ISSCC 2025 23.2 ConvFormer author PDF,仅作者PDF线索；本卡无机制A,本卡不能独立证明分割加速器相对光流网的洞,无标题级 X,完整ConvFormer流程与普通低秩分组同资源,本卡无全文；同包isscc2025_convformer已核但不沿用到此未核卡,待核全文；别名卡不能抄全先验A，不重复计ConvFormer全文，ANN分割也非θg路径X,0,1,card only; 已逐字读卡，同包实名卡不沿用为这张未核卡的全文证据
