line,metric,value,baseline_or_scope,evidence_class,paper_status,mandatory_boundary
Workload,DSEC valid825 AEE,1.199514,Motion C12 ep34,checkpoint evaluation,main,Not a hardware speedup
Workload,subset deployment valid825 AEE,1.197367,"hardware-order attention + 4 Conv3x3 + 4 ConvTranspose QDQ",M2045 plus two independent result audits,main,"Frozen-baseline-referenced accuracy preservation; not backend-matched causal improvement or full-network INT8"
Workload,subset deployment AEE delta,-0.002147,baseline 1.199514 on same 825 frames / 18 sequences / 48152523 valid pixels,M2045 independent recomputation,main,"Historical baseline and candidate backend flags differ; no causal attribution"
Workload,global firing rate,5.6709%,Motion C12 ep34,profile,main,Activity is not time or energy saved
C1,component speedup,1.694510x,strongest-zero same ledger,CPU cycle model,main,Not RTL or system speedup
C1,mapped area,166514.312 um2,nine SRAM macros,DC/PT/Formality,main,Prelayout mixed evidence scope
C1,real-mask model-to-RTL event calibration,15 event counters matched,one ep34 64-row support-mask tile,VCS functional 100/100,main support,Numeric values are synthetic signed12 with zero prior; 1.694510x remains CPU model
C2,cycle ratio,1.016728x,equal-bandwidth K1x8,directed cycles,main,Must appear with area efficiency
C2,throughput per logic area,4.550657x,equal-bandwidth K1x8,matched DC plus cycles,main,Logic-only and hold remains open
C2,logic area reduction,77.6576%,equal-bandwidth K1x8,matched DC,main,Not sparse speedup
TSBG,modeled cycle ratio,2.533808x,ordinary persistent LRU4,CPU premodel,body only,Not RTL mapped same-area or system
TSBG,weight traffic reduction,65.1978%,ordinary persistent LRU4,CPU premodel,body only,Same I/O and cache capacity model
TSBG,directed request reduction,75%,576 to 144 bundle and 4608 to 1152 scalar,VCS functional 99/100,main directed evidence,No exact RTL cycle ratio
TSBG,matched logic area overhead,0.0117568%,249710.452 vs 249739.810 um2,Matched logic-only DC 99/100,body physical support,Hold power SRAM macro exact cycles and same-area full design remain open
INT8 bridge,weight export and static Acc24 bound,C1 max 200219; decoder max 87136,8 operators and 24 NPY,Independent result hammer 99/100,closure support,No activation replay AEE cycles or speedup
INT8 bridge,operator-local QDQ accuracy,"MAE 0.009106; RMSE 0.012407; cosine 0.9999789",160 ep34 C1/decoder calls and 3.272B full outputs,A800 replay plus independent result hammer 99/100,main numerical support,Not valid825 AEE downstream ATLIF full-network INT8 cycles or PPA
INT8 bridge,integer oracle and Acc24,"1280 probes; 0 mismatch; observed [-29680 27619]; formal bound 200219",same 160 calls,Python-int probes plus formal absolute-sum proof,main numerical support,Observed hardware-order prefixes are sampled; full final output population is complete
C3,service latency,17 cycles per tile,fixed T10,VCS plus physical anchor,support,No speedup claim
C3,mapped logic area,63756.126 um2,fixed T10,DC/PT/Formality,support,Logic-only prelayout
RQTB,whole-network sensitivity,about 1.0009x,old 0.5889% attention share,Amdahl sensitivity,remove from main,Not a system performance axis
