mechanism_a,mechanism_b,pipeline_relation,resource_relation,state_metadata_relation,overlap_or_conflict,replacement_decision,identity_effect
C1_1RW_product_capture,C2_typed_signed_K8,"disjoint operator phases; sequential composition","may share SRAM fabric/phase control; arithmetic state must remain owned","C1 parent/liveness/psum versus C2 tuple/bank/Acc24","no mathematical overlap; no local-ratio multiplication","coexist; neither replaces the other","no checkpoint change; both workload traces rebind"
C1_1RW_product_capture,C3_Fixed_T10_ATLIF,"graph-stage serial or disjoint","conditional SRAM/activation/phase sharing","parent scratch versus coefficient/neuron state","no compute overlap","coexist","no checkpoint change; C3 coefficients and C1 activity rebind"
C1_1RW_product_capture,RQTB,"Conv versus attention scope","conditional SRAM/phase-controller sharing","parent/liveness versus K/class/slot","no compute overlap","coexist; RQTB supporting only","no checkpoint change; traces rebind"
C1_1RW_product_capture,TSBG,"current Conv versus FC scope","could share row-memory fabric but not required","parent scratch versus bundle/row tags","no current overlap; do not generalize TSBG to Conv as new contribution","coexist; TSBG belongs to C2","TSBG diagnostic codeword exact only until quant bridge"
C1_1RW_product_capture,S2_CCBS,"S2 decision before fetch then C1 for kept blocks","S2 metadata/debt competes with directory/weight/parent ports; O16 bank alignment required","destination debt separate from parent liveness and terminal","high overlap in avoided fetch/product/update; baseline must be C1-enabled","coexist as optional prefilter; S2 does not replace C1","same checkpoint; separate epsilon policy and paired AEE"
C1_1RW_product_capture,S1_ABCG,"current scopes mostly disjoint; if shared source then S1 before C1","beta/debt port can compete with ingress/weight ports","destination debt separate from parent liveness","do not revive binary bottleneck G7; only incremental residual work","coexist only in frozen analog-boundary scope","same checkpoint; separate epsilon policy and paired AEE"
C2_typed_signed_K8,C3_Fixed_T10_ATLIF,"C3 producer to C2 consumer","separate neuron arithmetic and Acc24; shared queues possible","phase/neuron state versus tuple/bank/Acc24","interface scale/tag/terminal must be exact","serial coexist","no checkpoint change; scale/coefficient/codeword rebind"
C2_typed_signed_K8,RQTB,"current FC service versus attention core","conditional shared Linear backend/SRAM only","Acc24 context versus K/class/slot","no current compute overlap","coexist; C2 does not replace RQTB","no checkpoint change; workload rebind"
C2_typed_signed_K8,TSBG,"TSBG memory mode feeds C2","same descriptor SRAM/row buffer/weight port/K8 ingress","bundle header/context expands to identical C2 tuples","builder or expander may become bottleneck","TSBG replaces ordinary row-fetch/scan mode; never C2 K8/Acc24","no checkpoint change; captured-codeword exact only today"
C2_typed_signed_K8,S2_CCBS,"S2 G16/O16 gate before two K8 waves and six O16 slices","metadata/debt ports and independently gateable weight banks required","debt state separate from Acc24 completion","source/block drop does not imply cycle saving; tail and commit remain","optional prefilter; does not replace C2","same checkpoint; epsilon policy and paired AEE"
C2_typed_signed_K8,S1_ABCG,"S1 per-source gate before tuple issue","beta port and comparator share ingress bandwidth","debt separate from Acc24 context","reduced sources may worsen K8 occupancy/tail","optional frontend; does not replace C2","same checkpoint; epsilon policy and paired AEE"
C3_Fixed_T10_ATLIF,RQTB,"different math; may be adjacent at attention-local ATLIF","may share SRAM/phase/clock but not assumed","temporal coefficient/neuron state versus K/class/slot/window","functionally orthogonal; physical zero-cost claim forbidden","coexist; neither replaces the other","both exact but final checkpoint/trace rebind"
C3_Fixed_T10_ATLIF,TSBG,"C3 output may be bundled before FC2","temporal output FIFO and C2 bundle buffer may share transport","phase/token tags must carry into bundle context","TSBG cannot alter coefficients or neuron state","serial coexist","no checkpoint change; codeword bridge required"
C3_Fixed_T10_ATLIF,S2_CCBS,"S2 may gate downstream FC fetch; upstream use changes C3 inputs","debt metadata separate; shared activation ports possible","local output debt is not temporal-state/AEE bound","paired forward required when S2 is upstream of C3","conditional coexist","same checkpoint; lossy policy identity"
C3_Fixed_T10_ATLIF,S1_ABCG,"S1 may gate analog ingress upstream or downstream","beta metadata separate; shared ingress possible","local beta debt is not future neuron-state bound","paired forward required if C3 input changes","conditional coexist","same checkpoint; lossy policy identity"
RQTB,TSBG,"attention versus FC scope","conditional shared memory/transport","K/class/slot versus bundle/row tags","no current overlap","coexist; both supporting submodes","no checkpoint change; respective traces rebind"
RQTB,S2_CCBS,"scope-partitioned by target manifest","avoid attention in current S2 mode","independent quotient state and destination debt","generalized Q/K gating would require a new composed error bound","coexist only with attention excluded","same checkpoint; S2 policy identity"
RQTB,S1_ABCG,"scope-partitioned by target manifest","avoid attention in current S1 mode","independent quotient state and destination debt","generalized Q/K gating not admitted","coexist only with attention excluded","same checkpoint; S1 policy identity"
TSBG,S2_CCBS,"TSBG exact bundle exposes A(G); S2 gates before row fetch","share bundle parser/metadata/row port","bundle context plus separate destination debt","must separate repeated-row bytes from skipped-block bytes","serial coexist; S2 baseline must include TSBG","TSBG exact coordinate plus separate S2 epsilon identity"
TSBG,S1_ABCG,"S1 can run in bundle expander","per-source scan may erase bundle benefit","bundle code scan plus destination debt","high control/scan conflict","conditional; prefer TSBG and keep S1 fallback","TSBG exact coordinate plus separate S1 epsilon identity"
S2_CCBS,S1_ABCG,"same fetch-before-compute stage","compete for metadata/debt/weight gate","same destination budget owner","double scan and double-counted error/work if independently chained","mutually exclusive main modes; one shared-ledger hierarchy only with new proof","same checkpoint but distinct policy identities; at most one main-table lossy mode"

