file,title,mechanism_A,network_gap_B,candidate_increment_X,strong_control,missing_assumption_or_evidence,decision_and_reason,novelty_potential_0to4,fit_0to4,evidence_depth
CARD_A_OP_STW.md|c1s_op_stw_predictor.sv,OP-STW,普通|Δflow|+event-count阈值门；ERAFT/FlowAcc/事件相机空窗跳过；Codex已测残差卷积因果运动差分相对bit-skip为额外功,本网贵段是patch r1上T10 lifting与双消费者而非tile比较器；运动差分调度并未被证明能过AEE≤1.259或同资源少15%,无标题级X。RTL字面 wake=(|flow_cur-flow_prev|>TH_W)||(event_cnt>TH_E)；无网络AEE；front_pipe未接T10/θg,同刺激ALWAYS wake vs OP-STW；普通事件密度门；bit-skip/最强零；同预算减宽稠密,无DSEC valid825；无同资源对照旧C1；消融wake_pop 64→32仅N_TILE=8定向向量；OpenROAD≠PPA,停止该布局作主刀。可作胶水唤醒位图但不得当信件标题；运动差分族已被本地负结果压住,0,1,card+rtl tb
CARD_G_TDE3_TMA_GROKBOT.md|c1s_tde3_prior.sv,TDE3-Prior,TDE-3(arXiv:2402.11662)促进+第三抑制；数字TDE TNNLS 2021；TrueNorth Barlow-Levick方向单元,局部时差先验填不了稠密遮挡/复杂运动；未证明能减少T10 patch贵段,无标题级X。RTL是1D邻域age计数+谁更年轻→dir/conf；冲突邻域减置信；tde_wake再OR进OP-STW。不是模拟TDE也不是Loihi硅,TDE-2/平面拟合/普通局部相关；关TDE只留OP-STW；同GT稠密后端,未接二维光流网；age是节拍不是事件时间；未进c1s_top/front_pipe；无AEE,纠正后保留为消融先验。停止first-HW/生物硅声称；不得加深OP-STW主刀叙事,1,1,card+rtl tb
c1s_wake_merge.sv,wake_merge,普通使能位OR合并,无洞。三路唤醒OR不改变贵段工作量,无标题级X。wake_merged=op_stw|tde_wake|delta_nz,单路唤醒 vs OR三路；普通位图并集,仅TDE3定向TB；未进c1s_top,保留对照。胶水层；禁止列入贡献,0,1,card+rtl tb
c1s_ecp_qkv_predictor.sv,ECP-QKV,FACT eager skip；Bishop ECP活动界；普通相关峰阈值,本网QKV投影是否为同资源瓶颈未测；阈值跳过不等于少T10服务,无标题级X。proj_en=(corr_score>TH_S)||(use_wake&&wake),FACT全栈；普通corr门；关use_wake；同精度必算投影,corr_score由TB注入；无真实QK；无AEE；易与Bishop-ECP-bound混名,停止该布局。阈值比较器不可当预测器创新,0,1,card+rtl tb
c1s_mw_delta_buf.sv,MW-ΔBuf,MotionDeltaCNN/DiffFrame/CBinfer；FlightVGM运动稀疏动机,Codex已测因果运动差分相对bit-skip是额外功；无warp的tile减法更不能省双消费者状态,无标题级X。delta=cur-ref；delta_nz=(|delta|>TH_D)；草图写motion-warped但RTL无插值无光流warp,真warp残差 vs 对齐相减；bit-skip；静态减宽；Delta层全训练,无运动补偿；TH_D默认0即非零即醒；消融wake_pop不降反升32→49,停止该布局。残差缓冲可作对照输入但不得称运动扭曲,0,1,card+rtl tb
c1s_ogec_gate.sv,OGEC,GMFlow遮挡传播；普通match/unmatch二路选择,遮挡≠本网AEE瓶颈；match_ok从端口灌入不算检测器,无标题级X。exact_en=match_ok；prop_en=~match_ok。草图写前后向一致性/事件密度不一致；RTL是1bit透传,全ExactMatch消融；普通邻域填充；同资源必精确,无遮挡估计器；未与真实相关体相连；组合故事大于电路,停止该布局作遮挡光流HW。保留1bit路径选择作对照胶水,0,1,card+rtl tb
c1s_prrc_ledger.sv,PRRC,普通配额计数器；金字塔残差窗/粗到细ROI,草图写整数warp得ROI且细层只对残差窗计费；本网未证明金字塔精确积是T10贵段,无标题级X。三级budget递减；allow_exact=(cur!=0)；无warp无ROI无金字塔特征,固定配额 vs 耗尽后REUSE；普通capacity；同预算必精确,无特征金字塔；spend由TB打拍；EXACT档exact_hit 49→19是INIT_BUDGET=3的算术封顶,保留对照。账本可作控制平面；停止金字塔残差架构声称,1,2,card+rtl tb
c1s_exact_capture_wrap.sv,exact_capture,有限容量入队FSM；旧C1精确积捕获/ProSparsity族,旧C1精确子集已被Prosperity等先验压死；AND三个使能不是新捕获数学,无标题级X。gated_hits=allow_exact?exact_en:0；IDLE/BUSY/DONE；容量封顶。信件刀3=OGEC×PRRC→exact只是使能相与,平坦配额 vs 匹配∩预算∩容量；普通skip；同资源全精确,无积计算；无AEE；c1s_top侧挂而非关键路径闭环；CAPACITY/BUDGET由TB设定,纠正后保留为控制协议。停止精确积捕获创新与旧C1换皮,1,2,card+rtl tb
CARD_H_CFP_SCI_GROKBOT.md|c1s_cfp_confgate.sv,CFP-ConfGate,EMD-Flow/CFP ICCV 2023置信传播；GMFlow,OGEC已是match二元；缺的是可训练置信→真贵段配额而非peak截断,无标题级X。conf=sat(corr_peak)；≥TH_HI则prop否则exact；grant=(budget*n_need)/N_TILE。TH_LO死参数。未进c1s_top,ALWAYS_EXACT vs CFP；普通峰值门；PRRC固定预算,corr_peak由TB给；无EMD MMA；无AEE标定TH；capture_cfp=12 vs 28是刺激计数,停止该布局作first CFP-HW。若日后有真实conf图可降为exact配额对照,1,2,card+rtl tb
CARD_H_CFP_SCI_GROKBOT.md|c1s_sci_cleanexit.sv,SCI-CleanExit,SciFlow CVPRW 2024 SCI通道；ERAFT FPGA早停；PredExit残差<ε halt,本网是前馈PSN无RAFT迭代态；无warp就没有SCI map,无标题级X。g=255-sat(|f1-f2_warp|)；g<TH则scrub；均值>TH则exit；hold=scrub|!exit|occ。f_hat未用。TB预供f2_warp,EXIT_ONLY vs FULL；普通残差阈值早停；固定迭代步,无真实warp；无迭代FSM接到exact_capture；未进顶层；SciFlow是帧侧轻量模型,停止该布局作SCI/光流迭代HW。残差质量门最多作对照,1,1,card+rtl tb
CARD_B_HBG_RP.md|c2s_hbg_rp_packetizer.sv,HBG-RP,Bishop/AAC二值门；FireFly-v2/SMAM双轨动机；普通死区/时钟门,冻结ep35捕获为二值；本刊ATLIF必须连续θg。|amp|>eps不是双轨架构；int8不可吸收是合同不是电路,无标题级X。g=amp_valid&&(|amp|>EPS)；p=g?amp:0；pe_clk_en=g。Yosys量级约24 cells。独立评审已警告误售冻结身份,二值捕获 vs int8提案 vs 连续θg直出；吸收进W；普通幅值稀疏,无int8 vs binary AEE/Pareto；合同自写DEFAULT DRAFT；与连续θg身份冲突若改发放合同,停止该布局作信件刀2。可留一句θg勿吸入W的身份约束；禁止dual-rail/HBG标题,0,1,card+rtl tb
