id,title,venue,year,primary_url,depth,read_scope,code_url,branches
L01,SmartExchange: Trading Higher-cost Memory Storage/Access for Lower-cost Computation,ISCA,2020,https://arxiv.org/pdf/2005.03403,method_and_hardware_close_read,PDF pp.3–7; §III-A/B/C and §IV-A/B; algorithm and RE/PE/index/buffer sections,,decomposition
L02,StrassenNets: Deep Learning with a Multiplication Budget,ICML,2018,https://proceedings.mlr.press/v80/tschannen18a/tschannen18a.pdf,method_close_read,"PDF pp.3–5; §2.1–2.4; ternary SPN, inference folding, grouped and spatial convolution mapping",https://github.com/mitscha/strassennets,decomposition
L03,Convolutional Neural Network Compression through Generalized Kronecker Product Decomposition,AAAI,2022,https://cdn.aaai.org/ojs/19958/19958-13-23971-1-2-20220628.pdf,method_close_read,PDF pp.2–4; printed pp.772–774; rearrangement/SVD method and KroneckerConvolution Algorithm 1,,decomposition
L04,Fast Algorithms for Convolutional Neural Networks,CVPR,2016,https://openaccess.thecvf.com/content_cvpr_2016/papers/Lavin_Fast_Algorithms_for_CVPR_2016_paper.pdf,method_close_read,PDF pp.2–3; printed pp.4014–4015; §4.1 Equations 5–13 and Algorithm 1,https://github.com/NervanaSystems/neon,decomposition
L05,WINS: Winograd Structured Pruning for Fast Winograd Convolution,ICCV,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Park_WINS_Winograd_Structured_Pruning_for_Fast_Winograd_Convolution_ICCV_2025_paper.pdf,method_and_gpu_mapping_close_read,"PDF pp.2–6; printed pp.22478–22482; §2, §4, §5, row/column WINS, balanced and adaptive balanced variants",,decomposition
L06,Fast Kronecker Matrix-Matrix Multiplication on GPUs,PPoPP,2024,https://arxiv.org/pdf/2401.10187,method_and_cuda_implementation_close_read,"PDF pp.3–6; §3, §4.1–4.2, algorithms/shift caching/fusion",https://github.com/abhijangda/fastkron,decomposition
L07,LUT-GEMM: Quantized Matrix Multiplication based on LUTs for Efficient Inference in Large-Scale Generative Language Models,ICLR,2024,https://proceedings.iclr.cc/paper_files/paper/2024/file/a4f98ce85f440ee269b0df57b4368719-Paper-Conference.pdf,method_and_gpu_mapping_close_read,PDF pp.4–6; §2.3 and §3.1–3.4,https://github.com/naver-aics/lut-gemm,decomposition
L08,LUT-DLA: Lookup Table as Efficient Extreme Low-Bit Deep Learning Accelerator,HPCA,2025,https://arxiv.org/pdf/2501.10658,method_and_hardware_close_read,"PDF pp.2–7; §II–V; VQ, CCM/IMM pipeline, LUT-stationary Algorithm 1, LUTBoost",,decomposition
L09,Platinum: Path-Adaptable LUT-Based Accelerator Tailored for Low-Bit Weight Matrix Multiplication,ASP-DAC,2026,https://arxiv.org/html/2511.21910v1,method_and_hardware_close_read,HTML §II–IV and §V-A (lines 73–219 on opened rendering); original PDF also downloaded but not independently page-read,,decomposition
L10,UCNN: Exploiting Computational Reuse in Deep Neural Networks via Weight Repetition,ISCA,2018,https://www.kartikhegde.net/media/UCNN_ISCA.pdf,method_and_hardware_close_read,"PDF pp.3–8; §III–IV, group factorization/reuse, sorted iiT/wiT, size16 limit, empty-group handling and spatial banks",,decomposition
