attack_id,attack,verdict,evidence
A01,Pinned target/source/docs identities,PASS,All pinned SHA-256 values match request/contract.
A02,M626 inner manifest + outer seal,PASS,7 members; mismatch=0; outer=True
A03,"Handoff 1230 members / 2,196,076,814 B",PASS,members=1230 bytes=2196076814 mismatch=0
A04,100-sample three-sequence population/join,PASS,09_a/07_a/02_c=64/10/26; sample-key join=100/100
A05,Full 1200 Q/K/gate NPZ replay,PASS,opened=1200; SHA/stat mismatch=0
A06,Frozen density-bin arithmetic,PASS,"ALL population=[9, 8, 9, 42, 32, 0]; table mismatches=0"
A07,"Sequence min/mean/max, AEE, Q/K weighted activity",PASS,3 sequences; JSON/CSV mismatch=0
A08,activation_records positional identity warning,PASS,3400 rows=100x34; explicit=800=100x8; positional-only=2600=100x26
A09,M51 raw Conv/FC physical completeness,PASS,"manifest=310 physical=160 missing=150; present={'Conv2d': 60, 'Linear': 100} missing={'Linear': 140, 'Conv2d': 10}"
A10,M511 contract versus captured bytes,PASS,contract=True actual payload files=0
A11,M460/M515 evidence boundaries,PASS,"M460 is S10 post-compute FFN oracle; M515 is S10 state/accounting audit, neither is multi-sequence raw input."
A12,Claim promotion attack,PASS,M626 admits no cycles/speedup/energy/PPA/full-network/headline.
