catalog_id,names,titles,source_refs,basis
W0001,Prosperity,Prosperity: Accelerating Spiking Neural Networks via Product Sparsity || Prosperity / ProSparsity pattern-reuse partial sums || Prosperity,MAIN-R001 || MUSHA-SP002 || PRO-ChatGPTpro-#硬件idea深挖0911-50 || PRO-ChatGPTpro-#第二轮跨领域调研：-111,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0002,GustavSNN,GustavSNN: Unleashing the Power of Gustavson's Algorithm on SNN Acceleration with Column-Parallel Tick-Batch Dataflow || GustavSNN: Gustavson SpMM + CPTB + NRV for spiking networks (HPCA 2026 public mirror) || GustavSNN,MAIN-R002 || MUSHA-SP001 || PRO-ChatGPTpro-#硬件idea深挖0911-52,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0003,LoAS,LoAS: Fully Temporal-Parallel Dataflow for Dual-Sparse Spiking Neural Networks || LoAS,MAIN-R003 || PRO-ChatGPTpro-#硬件idea深挖0911-51 || PRO-ChatGPTpro-#第二轮跨领域调研：-110,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0005,Phi,Phi: Leveraging Pattern-based Hierarchical Sparsity for High-Efficiency Spiking Neural Networks || Phi,MAIN-R005 || PRO-ChatGPTpro-#第二轮跨领域调研：-108,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0006,TA / Transitive Array || Transitive Array,Transitive Array: An Efficient GEMM Accelerator with Result Reuse || Transitive Array,MAIN-R006 || PRO-ChatGPTpro-#第二轮跨领域调研：-109,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0016,RISCSparse,RISCSparse: Point Cloud Inference Engine on RISC-V Processor || RISCSparse ICCAD 2024 sparse acceleration,MAIN-R018 || MUSHA-SP015,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0019,HighLight,HighLight: Efficient and Flexible DNN Acceleration with Hierarchical Structured Sparsity || HighLight,MAIN-R023 || MUSHA-SP011 || PRO-ChatGPTpro-#硬件idea深挖0911-55,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0020,CRISP,CRISP: Hybrid Structured Sparsity for Class-aware Model Pruning || CRISP block navigation structured sparsity || CRISP,MAIN-R026 || MUSHA-SP006 || PRO-ChatGPTpro-#硬件idea深挖0911-56,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0021,VENOM,VENOM: A Vectorized N:M Format for Unleashing the Power of Sparse Tensor Cores || VENOM two-level N:M structured sparsity || VENOM,MAIN-R027 || MUSHA-SP005 || PRO-ChatGPTpro-#硬件idea深挖0911-54,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0024,SCNN,SCNN: An Accelerator for Compressed-sparse Convolutional Neural Networks || SCNN: compressed-sparse Cartesian-product dataflow,MAIN-R031 || MUSHA-SP010,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0026,Eyeriss v2,Eyeriss v2: A Flexible Accelerator for Emerging Deep Neural Networks on Mobile Devices || Eyeriss v2,MAIN-R033 || PRO-ChatGPTpro-#第二轮跨领域调研：-207,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0028,Sparseloop,Sparseloop: An Analytical Approach To Sparse Tensor Accelerator Modeling || Sparseloop taxonomy: format / gating / skipping,MAIN-R037 || MUSHA-SP013,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0039,GOBO,GOBO: Quantizing Attention-Based NLP Models for Low Latency and Energy Efficient Inference || GOBO outlier-aware 3-4bit weight quantization,MAIN-R051 || MUSHA-QT001,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0040,OliVe,OliVe: Accelerating Large Language Models via Hardware-friendly Outlier-Victim Pair Quantization || OliVe outlier-victim pair quantization,MAIN-R052 || MUSHA-QT002,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0041,ANT,ANT: Exploiting Adaptive Numerical Data Type for Low-Bit Deep Neural Network Quantization || ANT adaptive numerical type,MAIN-R053 || MUSHA-QT003,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0042,SpinalFlow,SpinalFlow: An Architecture and Dataflow Tailored for Spiking Neural Networks || SpinalFlow: An Architecture and Dataflow Targeting Spiking Neural Networks,MAIN-R054 || MUSHA-SN005,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0043,SATO,SATO: Spiking Neural Network Acceleration via Temporal-Oriented Dataflow and Architecture || SATO: temporal-parallel SNN accumulate with binary adder-search tree,MAIN-R055 || MUSHA-SN006,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0044,STELLAR,STELLAR: Energy-Efficient and Low-Latency SNN Algorithm and Hardware Co-Design with Spatiotemporal Computation || STELLAR: Few-Spikes neuron with spatiotemporal Row-Stationary dataflow,MAIN-R056 || MUSHA-SN007,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0045,FireFly,FireFly: A High-Throughput Hardware Accelerator for Spiking Neural Networks With Efficient DSP and Memory Optimization || FireFly: A High-Throughput Hardware Accelerator for Spiking Neural Networks,MAIN-R057 || MUSHA-SN008,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0049,SpikeX,SpikeX: Exploring Accelerator Architecture and Network-Hardware Co-Optimization for Sparse Spiking Neural Networks || SpikeX,MAIN-R061 || PRO-ChatGPTpro-#第二轮跨领域调研：-211,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0050,Bishop,Bishop: Sparsified Bundling Spiking Transformers on Heterogeneous Cores with Error-Constrained Pruning || Bishop: Sparsified Bundling Spiking Transformers with Error-Constrained Pruning || Bishop,MAIN-R062 || MUSHA-SN012 || PRO-ChatGPTpro-#第二轮跨领域调研：-107,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0056,COMPASS,COMPASS: SRAM-Based Computing-in-Memory SNN Accelerator with Adaptive Spike Speculation || COMPASS: SRAM-CIM with adaptive spike speculation,MAIN-R068 || MUSHA-SN011,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0061,Sanger,Sanger: A Co-Design Framework for Enabling Sparse Attention using Reconfigurable Architecture || Sanger: sparse attention accelerator,MAIN-R075 || MUSHA-AT004,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0063,DOTA,DOTA: Detect and Omit Weak Attentions for Scalable Transformer Acceleration || DOTA: detect and omit weak attentions,MAIN-R077 || MUSHA-AT003,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0064,FACT,FACT: FFN-Attention Co-optimized Transformer Architecture with Eager Correlation Prediction || FACT: sparse/approx attention accelerator,MAIN-R078 || MUSHA-AT005,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0082,UbiMoE,UbiMoE: A Ubiquitous Mixture-of-Experts Vision Transformer Accelerator With Hybrid Computation Pattern on FPGA || UbiMoE MoE-ViT FPGA,MAIN-R098 || MUSHA-SP026,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0084,MoE-OPU,MoE-OPU: An FPGA Overlay Processor Leveraging Expert Parallelism for MoE-based Large Language Models || MoE-OPU expert-aware N:M,MAIN-R100 || MUSHA-SP024,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0086,LUT-NN,LUT-NN: Empower Efficient Neural Network Inference with Centroid Learning and Table Lookup || LUT-NN lookup-table neural network with INT8 QAT,MAIN-R102 || MUSHA-CR002,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0087,LUT-DLA,LUT-DLA: Lookup Table as Efficient Extreme Low-Bit Deep Learning Accelerator || LUT-DLA LUT-based deep learning accelerator (CCM/IMM/LUTBoost),MAIN-R103 || MUSHA-CR001,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0092,HiNM / Gyro-permutation（原稿） || HiNM,完整题名待核 || Toward Efficient Permutation for Hierarchical N:M Sparsity on GPUs || HiNM,MAIN-R028 || MAIN-R120 || PRO-ChatGPTpro-#硬件idea深挖0911-53,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0099,SparseInfer,SparseInfer: Training-free Prediction of Activation Sparsity for Fast LLM Inference || SparseInfer,MAIN-R127 || PRO-ChatGPTpro-#硬件idea深挖0911-57,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0101,BitFair,BitFair: A 12-nm Bit-Serial CNN Accelerator with Learnable Early Termination and Adaptive Bit Ordering for Ultra-Low-Power XR Vision || BitFair: learned early termination with shared-input PE termination || BitFair,MAIN-R129 || MUSHA-SP009 || PRO-ChatGPTpro-#硬件idea深挖0911-58,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0119,T-MAC,T-MAC: CPU Renaissance via Table Lookup for Low-Bit LLM Deployment on Edge || T-MAC table/lookup MAC related prior (seed followup),MAIN-R147 || MUSHA-CR003,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0120,da4ml,da4ml: Distributed Arithmetic for Real-time Neural Networks on FPGAs || da4ml: depth-limited matrix factorization / CSE for constant matrix multiply || da4ml,MAIN-R148 || MUSHA-CR004 || PRO-ChatGPTpro-#硬件idea深挖0911-59,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0170,PSN || Parallel Spiking Neuron，PSN,Parallel Spiking Neurons with High Efficiency and Ability to Learn Long-term Dependencies || Parallel Spiking Neuron，PSN,MAIN-R198 || PRO-ChatGPTpro-#第二轮跨领域调研：-43,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0171,MFPSN,Multiplication-Free Parallelizable Spiking Neurons with Efficient Spatio-Temporal Dynamics || Multiplication-free channel-wise Parallel Spiking Neuron,MAIN-R199 || MUSHA-SN018,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0172,SDformerFlow,SDformerFlow: Spatiotemporal swin spikeformer for event-based optical flow estimation || SDformerFlow: Spiking Transformer for Event Optical Flow,MAIN-R200 || MUSHA-OF009,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0189,A²OS²A || A²OS²A / Addition-Only SSA,完整题名待核 || Spiking Transformer:Introducing Accurate Addition-Only Spiking Self-Attention for Transformer,MAIN-R111 || MAIN-R217,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0190,TDE-3,TDE-3: An improved prior for optical flow computation in spiking neural networks || TDE-3: improved prior for optical flow in SNNs,MAIN-R218 || MUSHA-OF008,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0201,Spike-FlowNet,Spike-FlowNet: Event-based Optical Flow Estimation with Energy-Efficient Hybrid Neural Networks || Spike-FlowNet: Event-based Optical Flow Estimation with SNNs,MAIN-R229 || MUSHA-OF011,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0202,EvGNN,EvGNN: An Event-driven Graph Neural Network Accelerator for Edge Vision || EvGNN event-queue neighbor search accelerator,MAIN-R230 || MUSHA-SP028,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0208,ESDA,A Composable Dynamic Sparse Dataflow Architecture for Efficient Event-based Vision Processing on FPGA || ESDA: submanifold sparse event dataflow on FPGA,MAIN-R236 || MUSHA-SP027,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0213,hARMS,hARMS: A Hardware Acceleration Architecture for Real-Time Event-Based Optical Flow || hARMS: event-based motion sensing platform,MAIN-R241 || MUSHA-OF015,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0220,SpikePack || $SpikePack$: Enhanced Information Flow in Spiking Neural Networks with High Hard,完整题名待核；SpikePack || $SpikePack$: Enhanced Information Flow in Spiking Neural Networks with High Hardware Compatibility,MAIN-R248 || ARX-190,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
W0233,EV-FlowNet,EV-FlowNet: Self-Supervised Optical Flow Estimation for Event-based Cameras || EV-FlowNet: Self-Supervised Optical Flow for Event Cameras,MAIN-R261 || MUSHA-OF010,source UID / exact title / single arXiv paper ID / same repo / explicit cross-audit alias / Pro exact-name same-year alias; no fuzzy title
