id,name,full_title,venue_name,venue_year,domain,reading_depth,migration_status,disposition,stop_or_include_reason,untried_parts,evidence_paths
OF001,ERAFT,An FPGA-based Real-Time Optical Flow Accelerator for Recurrent All-Pairs Field Transforms,ISCAS,2025,snn_flow,html_arxiv,not_tried,include_as_open,帧RAFT预测早退可迁到token/tile唤醒；未接入SNN-Transformer调度。纳入开放对照，非已否证。,事件体素输入；与Motion-XOR/ATLIF协同；同资源周期模型,00_seed_notes.md|01_ann_sparsity_mechanisms.md|03_opticalflow_data_hw_algo.md|11_event_camera_stack_accelerators.md|hardware_innovation_20260908/literature/AB_STACK_RESEARCH_20260908.md
OF002,FlowAcc,FlowAcc optical-flow accelerator with BNN pyramid and Hamming matching,DATE,2022,snn_flow,secondhand,not_tried,include_as_control,强二进制描述子OF HW对照；与连续θg路径不同。,Hamming辅助接到Motion-XOR分数叶的费用,00_seed_notes.md|03_opticalflow_data_hw_algo.md|11_event_camera_stack_accelerators.md
OF003,TCAS-I_2025_adaptive_OF,Adaptive optical flow via dynamic direction prediction; reconfigurable pyramid,IEEE TCAS-I,2025,snn_flow,name_only,not_tried,deferred,方向预测可迁移；全文深度不足，待核。,全文；FPS核对；SDformer映射,00_seed_notes.md|03_opticalflow_data_hw_algo.md
OF004,TCAS-I_2023_OF_tracking,Real-time optical-flow tracking FPGA,IEEE TCAS-I,2023,snn_flow,name_only,not_tried,deferred,背景实时OF FPGA；未尝试迁移。,全文,00_seed_notes.md
OF005,VD56G3_onsensor_OF,On-sensor VD56G3 ASIC optical flow (arXiv:2305.13087),arXiv,2023,snn_flow,name_only,not_tried,deferred,片上传感器OF；工艺/接口超出当前数字RTL范围。,与事件前端融合是否值得探针,00_seed_notes.md|03_opticalflow_data_hw_algo.md
OF006,E-RAFT,E-RAFT: Dense Optical Flow from Event Cameras,3DV,2021,event,secondhand,not_tried,include_as_control,事件体素RAFT算法基线；任务对照非HW A。,硬件迁移,03_opticalflow_data_hw_algo.md|11_event_camera_stack_accelerators.md
OF007,TMA,TMA: Temporal Motion Aggregation for Event-based Optical Flow,ICCV,2023,event,secondhand,not_tried,include_as_open,时间运动聚合；AB_STACK A10类唤醒候选。未训事件/TDE小预测器，保持开放。,可训练运动唤醒；禁止用最终flow作oracle,11_event_camera_stack_accelerators.md|18_CARD_G_TDE3_TMA_GROKBOT.md|hardware_innovation_20260908/README.md
OF008,TDE-3,TDE-3: improved prior for optical flow in SNNs,Frontiers in Neuroscience,2025,snn_flow,html_arxiv,not_tried,include_as_open,SNN光流先验；与spikeformer残差共设计仍开放；非当前主线。,TDE-3+spikeformer残差datapath,11_event_camera_stack_accelerators.md|18_POST_TDE3_TMA_HARD_KNIVES.md
OF009,SDformerFlow,SDformerFlow: Spiking Transformer for Event Optical Flow,ICPR,2024,snn_flow,secondhand,used_as_control,include_as_control,任务/网络身份；冻结Motion C12 ep34。非外部新颖性主张。,-,11_event_camera_stack_accelerators.md|hardware_innovation_20260908/README.md
OF010,EV-FlowNet,EV-FlowNet: Self-Supervised Optical Flow for Event Cameras,RSS,2018,event,name_only,not_tried,include_as_control,经典事件光流算法基线。,-,11_event_camera_stack_accelerators.md
OF011,Spike-FlowNet,Spike-FlowNet: Event-based Optical Flow Estimation with SNNs,ECCV,2020,snn_flow,name_only,not_tried,include_as_control,SNN光流算法祖先；非HW加速器。,-,11_event_camera_stack_accelerators.md
OF012,ASNA-Flow,ASNA-Flow: Asynchronous Neuromorphic Accelerator for Real-Time Event-Based Optical Flow,IEEE TVLSI,2025,event,secondhand,not_tried,include_as_control,空间局部稀疏神经形态OF datapath；事件OF HW对照。,空间局部PE map迁到patch token,11_event_camera_stack_accelerators.md|03_opticalflow_data_hw_algo.md
OF013,EDFLOW_ABMOF,EDFLOW: Event Driven Optical Flow Camera With Keypoint Detection and Adaptive Block Matching,IEEE TCSVT,2022,event,secondhand,not_tried,deferred,自适应块匹配事件流；传感器侧，当前数字岛外。,自适应切片曝光→token wake,11_event_camera_stack_accelerators.md
OF014,Ultra-Flow,Ultra-Flow FPGA optical flow,FPL,2022,snn_flow,name_only,not_tried,deferred,帧OF FPGA；早退可参考；输入非事件。,全文,11_event_camera_stack_accelerators.md
OF015,hARMS,hARMS: event-based motion sensing platform,IEEE Access,2022,event,secondhand,not_tried,deferred,事件历史流近亲；平台不同。,-,11_event_camera_stack_accelerators.md|03_opticalflow_data_hw_algo.md
OF016,plane_fit_OF_FPGA,Event-based Plane-fitting Optical Flow for FPGA,ISCAS,2018,event,secondhand,not_tried,include_as_control,经典事件OF FPGA对照（Aung/Teo/Orchard）。,-,11_event_camera_stack_accelerators.md
OF017,BMOF,Block Matching Optical Flow for event cameras,ISCAS,2017,event,secondhand,not_tried,include_as_control,EDFLOW前驱；仅对照。,-,11_event_camera_stack_accelerators.md
