ref,name,family,provenance,status,boundary
SUPP-L01,ZipServ: Fast and Memory-Efficient LLM Inference with Hardware-Aware Lossless Compression,F23,stage_20260912/literature/literature_supplement.json,见家族已试接口；未完整迁原作,"Original BF16 TCA-TBE tile hierarchy, 128-bit padding, offsets, fused CUDA ZipGEMM and serving not ported. Local FP32 mode retains 24 sign/mantissa bits and uses simpler sequential packing."
SUPP-L02,Atalanta: A Bit is Worth a “Thousand” Tensor Values,F23,stage_20260912/literature/literature_supplement.json,见家族已试接口；未完整迁原作,"Arithmetic-coded range symbol plus raw offset, probability tables, parallel codecs and original RTL not implemented locally."
SUPP-L03,Shannonic: Efficient Entropy-Optimal Compression for ML Workloads,F23,stage_20260912/literature/literature_supplement.json,见家族已试接口；未完整迁原作,"Optimal range partition, tANS tables/state transitions, full software/RTL not ported; evaluated primary inputs mostly INT8, not arbitrary I24/FP32."
SUPP-L04,MiLo: Efficient Quantized MoE Inference with Mixture of Low-Rank Compensators,F08,stage_20260912/literature/literature_supplement.json,见家族已试接口；未完整迁原作,"Full HQQ alternating quantizer/compensator optimization, adaptive rank, INT3 compensator/kernel and MoE experiments not ported."
SUPP-L05,HG-PIPE: Vision Transformer Acceleration with Hybrid-Grained Pipeline,F11,stage_20260912/literature/literature_supplement.json,见家族已试接口；未完整迁原作,"HLS kernels, auto-generation and full FPGA board flow not run; ViT attention/quantization is not Motion-XOR/strict dynamic BN."
SUPP-L06,SpikeStream: Accelerating Spiking Neural Network Inference on RISC-V Clusters with Sparse Computation Extensions,F01,stage_20260912/literature/literature_supplement.json,见家族已试接口；未完整迁原作,"Sparse-position extraction, SpVA kernels, FP16/FP8 toolchain, Snitch RTL/cycle simulation not ported."
SUPP-L07,A 24.46TOPS/W and 3.04TOPS/mm2 BF16×1-bit CIM-based BERT Accelerator in 28nm CMOS,F17,stage_20260912/literature/literature_supplement.json,缺指定原作正文/工件；机制未完整迁入,Digest/circuit figures and code missing; BF16/binary silicon numbers cannot price signed24/f14 local digital implementation.
SUPP-L08,OFQ-LLM: Outlier-Flexing Quantization for Efficient Low-Bit Large Language Model Acceleration,F08,stage_20260912/literature/literature_supplement.json,缺指定原作正文/工件；机制未完整迁入,Original method and code not accessed; third-party abstracts not used for mechanism claims.
SUPP-L09,A Broad-Spectrum and High-Throughput Compression Engine for Neural Network Processors,F23,stage_20260912/literature/literature_supplement.json,缺指定原作正文/工件；机制未完整迁入,Complete method/codec RTL absent in this round.
SUPP-L10,Advancing Spatiotemporal Representations in Spiking Neural Networks via Parametric Invertible Transformation,F20,stage_20260912/literature/literature_supplement.json,见家族已试接口；未完整迁原作,"Full training, corrected surrogate, 3-sigma initialization and folded inference not ported. Actual A_t is diagonal time/channel scaling, not a free dense temporal matrix."
SUPP-L11,VISTREAM: Improving Computation Efficiency of Visual Streaming Perception via Law-of-Charge-Conservation Inspired Spiking Neural Network,F12,stage_20260912/literature/literature_supplement.json,见家族已试接口；未完整迁原作,"ST-BIF stateful implementation, checkpoint and full streaming tasks not run; energy code is estimation, not local silicon."
SUPP-L12,ReverB-SNN: Reversing Bit of the Weight and Activation for Spiking Neural Networks,F08,stage_20260912/literature/literature_supplement.json,见家族已试接口；未完整迁原作,Full real-valued-neuron training and all network results not replicated.
SUPP-L13,EDCFlow: Exploring Temporally Dense Difference Maps for Event-based Optical Flow Estimation,F13,stage_20260912/literature/literature_supplement.json,见家族已试接口；未完整迁原作,"Full pretrained refinement, cost-volume branch and same-DSEC split comparison not run."
SUPP-L14,BSViT: A Bit-Serial Vision Transformer Accelerator Exploiting Dynamic Patch and Weight Bit-Group Quantization,F09,stage_20260912/literature/literature_supplement.json,见家族已试接口；未完整迁原作,Original paper/bit-group quantization hardware not read or implemented. Not 2026 Burst Spiking ViT with same acronym.
GROK-G1,typed last-use,F11,EXECUTION_QUEUE.md / Grok原报告,见家族状态,真实最后读取对照已做；类型名称未带来净服务
GROK-G2,causal spatial wake,F13,EXECUTION_QUEUE.md / Grok原报告,见家族状态,不能因不是G1或已有空间先验就判整个接口不适配
GROK-G3,global dynamic BN,F10,EXECUTION_QUEUE.md / Grok原报告,见家族状态,完整外部gate/PED起点native→实算BN→join及两块目录复用已测；真实I24前段整层/新参数整链未闭
GROK-G4,train binary support density,F04,EXECUTION_QUEUE.md / Grok原报告,见家族状态,旧停标题不是禁止同预算训练；使用最新NB0门
GROK-H2,8088 wait class,F11,EXECUTION_QUEUE.md / Grok原报告,见家族状态,已定位原source压力波形，不是PED最后读取证据
QUEUE-FLIVE,F_live>1,F02,EXECUTION_QUEUE.md / Grok原报告,见家族状态,固定同56字S/双NR4的F2已实跑352次，当前布局未胜最强F1；其余推进布局/完整阵列与16+80交织未试
QUEUE-PED,LoD/whitening/PED representation,F07,EXECUTION_QUEUE.md / Grok原报告,见家族状态,两学生×五表示十帧含affine/diag已测；CR/RF两种5+5解码已收费；完整消费者内压缩残差/step/门就绪仍开放
