file,title,mechanism_A,network_gap_B,candidate_increment_X,strong_control,missing_assumption_or_evidence,decision_and_reason,novelty_potential_0to4,fit_0to4,evidence_depth
ExSpike_APEC.md,ExSpike: A General Full-Event Neuromorphic Architecture for Exploiting Irregular Sparsity with Event Compression,APEC公共通道贡献、残差重建及事件压缩,GP后重复贡献尚可能存在，当前相同源不是免费交集,换真实θg支持后连检测和重建共同优化，尚无具体新电路,完整Prosperity和完整ExSpike同缓存/端口；普通跨位置共享,压缩器、检测、冷启动、残差布局及当前支持分布未闭,保留完整迁移；只停止旧G4融合，不将旧慢例外推全族,2,3,card only; 已逐字读卡，卡内引用未当本轮全文证据
LUT_DLA.md,LUT-DLA: Lookup Table as Efficient Extreme Low-Bit Deep Learning Accelerator,字典编码、表生成、驻留与查表消费,编码器与宽表输出可能吞掉FC1省乘,让实际消费者少读表或提前释放表状态尚待证明,同训练预算LUT-DLA全流程、普通量化MAC和完整CMVM,卡的通用MAC分母偏弱；须计编码/填表/银行/溢出,保留强底座；查表与CSE并不等同，新X未定位,1,3,card only; 已逐字读卡，卡内引用未当本轮全文证据
Phi.md,Phi: Leveraging Pattern-based Hierarchical Sparsity for High-Efficiency Spiking Neural Networks,Phi的层次模式、PAFT训练、PWP及预取,自然/训练支持决定可复用模式和物理字触达,按实际双消费者共同支持改变取数单元可测,完整Phi、onehot类归约、GP、同精度窄稠密,模式生产与表冲突尚未迁全；卡不能只比平坦稠密,保留训练及存储迁移；旧q8/cap16变体失败仅限该布局,2,3,card only; 已逐字读卡，卡内引用未当本轮全文证据
TASD.md,Enabling Unstructured Sparse Acceleration on Structured Sparse Accelerators,TASD把张量分解为多个结构化稀疏项并累加,规则项省操作却可能被例外项读满源字,同T10消费者只合并一次投影，需检验例外成本,完整TASD提取/项数选择、普通N:M和直接稀疏GP,卡把张量分解说成时间感知调度；半步类比缺映射,纠正机制后保留规则加例外底座；不沿错误时间调度立X,1,2,card only; 已逐字读卡，卡内引用未当本轮全文证据
VENOM.md,VENOM: A Vectorized N:M Format for Unleashing the Power of Sparse Tensor Cores,V:N:M格式、二阶补偿、Spatha内核,H8共mask能省W却未必省P4物理源码字,双消费者误差下选组并对齐真实字，潜在接口增量,完整VENOM/HiNM、2:4、同GT预算hidden及R16,本地半槽/少步不等同原高稀疏全训练和索引格式,保留完整迁移；不能因已有共mask否定任务共设,2,3,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_1710.09820.md,Spiking Optical Flow for Event-based Sensors Using IBM's TrueNorth Neurosynaptic System,方向敏感延迟抑制单元与TrueNorth映射,廉价局部速度缺稠密遮挡/复杂运动表示,固定因果运动提示是否减少昂贵前端需求待测,普通局部时差/平面拟合加同一稠密网络,专用芯片/局部流指标与当前AEE不一致；无接网结果,保留算法旁证；不可用mW或方向单元替代完整SNN任务,1,1,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_1802.06898.md,EV-FlowNet: Self-Supervised Optical Flow Estimation for Event-based Cameras,事件计数/最新时间戳表示与光度自监督,输入表示影响时间状态规模和事件保真,固定历史窗口的表示与消费共同压缩尚未定义,原T10体素、计数加时间戳、同GT/自监督预算,photometric需灰度帧/遮挡合同；无本地表示消融,保留输入与训练底座；表示拼接本身是普通控制,1,2,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2003.06696.md,Spike-FlowNet: Event-based Optical Flow Estimation with Energy-Efficient Hybrid Neural Networks,SNN编码器累加后交ANN残差/解码,跨SNN与连续消费者的状态和精度边界,保θg与完整时间输出的低成本交接可测,原hybrid全流程、全ANN稀疏控制、当前低秩连续链,累加器宽度、时间不可逆压缩和真实后继尚未闭,保留完整混合底座；不把旧局部累计解释为完整复现,1,3,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2005.03842.md,GOBO: Quantizing Attention-Based NLP Models for Low Latency and Energy Efficient Inference,GOBO质心索引累加、少量离群保真,普通量化后连续权图仍贵,当前时间图的离群分流须跨完整RNE接口计费,均匀dyadic、PoT、完整GOBO编码和CMVM,BERT分布不能推出膜或lifting系数分布；查表冷填缺失,作为压缩强对照；索引不展开尚不是本地增量,1,2,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2102.04159.md,Deep Residual Learning in Spiking Neural Networks,SEW的ADD/AND/IAND残差与恒等条件,实际PED含连续捷径和门两个消费者,改变残差域以减少双份状态可测，非现成恒等替换,普通MS残差、同训练预算SEW与当前raw/共享状态,θ幅值及ADD后非二值；更换残差语义需恢复,保留可训练接口；不把SEW二元运算直接套连续PED,1,3,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2107.07305.md,"Training for temporal sparsity in deep neural networks, application in video processing",Delta层保存旧激活并传播量化差分,跨帧稀疏可能省生产但旧连续基值昂贵,训练改变producer使差分省下完整存储后仍有余量,普通DeltaCNN/Delta层、当前完整执行、静态减宽,真相邻时间、初始化/刷新、旧状态读写与动态BN,保留训练诱导时间稀疏；只停止旧1.529倍精确warp版本,2,3,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2111.13680.md,GMFlow: Learning Optical Flow via Global Matching,全局特征匹配、传播与粗细精修,大位移精度可能受局部表示限制，当前并非RAFT迭代瓶颈,没有指定能免去现有patch工作的接口,完整GMFlow、同精度局部匹配与当前粗头,相关体/softmax/特征生产均需收费且改动任务架构大,保留算法参照；不得以全局一次匹配推断硬件一次取数,1,1,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2203.00158.md,GROW: A Row-Stationary Sparse-Dense GEMM Accelerator for Memory-Efficient Graph Convolutional Neural Networks,GROW行驻留、热点缓存、分区与runahead,有限缓存下权行缺失和上下文等待,若可利用实际缺失并保持非因果消费完成有待测,同RF普通行缓存/多上下文、最优串行F_cache,图度数是静态结构；本地权常驻后未必有同类miss,保留调度底座；先证明miss瓶颈，不能靠类比立X,1,2,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2203.16194.md,FlowFormer: A Transformer Architecture for Optical Flow,FlowFormer成本潜变量与查询恢复,稠密匹配存储昂贵，但现父无该相关体,共享潜变量面向不同消费者只是待适配方向,完整cost memory与普通低秩/当前无相关体网,恢复查询、迭代、索引成本及保持spike QK未说明,保留模型先验；不将cost token等同源DAG公共节点,1,1,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2204.10687.md,SNE: an Energy-Proportional Digital Accelerator for Sparse Event-Based Convolutions,SNE事件UPDATE/FIRE与卷积权缓存,稀疏卷积需明确何时所有输入到齐,完整T10完成标识与有限状态交接需新接口证据,同GP供数、先完成T10窄门缓存再下层的普通控制,原LIF复位/泄漏不同于非因果PSN；θ与τ不可混,保留事件执行底座；不能按首事件或单tick宣告本地门就绪,2,3,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2209.01065.md,Kraken: A Direct Event/Frame-Based Multi-sensor Fusion SoC for Ultra-Efficient Visual Processing in Nano-UAVs,Kraken融合SNE/CUTIE/处理器和事件突发,不同稀疏/连续路径需要不同计算单元,本地可部署异构分配尚未超出普通分工,同总面积多模式核、普通数字MAC/AC共享,跨引擎转换、缓冲及CIM/专用算子假设不同,平台参照；不以整SoC替换当前执行岛判定家族输赢,1,1,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2209.11741.md,Adaptive-SpikeNet: Event-based Optical Flow Estimation using Spiking Neural Networks with Learnable Neuronal Dynamics,可学阈值/泄漏与事件光流直接训练,低成本因果神经元能否替代满T10表达,神经动态限制换取完整后继省费，须与普通神经元比,固定LIF、masked/sliding PSN、同GT恢复预算,泄漏递归状态、θ输出幅值、任务数据不同,保留神经元强控制；某次少步失败不否定全流程,1,3,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2211.08110.md,HeatViT: Hardware-Efficient Adaptive Token Pruning for Vision Transformers,HeatViT选择器、聚合保留token、稠密拼接,稠密光流不能随意丢空间位置,可训练摘要保住两个消费者且省真实恢复工作待证,普通token合并、SBNet/DynConv、同预算减宽,选择器提前性、全分辨率恢复/halo及摘要稀释,保留压缩接口；分类token丢弃不能当稠密光流无损跳过,2,2,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2301.10852.md,Flexagon: A Multi-Dataflow Sparse-Sparse Matrix Multiplication Accelerator for Efficient DNN Processing,Flexagon统一IP/OP/Gustavson、合并网络和部分和存储,不同稀疏度下固定数据流或有利用率损失,执行模式选择需由真实负载证明，不自动新原语,完整三数据流Flexagon、固定GP最优映射同资源,状态标签/merge/切换及PSN非因果依赖没有消失,保留多数据流强底座；哈希/切换本身不作为X,1,3,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2303.11629.md,TMA: Temporal Motion Aggregation for Event-based Optical Flow,TMA时密相关与运动对齐lookup,时间细化增加相关体/运动编码生产,共享历史已完成线索能否减当前昂贵前端待测,原TMA、无相关体IDNet/当前网、普通历史warmstart,时间窗/未来帧可用性、密集相关存储和预测延迟,保留任务先验；时间lookup不是lifting半步调度,1,2,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2304.07493.md,OliVe: Accelerating Large Language Models via Hardware-friendly Outlier-Victim Pair Quantization,OliVe离群与邻位victim成对量化/解码,低位格式被少数大值牵制,膜/系数异常保护可测但属普通压缩迁移,GOBO、均匀/PoT、同AEE直接CMVM,相邻成对损伤的训练敏感性、解码/尺度费用,留量化强控制；不凭LLM分布推断此处省位,1,2,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2305.13087.md,On-sensor VD56G3 ASIC optical flow (arXiv:2305.13087),传感器FAST/BRIEF配额与Hamming匹配,低成本稀疏运动点不能覆盖稠密流,暂无不替换本任务的具体增量,相同点数经典匹配加稠密补全,帧相机、稀疏向量/完整光流域和硬件工艺不同,任务边界参照；不是本网络加速下界,0,0,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2306.06493.md,RAMAN: A Re-configurable and Sparse tinyML Accelerator for Inference on Edge,RAMAN双稀疏、IA/OA重叠存储、可重构NoC,live内存重叠可能减缓冲占用,完整多消费者last-use约束下的合法覆盖待量化,普通生存期分配/双缓冲、GP和静态权驻留,覆盖会否破坏shortcut/halo读取；摘录未核微架构,保留存储强对照；不得默认IA/OA可原位覆盖,1,2,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2307.01694.md,Spike-driven Transformer,SDT膜捷径和SDSA掩码/列和注意力,spike QK消费及连续shortcut不可混同,与实际θg/PSN接口融合需证明未删必需连续链,原SDSA/MS、AND-popcount、同训练spike QK,原二值语义不是整网每层unit幅度；算术能耗非系统,保留主网表示先验；注意力替换不归lifting增量,1,3,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2307.06003.md,Unsupervised Optical Flow Estimation with Dynamic Timing Representation for Spike Camera,Spike-camera多膨胀时域表示和无监督流,时间窗表示可能改善精度/工作量取舍,本地DVS输入上尚无明确可执行差分,固定T10、普通temporal conv/PSN、相同训练窗口,积分型spike-camera不同于DVS事件；多尺度额外消费,保留跨传感参考；不直接接作本地因果保证,1,1,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2310.02065.md,VENOM: A Vectorized N:M Format for Unleashing the Power of Sparse Tensor Cores,VENOM向量N:M、二阶剪枝及column-loc,与VENOM.md同一物理字/精度矛盾,同第4条，不重复计算候选数量,完整VENOM/HiNM、2:4和窄稠密,GPU稀疏核优势不可当ASIC同端口结果,合并同文证据但保留此卡行；完整迁移未被否定,2,3,card only; 已逐字读卡，卡内引用未当本轮全文证据
