file,title,mechanism_A,network_gap_B,candidate_increment_X,strong_control,missing_assumption_or_evidence,decision_and_reason,novelty_potential_0to4,fit_0to4,evidence_depth
arxiv_1708.04485.md,SCNN: An Accelerator for Compressed-sparse Convolutional Neural Networks,SCNN非零权激活笛卡尔积、scatter累加与端到端压缩驻留,非因果T10双PED并集删字不能用ReLU卷积稀疏直接计费,无标题级X；差分须落到r1物理源字而非复述笛卡尔积,同资源稠密卷积、仅权稀疏、普通零跳过与当前GP供数,批名错绑FireFly；CNN稀疏≠θg；无same-port对齐且微架构未迁,纠正后保留；废FireFly引用后仅作SCNN稀疏数据流对照，不杀稀疏家族,1,2,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_1802.03806.md,ThUnderVolt: Enabling Aggressive Voltage Underscaling and Timing Error Resilience for Energy Efficient Deep Learning Accelerators,TE-Drop遇时序错丢MAC、按层均分误差预算与在线列和跟踪,lifting半步/末5需要有损完成，但不能用电压错代替RNE证书,电压近似挂r1且同分母才可能差分，尚无具体新电路,TED重放纠错、统一欠压、盲目近似乘、Zero-Skip与静态窄层,TPU仿真≠finite_service；微结构截断；无θg/AEE同资源,保留对照；只停电压近似挂r1布局，检错不重算仅作证书回退负对照,1,2,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_1908.08976.md,MASR: A Modular Accelerator for Sparse RNNs,双稀疏bitmask供数、前端解耦不规则与动态激活负载重分,r1源∩W物理字与双消费者并集不规则，RNN隐态掩码不能直接省源字,无标题级X；元数据与译码可能吃掉并集收益,仅权或仅激活稀疏、EIE CSR、静态划分与普通压缩索引,ASR/GRU负载≠残差链；PE后半截断；无T10并集计费,保留对照；位掩码迁源字后若译码吃收益则停该编码布局,1,2,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2003.12039.md,RAFT: Recurrent All-Pairs Field Transforms for Optical Flow,全对相关金字塔、局部lookup与权共享ConvGRU迭代更新,现网无相关体，精度门在valid825而非Sintel迭代EPE,无标题级X；RAFT头不能替换lifting源字,单次回归头、局部相关、非共享逐迭代与当前粗头,帧基准≠事件valid825；迭代次数勿当same-port%；未接C12,旁路低适配；保留算法簇参照，禁止用相关体一次匹配推断硬件一次取数,1,1,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2012.09852.md,SpAtten: Efficient Sparse Attention Architecture with Cascade Token and Head Pruning,级联累计重要性永久删token/head与渐进MSB到位宽,双PED共同删源字需要可逆或可取消，永久级联可能破坏非因果T10,换成lifting源活动加双PED损失后的排序尚未定位,逐层重评剪枝、随机token drop、静态稀疏注意力、HiNM与窄稠密,NLP注意力分≠光流损失；未训未接消费者；cascade对T10过激未测,保留对照；级联永久删除只停该布局，累计重要性排序可作F1模板,2,2,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2105.08217.md,IMPULSE: A 65nm Digital Compute-in-Memory Macro with Fused Weights and Membrane Potential for Spike-based Sequential Learning Tasks,权膜同宏融合、片内SpikeCheck/Reset与交错位宽映射,有限RF下权/膜谁共位仍开放，但数字残差链不是CIM相位问题,无标题级X；CIM宏不得称lifting增量,权膜分体搬运、ANN CIM、无条件Reset、普通数字驻留与FlexSpIM,65nm TOPS/W不可外推；二值尖峰跳写≠θg；相位未映射same-port,旁路低适配；空泛CIM不进主岛，驻留/跳写仅作F5旁证且不杀有限RF家族,1,1,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2108.10552.md,E-RAFT: Dense Optical Flow from Event Cameras,事件双体素体积相关与前向扭曲暖启动,任务同属事件光流，但迭代相关体不是patch贵段T10源字瓶颈,无标题级X；暖启动≠same-port状态合同,EV-FlowNet单窗回归、无暖启动、仅MVSEC自监督与当前粗头,DSEC EPE≠valid825；未接Motion C12；勿与FPGA unresolved双计,保留对照；作事件稠密光流旁路基线，禁止替换主网或搬EPE当AEE,1,2,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2112.06772.md,hARMS: A Hardware Acceleration Architecture for Real-Time Event-Based Optical Flow,多尺度邻域选窗与事件级局部光流FPGA加速,廉价局部速度缺遮挡与稠密复杂运动，不能替代C12整网AEE,无标题级X；Mevent/s不得当净服务,固定小窗Lucas/平面拟合、帧累积再算流与纯软件ARMS,摘录偏背景未读完整微架构；FPGA资源≠same-port；无valid825,旁路低适配；只停hARMS前端替换，不把局部流指标当完整SNN任务,1,1,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2203.07516.md,Skydiver: A Spiking Neural Network Accelerator Exploiting Spatio-Temporal Workload Balance,离线通道负载预测与CBWS均衡调度,双消费者/多bank并集活动不均，分类负载先验未必相关r1,须证明对lifting源活动不均仍降same-port周期，否则无X,在线无先验猜测、静态通道映射、Gustav柱并行与普通供数,APRC细节不全；FPGA整网KFPS禁搬；无真实θg活动相关,保留对照；预测相关低或周期不降则停该均衡布局，不杀SNN调度家族,2,2,card only; 已逐字读卡，卡内引用未当本轮全文证据
arxiv_2203.16896.md,CRAFT: Cross-Attentional Flow Transformer for Robust Optical Flow,Expanded Attention帧内平滑与多mode交叉帧相关体,现父无该相关体，注意力打包不能解释T10源字费用,无标题级X,RAFT点积相关、单头MHA、无相对位置偏置全局自注意力与当前粗头,Sintel/KITTI≠valid825；摘录窗；大位移叙事≠same-port,旁路低适配；与FlowFormer/RAFT成簇参照，停CRAFT头替换,1,1,card only; 已逐字读卡，卡内引用未当本轮全文证据
