category,grain,reference_field_or_state,compact_obligation,comparison,fail_action
cycle,per_request,earliest_issue_cycle,"numeric earliest",exact_equal,NO_GO_SOURCE
cycle,per_request,dependency_ready_cycle,"max numeric dependency ready",exact_equal,NO_GO_SOURCE
cycle,per_request,port_ready_cycle,"fixed next-port calendars",exact_equal,NO_GO_SOURCE
cycle,per_request,issue_cycle,"outstanding fixed-point iteration",exact_equal,NO_GO_SOURCE
cycle,per_request,return_cycle,"latency plus beats",exact_equal,NO_GO_SOURCE
cycle,per_destination,"last_cycle next_port outstanding multisets","destination checkpoint state",exact_equal,NO_GO_SOURCE
cycle,per_timestep,total_cycles_prefix,"numeric scheduler prefix",exact_equal,NO_GO_SOURCE
cycle,per_configuration,total_cycles,"last_return_plus_one",exact_equal,NO_GO_RESULT
count,per_destination,contributors,"packed tap-channel queues",exact_order_and_count,NO_GO_SOURCE
count,per_group,bank_unique_groups,"up to eight packed contributors",exact_bank_and_lane_order,NO_GO_SOURCE
count,per_request,request_count,"monotonic request ordinal",exact_equal,NO_GO_SOURCE
count,per_kind,kind_counts,"fixed eight-kind counter array",exact_equal,NO_GO_RESULT
count,per_cache_access,"hit miss refill key slot victim age tick","nine-entry fixed cache",exact_equal,NO_GO_SOURCE
count,per_configuration,"BIT_EQUAL and BIT_TYPED contributor/compute populations","same compact generator",exact_equal,NO_GO_RESULT
count,per_configuration,"destination output-block commit populations","dense retire counters",exact_equal,NO_GO_RESULT
bytes,per_kind,byte_counts,"width times bank multiplicity counters",exact_equal,NO_GO_RESULT
bytes,source,positive_plane_external_read,"same immutable plane charge",exact_equal,NO_GO_RESULT
bytes,descriptor,"K1 or typed descriptor payload","same widths and multiplicity",exact_equal,NO_GO_RESULT
bytes,control,"144-B read and 144-B write","same persistent control requests",exact_equal,NO_GO_RESULT
bytes,weight_refill,"1536-B external plus eight 192-B bank writes","same cache miss sequence",exact_equal,NO_GO_RESULT
bytes,weight_read,"96-B vector per bank/request semantics","same bank/address widths",exact_equal,NO_GO_RESULT
bytes,psum,"six 48-B reads and writes","same six banks",exact_equal,NO_GO_RESULT
bytes,commit,"384-B dense commit","same bank/address/order",exact_equal,NO_GO_RESULT
commit,per_output_block,"one commit after last psum write or barrier","numeric dependency commit",exact_equal,NO_GO_SOURCE
commit,per_configuration,commit order address width,"streaming legacy and packed commit digests",exact_equal,NO_GO_RESULT
commit,cross_configuration,commit_sequence_sha256,"same dense commit stream",all_three_equal,NO_GO_RESULT
address,per_request,"kind id grammar address bank width order","versioned packed event",bijective_exact_miter,NO_GO_SOURCE
address,psum,"slot modulo and six bank-local addresses","same integer formula",exact_equal,NO_GO_SOURCE
address,weight,"tile key slot bank row offset","packed key plus fixed cache",exact_equal,NO_GO_SOURCE
address,refill,"external address and eight bank writes","same integer formula",exact_equal,NO_GO_SOURCE
address,descriptor_source_control_commit,"all semantic addresses","same integer formula",exact_equal,NO_GO_SOURCE
address,per_prefix,"reference rows converted to packed schema","compact packed digest",sha256_equal,NO_GO_SOURCE
address,schema,"fixed endian widths sentinels version","packed_address_schema_sha256",exact_pinned,NO_GO_RESULT
resource,global,resource_manifest_sha256,"unchanged COMMON_RESOURCE",exact_equal,NO_GO_SOURCE
identity,global,"checkpoint call payload SHA configs","unchanged immutable authority",exact_equal,NO_GO_SOURCE

