id,name,venue,year,primary_url,author_code,catalogue_status,original_survey_status,reading_depth,complete_original_implementation_missing,decision
L01,ZipServ: Fast and Memory-Efficient LLM Inference with Hardware-Aware Lossless Compression,ASPLOS,2026,https://www.cse.ust.hk/~weiwa/papers/zipserv-asplos26.pdf,https://github.com/HPMLL/ZipServ_ASPLOS26 ; Apache-2.0 LICENSE read,missing,exact-name search: no matches,"Primary PDF §3–4, Algorithm2, §5 boundary; README/LICENSE. Not entire experimental reproduction.","Original BF16 TCA-TBE tile hierarchy, 128-bit padding, offsets, fused CUDA ZipGEMM and serving not ported. Local FP32 mode retains 24 sign/mantissa bits and uses simpler sequential packing.",Add strong exact-compression prior; no transferred GPU speedups.
L02,Atalanta: A Bit is Worth a “Thousand” Tensor Values,ASPLOS,2024,https://www.ece.mcmaster.ca/~ameer/hadilab/publications/ASPLOS24-Atlanta.pdf,No original-author code URL verified in this bounded search,missing,exact-name search: no matches,"Author PDF §3–4.2, compression boundaries; local full PDF available, partial method reading only.","Arithmetic-coded range symbol plus raw offset, probability tables, parallel codecs and original RTL not implemented locally.",Add direct prior against treating range-plus-residual coding as new.
L03,Shannonic: Efficient Entropy-Optimal Compression for ML Workloads,MLSys,2026,https://proceedings.mlsys.org/paper_files/paper/2026/file/96f39c8de84678cb2a908cd52bfd7819-Paper-Conference.pdf,Official supplement exists; no original-author code repository verified,missing,exact-name search: no matches,"Official PDF §4–5.1 and reported ASIC implementation boundary; partial methods, not full-paper replication.","Optimal range partition, tANS tables/state transitions, full software/RTL not ported; evaluated primary inputs mostly INT8, not arbitrary I24/FP32.","Add stronger entropy-code control, especially after explicitly trained quantization."
L04,MiLo: Efficient Quantized MoE Inference with Mixture of Low-Rank Compensators,MLSys,2025,https://proceedings.mlsys.org/paper_files/paper/2025/file/9032e5c9ec394ce768a2fa9bdc56af6c-Paper-Conference.pdf,https://github.com/Supercomputing-System-AI-Lab/MiLo ; MIT LICENSE read,missing,title/acronym+colon search: no matches,"Official PDF §3.2 optimization, §3.3 kernel, Appendix F artifact; README/LICENSE.","Full HQQ alternating quantizer/compensator optimization, adaptive rank, INT3 compensator/kernel and MoE experiments not ported.","Use weight-quantization plus low-rank compensation as strong A, not a new contribution by itself."
L05,HG-PIPE: Vision Transformer Acceleration with Hybrid-Grained Pipeline,ICCAD,2024,https://arxiv.org/pdf/2407.17879,https://github.com/PKU-SEC-Lab/ICCAD24-HG-PIPE ; MIT LICENSE read,missing,exact-name search: no matches,Author PDF §4.1–4.3 pipeline and precision boundary; README generation/test route.,"HLS kernels, auto-generation and full FPGA board flow not run; ViT attention/quantization is not Motion-XOR/strict dynamic BN.",Add common pipeline/precision control; no new C1 or source-address subproject.
L06,SpikeStream: Accelerating Spiking Neural Network Inference on RISC-V Clusters with Sparse Computation Extensions,DATE,2025,https://arxiv.org/pdf/2504.06134,Snitch public ecosystem discussed; exact paper-complete author artifact not verified,missing,exact-name search: no matches; distinct from old SpikeStream simulator,"Author PDF §III/Listing1, §IV numerical/RTL evaluation boundary.","Sparse-position extraction, SpVA kernels, FP16/FP8 toolchain, Snitch RTL/cycle simulation not ported.",Add software/hardware sparse baseline; not applicable to deleting nonzero continuous obligations.
L07,A 24.46TOPS/W and 3.04TOPS/mm2 BF16×1-bit CIM-based BERT Accelerator in 28nm CMOS,CICC,2026,https://ieeexplore.ieee.org/document/11509512/,No original implementation verified,missing,exact performance-string search: no matches,"Publisher-indexed title/abstract metadata; original document open attempted, browser challenge. No full paper read.",Digest/circuit figures and code missing; BF16/binary silicon numbers cannot price signed24/f14 local digital implementation.,Real lead for continuous×binary direction; withhold detailed circuit claims pending primary digest.
L08,OFQ-LLM: Outlier-Flexing Quantization for Efficient Low-Bit Large Language Model Acceleration,TCAS-I,2025,https://ieeexplore.ieee.org/document/10924797,No original implementation verified,missing,not established beyond catalogue search,Author publication list confirms identity; publisher open challenged. No full paper read.,Original method and code not accessed; third-party abstracts not used for mechanism claims.,Supplement identity only; do not select as fused mechanism until original text is read.
L09,A Broad-Spectrum and High-Throughput Compression Engine for Neural Network Processors,TCAS-II,2024,https://ieeexplore.ieee.org/document/10433078,No original implementation verified,existing W0749,already in previous venue supplement,Author list and publisher entry reopened; challenged original. Prior reading level not upgraded.,Complete method/codec RTL absent in this round.,Existing strong-neighbor identity retained; mixed codec selection is not automatically novel.
L10,Advancing Spatiotemporal Representations in Spiking Neural Networks via Parametric Invertible Transformation,ICLR,2026,https://proceedings.iclr.cc/paper_files/paper/2026/file/0ac46bb0a72a7afe311d9b48b5088df8-Paper-Conference.pdf,https://github.com/YinsongYan/ICLR26 ; MIT LICENSE.txt read,missing,exact-title phrase search: no matches,Official PDF §3.2–3.4 and Appendix A reparameterization; README/LICENSE.,"Full training, corrected surrogate, 3-sigma initialization and folded inference not ported. Actual A_t is diagonal time/channel scaling, not a free dense temporal matrix.",Add strongest learnable-scaling/gradient control; folds must be re-derived for dynamic BN and shared consumers.
