id,status,scope,finding,evidence,action
F01,pass,legal_signed24_signed16,T5区间证书与四模式最小RTL验证通过12320判决,audit_results.json,保留整数原语
F02,pass,original_four_trace_records,3200000存档判决及BFfull实际平面数核对全同,audit_results.json,保留局部消融但不是重新执行全部原实验
F03,bug_outside_observed_traces,negative_gamma,tau折方向而V未折再翻比较导致原BN函数错误,negative_gamma与audit_results.json,同步V和tau方向或使用未折tau及正确整数比较
F04,bug_outside_observed_traces,threshold_serialization,signed49放行后只存48位使2^47变负,threshold49与audit_results.json,按signed48检查并明确拒绝越界
F05,pass_with_contract,BF_exponent,maxabs指数对全零负幂最小负数e24合法,legal与audit_results.json,硬件abs需处理最小负数
F06,integration_trap_not_original_bug,optimized_signed_e0,最短signed指数允许负1但旧补零哑平面会倍增成负2,minimal_exp_zero与audit_results.json,优化指数时同步e0完成语义
F07,not_closed,BN_threshold_identity,同模型两帧tau在S0改变3839/3840词和S3改变30713/30720词,audit_results.json与原t5_c1_cert_core_model.py,明确post_stats或实建部署阈值及独立质量
F08,unpaid_interface,source_and_resources,预生成指数平面和readmemh阈值并列十读未计完整服务,原cert_gate_core.sv与tb_main.cpp,同一共享口原始Y与阈值及输出全部付费
F09,weak_baseline,FX_full25,符号头和bit23重复且full仍使用证书电路,原cert_gate_core.sv与tb_main.cpp,24拍协议及同资源完整强控制
F10,protocol_scope,locked_and_backpressure,锁定仅冻结判决所有vtop仍更新且无输出BP协议,原cert_gate_core.sv,不要宣称per_lane全部停转或消费者已集成
F11,overclaim,T6_threshold_envelope,五个k点不能推出任意包络阈值供数且无部署BN验证,t6_envelope_example.json与原t6_ptau_supply.py,保留经验敏感性撤回oracle闭合及部署态声明
F12,overgeneralization,three_family_kills,粗组motiondelta与舍入证书仅有对应布局和少量捕获负结果,原CODEX_SUGGESTIONS.md与T2_REPORT.md和T4_C3_REPORT.md,只降权已测接口不淘汰未试家族
F13,prior_art,novelty,动态精度与精确激活提前停止已有先验,README.md主源链接,算法2/10系统3/10不作为接收概率
