catalog_id,name,full_title,entity_type,venue,category,source_refs,source_files,source_urls,reading_status_by_source,reading_levels_by_source,attempt_status_by_source,include_stop_reasons,untried_interfaces,evidence_paths,precision_tier,A,B,X_hint,idea_card_paths,code_status,code_urls,code_scope,identity_note
W0001,Prosperity,Prosperity: Accelerating Spiking Neural Networks via Product Sparsity,paper,HPCA 2025 || 待核,稀疏架构与C1/C2 || sparsity,MAIN-R001 || MUSHA-SP002 || PRO-ChatGPTpro-#硬件idea深挖0911-50 || PRO-ChatGPTpro-#第二轮跨领域调研：-111,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json || research/literature_audit_mushaolong_20260909/literature_inventory.json || gptpro/ChatGPTpro-#硬件idea深挖0911.md || gptpro/ChatGPTpro-#第二轮跨领域调研：.md,https://arxiv.org/abs/2503.03379 || https://arxiv.org/html/2503.03379v2 || https://arxiv.org/pdf/2503.03379 || https://github.com/dubcyfor3/Prosperity,MAIN-R001: 全文与官方模拟器已读；原作/模拟器tie差异已核 || MAIN-R001: 全文与官方模拟器已读；原作/模拟器tie差异已核 || unclear || already_inventoried || MUSHA-SP002: secondhand || unclear || already_inventoried_musha_incremental || MUSHA-SP002: secondhand || PRO-ChatGPTpro-#硬件idea深挖0911-50: Pro 调研中的文献矩阵；汇总本轮未重新全文核验 || PRO-ChatGPTpro-#第二轮跨领域调研：-111: Pro 调研中的文献矩阵；汇总本轮未重新全文核验,,MAIN-R001: 已纳入强底座；完整移植仍不完整 || MUSHA-SP002: stop_this_variant || MUSHA-SP002: attempted_variant_failed || stop_this_variant || PRO-ChatGPTpro-#硬件idea深挖0911-50: Pro 建议/对照线索；详见引用段落，不等于本地已迁入 || PRO-ChatGPTpro-#第二轮跨领域调研：-111: Pro 建议/对照线索；详见引用段落，不等于本地已迁入,旧C1继承精确子集父行、dispatch与product capture；后续运行官方run_fc全单算子循环。Prosperity+Phi/APEC特定融合在同资源CPU比较未胜，不能写成Prosperity失败。；条件变化：新训练的时间码/剪枝改变支持分布，可重评原法；不能沿用旧分布的融合负结果作总否定。 || 旧C1 Prosperity融合同资源无正增量（G4融合仍多2.964%；G2多81.52%）。作强对照保留；该融合布局停止。非否定ProSparsity整类。venue待核。 || 利用脉冲行之间的相同、子集关系复用内积；通过图、前缀关系和执行顺序组织复用；“公共脉冲组合只计算一次”“给组合增加虚拟节点”不能直接当作新贡献。([arXiv](https://arxiv.org/pdf/2503.03379)) || 利用产品之间的关系复用内积，配套模拟器及 GPU 实现；F3 仍需比较，但不能只停留在它一个最近邻。([GitHub](https://github.com/dubcyfor3/Prosperity)),完整Detector/Pruner/Dispatcher/Processor双缓冲与内外tiling、attention/neuron/SFU统一硬件链；原版256×16×128与本地64×16×96公平资源对齐。九宏是同地址宽度slice，不是九个独立bank。 || 改变共同构造/散播/残差共享后再测；非当前布局复活,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/prosperity_fusion_20260906/architecture_map.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/complete_transfer_20260907/README.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/same_workload_c1c2_20260907/README.md""] || [""same_workload_c1c2_20260907/net_benefit.md"", ""same_workload_c1c2_20260907/c1_independent_review.md"", ""hardware_innovation_20260908/literature/AB_STACK_RESEARCH_20260908.md""]",P0_high_rel || P1_mid_rel,Product Sparsity（行间公共二进制子组合只算一次再复用）+ 运行时识别/调度流水线——作「多消费者共享部分和/模式复用」强底座与 F3 联合图对照（借入≠X；本地已有 Prosperity 探针负结果边界）。,仅 bit-sparsity 零跳过（PTB/Stellar 式）；稠密 Spiking GeMM；无执行序优化的朴素行扫描。,ProSparsity/部分和复用本身非本地标题级 X；差分须落到 lifting 源 DAG 上的公共虚节点/部分 lane（F3），而非再扫整 W 产品 mask 或复述 0.09% 级 mask 目标。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_cards/arxiv_2503.03379.md,author_code_reported,https://github.com/dubcyfor3/prosperity,周期模拟器/CUDA/数据；原记录称 Synopsys 脚本未公开,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
W0002,GustavSNN,GustavSNN: Unleashing the Power of Gustavson's Algorithm on SNN Acceleration with Column-Parallel Tick-Batch Dataflow,paper,2026 IEEE International Symposium on High Performance Computer Architecture (HPCA) 2026 || HPCA 2026,稀疏架构与C1/C2 || sparsity,MAIN-R002 || MUSHA-SP001 || PRO-ChatGPTpro-#硬件idea深挖0911-52,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json || research/literature_audit_mushaolong_20260909/literature_inventory.json || gptpro/ChatGPTpro-#硬件idea深挖0911.md,https://doi.org/10.1109/HPCA68181.2026.11408587 || https://2026.hpca-conf.org/program/program-hpca-2026/Detailed-Timeline || https://sites.google.com/view/kuidslab/publications,MAIN-R002: 全文已读（§IV–VII；本地公开镜像） / 已读主文 §IV–VII；本地迁移 CPTB/NRV/merger/有限状态与完整层模型，非原论文芯片复现 || MAIN-R002: 全文已读（§IV–VII；本地公开镜像） / 已读主文 §IV–VII；本地迁移 CPTB/NRV/merger/有限状态与完整层模型，非原论文芯片复现 || deep_or_method || already_inventoried || MUSHA-SP001: author_pdf || unclear || already_inventoried_musha_incremental || MUSHA-SP001: author_pdf || PRO-ChatGPTpro-#硬件idea深挖0911-52: Pro 调研中的文献矩阵；汇总本轮未重新全文核验,,MAIN-R002: 已纳入paper-guided CPU及2×4功能RTL；未完成原作全系统 / 纳入；不冒用原作 PPA || MUSHA-SP001: include_as_open || MUSHA-SP001: partial || include_as_open || PRO-ChatGPTpro-#硬件idea深挖0911-52: Pro 建议/对照线索；详见引用段落，不等于本地已迁入,原作不只是广播：CPTB、每PE膜驻留、NR4双缓冲、L1D/merger、双口共享W、同k-ID屏障及双指针均已逐项研究。切片已接C384→全部T10门；144/352任务功能通过不等于完整Gustav性能复现。；条件变化：早期只因接近广播降级已过时；固定BN/训练码使非因果消费者可编译，但不是将原LIF替换成原ep34 full-rank PSN而免费等价。 / 已完整读 CPTB/NRV/L1D/merger/局部膜与跨 PE 同步；作为迁移底座。F_cache/NR4/普通时间行共同优化后不能沿用旧弱分母收益。 || 默认主底座A1。已部分迁GP/NRV/局部S与2×4 mount-only RTL；非因果T10消费者、θg、广播组并集、有损共同完成仍是洞B。完整Gustav服务模型尚未作充分优化对照闭环。 || 作者目录明确列出基于 Gustavson 算法的列并行 tick-batch 数据流；应继续作为强供数对照；本轮核实了论文身份，但未取得可逐节检查的全文，不能补写其内部细节。([Google Sites](https://sites.google.com/view/kuidslab/publications)),8×8完整调度/带宽；同址W与索引广播/驻留强控制；完整producer→FC1→PSN→FC2→BN2/shortcut。当前四ID重复读索引的负结果只能描述本地切片，不能作为原作分母。 / 完整适配本任务 θg、非因果 T10、实际存储/供数与生产成本尚未全部完成。 || 完整64PE/源SRAM/PSN/FC2；与Prosperity同资源净收益≥10-15%,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/literature/architecture_followup_20260908.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/psn/gustavsnn_implementation_status_20260908.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/psn/rtl/gp_slice/README.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/11_event_camera_stack_accelerators.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/grok46_20260905/04_paper_survey.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/fusion_delivery_20260907/report-source.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/README.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/psn/gustavsnn_migration_notes.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/psn/gustavsnn_reference_notes.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/psn/direct_class_review.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/psn/gustavsnn_hardware_direction.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/literature/patch_temporal_dependency_review_20260908.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/algorithm/patch_probe/partial_completion/README.md""] || [""hardware_innovation_20260908/literature/AB_STACK_RESEARCH_20260908.md"", ""hardware_innovation_20260908/psn/gustavsnn_hardware_direction.md"", ""hardware_innovation_20260908/psn/gustavsnn_implementation_status_20260908.md"", ""hardware_innovation_20260908/literature/GustavSNN_HPCA2026_public_mirror.txt""]",P0_high_rel,CPTB 柱并行时间批、每PE膜/状态驻留、NRV/NR4 双缓冲、L1D/merger、双口共享W与同k-ID屏障——作为供数与执行分母可继承到 lifting 源字对齐。 || 见 idea_cards/GustavSNN.md：CPTB/NRV/L1D/merger 等供数与执行分母。,普通稠密供数；未对齐 Gustav 的 residual PSN；仅广播式弱分母（已被审计否定）。 || 见 MAIN-R002。,无标题级 X：明确借入底座。差分只在「与 lifting 源字打包后的并集费用是否下降」。 || 无标题级 X：借入底座。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_cards/GustavSNN.md,code_not_located_in_aggregated_sources,,,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
W0003,LoAS,LoAS: Fully Temporal-Parallel Dataflow for Dual-Sparse Spiking Neural Networks,paper,MICRO 2024 || 2024,稀疏架构与C1/C2,MAIN-R003 || PRO-ChatGPTpro-#硬件idea深挖0911-51 || PRO-ChatGPTpro-#第二轮跨领域调研：-110,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json || gptpro/ChatGPTpro-#硬件idea深挖0911.md || gptpro/ChatGPTpro-#第二轮跨领域调研：.md,https://arxiv.org/abs/2407.14073 || https://arxiv.org/html/2407.14073v3 || https://arxiv.org/html/2407.14073v2 || https://github.com/RuokaiYin/LoAS,MAIN-R003: 全文已读（FTP及Algorithm 1）；非仅摘要 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读 || MAIN-R003: 全文已读（FTP及Algorithm 1）；非仅摘要 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读 || deep_or_method || already_inventoried || PRO-ChatGPTpro-#硬件idea深挖0911-51: Pro 调研中的文献矩阵；汇总本轮未重新全文核验 || PRO-ChatGPTpro-#第二轮跨领域调研：-110: Pro 调研中的文献矩阵；汇总本轮未重新全文核验,,MAIN-R003: 已纳入真正T并行强对照；共享变体停止作主创新 / 强时间打包底座 || PRO-ChatGPTpro-#硬件idea深挖0911-51: Pro 建议/对照线索；详见引用段落，不等于本地已迁入 || PRO-ChatGPTpro-#第二轮跨领域调研：-110: Pro 建议/对照线索；详见引用段落，不等于本地已迁入,r4已用真实8bank并发及每bank T10并行累加，修正了早期单源/串行scatter弱分母；特定共享相对direct加法下降8.9552%而服务周期增加0.23454%。；条件变化：后续训练K8改变自然R>T，值得把完整FTP继续作为强控制；失败的是特定共享组织。 / 完整时间签名归约/分发属于强先验；Vσ 跨 BN 保存因 R>T 失败只停止该表示。 || 面向脉冲与权重双稀疏的全时间并行数据流，并配套脉冲压缩和交集匹配电路；“把多个时间步一起处理”“压缩时间位图”“源活动与权重求交”已经有完整软硬件先例。([arXiv](https://arxiv.org/html/2407.14073v2)) || 全时间并行、脉冲与权重双稀疏执行；继续作为供数和时间组织强对照；本轮进一步核实了公开代码范围。([GitHub](https://github.com/RuokaiYin/LoAS)),完整LoAS编码/控制/神经元链与checkpoint数值输入；目前同负载功能诊断不是全网或DC/PT/FM闭环。 / 完整 dual-sparse 数据流与当前非因果消费者联合迁移尚不完整。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/fusion_delivery_20260907/report-source.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/same_workload_c1c2_20260907/c2/README_R4.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/same_workload_c1c2_20260907/README.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/codex_independent_20260905/02_literature_and_alternative_ideas.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/complete_transfer_20260907/report-source.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/README.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/literature/patch_trainable_fusion_followup_20260908.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_execution_plan_20260908.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/idea_reassessment_four_questions_20260907.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/prosperity_fusion_20260906/README.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/same_workload_c1c2_20260907/c2_independent_review.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/same_workload_c1c2_20260907/c2_parallel_independent_review.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/same_workload_c1c2_20260907/report-source.md""]",P0_high_rel,真正时间维并行（FTP）与 dual-sparse spMspM 作为时间打包强对照；Algorithm 1 级归约/分发先验。,串行 scatter 弱分母；特定共享组织（本地已测加法降但周期升）。,共享变体不作主创新；完整 FTP 作强控制。Vσ跨BN因R>T失败只停该表示。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_cards/LoAS.md,author_code_reported,https://github.com/ruokaiyin/loas,artifact/pruning_gen/训练分析；不宣称完整生产 RTL,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
W0004,ExSpike / APEC,ExSpike: A General Full-Event Neuromorphic Architecture for Exploiting Irregular Sparsity with Event Compression,paper,FPL 2026,稀疏架构与C1/C2,MAIN-R004,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,https://arxiv.org/abs/2606.20414,MAIN-R004: 全文相关方法精读（§III-A2/Fig.5）；本轮作者arXiv身份更新 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读 || MAIN-R004: 全文相关方法精读（§III-A2/Fig.5）；本轮作者arXiv身份更新 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读 || metadata_or_list || already_inventoried,,MAIN-R004: APEC进入C1融合CPU比较；完整ExSpike未迁入 / 完整先验，停止限定旧融合布局,APEC曾被误当事件坐标合并；已纠正为多个位置公共通道贡献。与Prosperity融合的特定静态基/残差组织未胜，不能据此否定APEC完整方法。；条件变化：arXiv v2写Accepted by FPL2026，旧“无会议预印本”标签应更新；算法可训练后支持集合不再等于旧捕获。 / APEC 是输入空间组共享贡献，再重建残差；固定小缓存负结果只约束该 C1 布局。,完整事件压缩格式、APEC生成/消费、有限缓冲与全部执行路径；不能只用免费intersection或高稀疏toy。 / 作者完整压缩/检测/调度与适配缓存层次的联合迁移未完成。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/concept_reassessment_20260906/report-source.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/prosperity_fusion_20260906/README.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/same_workload_c1c2_20260907/README.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/handoff_reconciliation_20260906/report-source.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/literature/patch_conditional_fusion_followup_20260908.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/idea_reassessment_four_questions_20260907.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/mechanism_rebuild_gh_20260906/report-source.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/same_workload_c1c2_20260907/five_ideas_reassessment.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/same_workload_c1c2_20260907/report-source.md""]",P0_high_rel,ExSpike/APEC 式活动/乘积稀疏与多消费者共享接口（非当前失败的 G4 融合布局）。,Prosperity∪APEC-θ 当前 G4 完整算子（已慢于同资源 Prosperity）。,完整 ExSpike 非 C1 部分仍可能有未试接口；失败的是特定 G4 融合。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_cards/ExSpike_APEC.md,code_not_located_in_aggregated_sources,,,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
W0005,Phi,Phi: Leveraging Pattern-based Hierarchical Sparsity for High-Efficiency Spiking Neural Networks,paper,ISCA 2025,稀疏架构与C1/C2,MAIN-R005 || PRO-ChatGPTpro-#第二轮跨领域调研：-108,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json || gptpro/ChatGPTpro-#第二轮跨领域调研：.md,https://arxiv.org/abs/2505.10909 || https://arxiv.org/html/2505.10909v1,MAIN-R005: 全文已读（层次pattern、PWP和处理器） / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读 || MAIN-R005: 全文已读（层次pattern、PWP和处理器） / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读 || deep_or_method || already_inventoried || PRO-ChatGPTpro-#第二轮跨领域调研：-108: Pro 调研中的文献矩阵；汇总本轮未重新全文核验,,MAIN-R005: 部分CPU迁移；onehot类共享成为强基线 / 强模式稀疏训练底座 || PRO-ChatGPTpro-#第二轮跨领域调研：-108: Pro 建议/对照线索；详见引用段落，不等于本地已迁入,本地按需Phi基结果+纯残差森林在选定q8/cap16上比原Prosperity多加法/系数读；这只是变体。后续onehot7类聚合仍被采用为最强普通控制。；条件变化：原自然高签名数失败条件被训练固定K8改变；静态模式方法仍应保留。 / PAFT 是本文内部训练方法；本地 K8/类别实验不等于完整 Phi 复现。 || 离线模式选择与模式—权重预计算；运行时匹配模式并计算正负残差修正；“公共脉冲模板＋少量差异修正”已有直接先例。([arXiv](https://arxiv.org/html/2505.10909v1)),原八输入并行归约、PWP存储/预取、冲突处理及完整Phi→TA式融合；不能只与每次重算基的弱Phi比。 / 原 PAFT 在 ep34 上的完整训练、层间布局与执行仍未做。,"[""/home/zhumd/work/sdformer_codex/ideafromai/codex_independent_20260905/02_literature_and_alternative_ideas.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/prosperity_fusion_20260906/README.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/README.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/codex_independent_20260905/01_review_and_selective_shared_reduction.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/c1_prosperity_fusion_20260906/README.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/codex_deep_rebuild_20260906/report-source.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/complete_transfer_20260907/report-source.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/fusion_delivery_20260907/report-source.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/psn/direct_class_review.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/psn/gustavsnn_migration_notes.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md""]",P0_high_rel,层次 pattern / PWP / 处理器式稀疏执行组织可作结构剪枝与执行解耦对照。,平坦稠密；无层次 pattern 的剪枝。,层次 pattern 本身≠本地标题；只有落到 r1 物理源字删字且过 AEE 才有差分。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_cards/Phi.md,code_not_located_in_aggregated_sources,,,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
W0006,TA / Transitive Array,Transitive Array: An Efficient GEMM Accelerator with Result Reuse,paper,ISCA 2025,稀疏架构与C1/C2,MAIN-R006 || PRO-ChatGPTpro-#第二轮跨领域调研：-109,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json || gptpro/ChatGPTpro-#第二轮跨领域调研：.md,https://arxiv.org/abs/2504.16339 || https://arxiv.org/html/2504.16339v1,MAIN-R006: 全文相关章节已读（§2–4） || MAIN-R006: 全文相关章节已读（§2–4） || deep_or_method || already_inventoried || PRO-ChatGPTpro-#第二轮跨领域调研：-109: Pro 调研中的文献矩阵；汇总本轮未重新全文核验,,MAIN-R006: 结果复用图/虚父节点部分迁移；完整阵列未试 || PRO-ChatGPTpro-#第二轮跨领域调研：-109: Pro 建议/对照线索；详见引用段落，不等于本地已迁入,已用于识别C1虚父/交集/保留父提升不是新代数，有限CPU变体增量很薄。不能将特定贪心parent选择失败等价原TA无效。；条件变化：可改变训练支持/存储口数，旧冻结64行限制不是永久排除条件。 || 把整数矩阵乘转成可复用前缀关系，支持静态/动态记分牌及配套分发、缓存；“复用图＋调度＋前缀缓存”已是完整架构机制，不是空白。([arXiv](https://arxiv.org/html/2504.16339v1)),完整TA阵列、scoreboard/虚拟节点调度、与Phi基图联合的公平硬件服务；动态发现与有限存储成本。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/c1_prosperity_fusion_20260906/README.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/c1_retained_parent_promotion_20260907/README.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/prosperity_fusion_20260906/README.md""]",P1_mid_rel,,,,,code_not_located_in_aggregated_sources,,,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
W0007,Comperity,Comperity: A Stateless Spiking Neural Network Accelerator with Differential Spike Encoding,paper,ACM Transactions on Architecture and Code Optimization 2026,稀疏架构与C1/C2,MAIN-R007,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,https://doi.org/10.1145/3828526,MAIN-R007: 仅出版社元数据/摘要；全文获取仍有缺口 / 方法深度各异：Gustav 有全文与实现迁移；多数宏仅本地引文/元数据核查 || MAIN-R007: 仅出版社元数据/摘要；全文获取仍有缺口 / 方法深度各异：Gustav 有全文与实现迁移；多数宏仅本地引文/元数据核查 || method_or_partial || already_inventoried,,MAIN-R007: 保留完整先验缺口；未实验 / 纳入；不冒用原作 PPA,不能把XOR-GEMM差分复用冒充Motion-XOR分数，也不能凭名字判与我们的路径等价。现有笔记尚未完成全文方法对照。；条件变化：Crossref已核TACO出版2026-07-24；ACM访问失败不代表论文不存在。 / 差分 spike 编码是原机制，XOR-GeMM 不等于 H67 Motion-XOR。,获取正文与完整算术/状态/编码成本，核与θg、非因果T10及K-as-V兼容性；没有原法同负载迁移。 / 完整适配本任务 θg、非因果 T10、实际存储/供数与生产成本尚未全部完成。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/prosperity_fusion_20260906/README.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/grok46_20260905/04_paper_survey.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/11_event_camera_stack_accelerators.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/codex_deep_rebuild_20260906/report-source.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/c1_prosperity_fusion_20260906/README.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/candidate_cards_v1.md""]",P1_mid_rel,,,,,code_not_located_in_aggregated_sources,,,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
W0008,RSR / RSR++,An Efficient Matrix Multiplication Algorithm for Accelerating Inference in Binary and Ternary Neural Networks,paper,ICML 2025,稀疏架构与C1/C2,MAIN-R008,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,https://arxiv.org/abs/2411.06360 || https://arxiv.org/html/2411.06360v3,MAIN-R008: 全文已读；递归分组算法CPU实现 || MAIN-R008: 全文已读；递归分组算法CPU实现 || deep_or_method || already_inventoried,,MAIN-R008: 完整算法级参考与有界变体已试；硬件全迁未做,RSR/RSR++是同一论文方法，不能列成两篇。原静态二值/三值矩阵转用于动态时间支持时需付分组、目录、S和散射；自然R>T宽状态版本不利。；条件变化：训练K8后类别数已受限，旧自然R>T负结果不再直接成立。,完整递归元数据和供数有限硬件；有界D8原型不是完整RSR++，不得替代生产C2分母。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/fusion_delivery_20260907/report-source.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/c2_temporal_shared_protocol_20260907/contract.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/complete_transfer_20260907/README.md""]",P3_peripheral,,,,,code_not_located_in_aggregated_sources,,,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
W0009,Mailman,The Mailman algorithm: A note on matrix–vector multiplication,paper,Information Processing Letters 2009,稀疏架构与C1/C2,MAIN-R009,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,https://www.sciencedirect.com/science/article/pii/S0020019008002949 || https://cs.yale.edu/homes/el327/papers/mailmanAlgorithm.pdf,MAIN-R009: 原文相关算法已读 || MAIN-R009: 原文相关算法已读 || unclear || already_inventoried,,MAIN-R009: 数学强先验；选择性共享部分和已借鉴,按目的mask建共享和不是新代数；需有限预处理/目录/结果存储，不能按免费类桶宣称新电路。；条件变化：从任意自然支持改训练有限码字使适用条件更好；方法先验仍保留。,原法块划分及预处理完全收费的实现；高幅值θ应静态折系数，不是把源码变成任意INT8。,"[""/home/zhumd/work/sdformer_codex/ideafromai/codex_independent_20260905/01_review_and_selective_shared_reduction.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md""]",P3_peripheral,,,,,code_not_located_in_aggregated_sources,,,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
W0010,SumMerge,SumMerge: An Efficient Algorithm and Implementation for Weight Repetition-Aware DNN Inference,paper,ICS 2021,稀疏架构与C1/C2,MAIN-R010,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,https://cwfletcher.github.io/content/research/2021.ics.summerge.paper.pdf || https://ics21.github.io/program,MAIN-R010: 全文已读（§3.3交集） || MAIN-R010: 全文已读（§3.3交集） || deep_or_method || already_inventoried,,MAIN-R010: 交集/共享子表达式CPU变体已纳入,一般交集和选择性共享已是先验；C1虚父/残差变体没胜不能否定原静态重复权值场景。；条件变化：训练支持/重复系数能改变共享机会，不能继续用旧捕获微弱增量杀全部方向。,完整intersection发现、共享值物化/消费、布局及编译成本；本地只覆盖有限候选/缓存控制。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/c1_prosperity_fusion_20260906/README.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/fusion_delivery_20260907/report-source.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/c1_retained_parent_promotion_20260907/README.md""]",P3_peripheral,,,,,code_not_located_in_aggregated_sources,,,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
