W0006	TA / Transitive Array	ISCA 2025	稀疏架构与C1/C2	0	完整TA阵列、scoreboard/虚拟节点调度、与Phi基图联合的公平硬件服务；动态发现与有限存储成本。
W0013	ELSA (SNN 2026)	ISCA 2026	稀疏架构与C1/C2	1	弹性推理（权/膜驻留片上）+ spine/token 级流水提高弹性加速器面积效率——与 F5 生存期/驻留及 Gustav 供数叙事同族对照（借入≠X）。
W0020	CRISP	DATE 2024 || 待核 || 202	稀疏架构与C1/C2 || sparsity	0	梯度目标、渐进微调、两级索引/导航和负载均衡完整方法；需光流及实际FC2消费误差。 / 把真实流场误差/区域重要性作为训练目标；完整 hybrid pruning 与恢复训练、硬件输出归并 || 完整迁移+本网消费损失
W0027	UCNN	ISCA 2018	稀疏架构与C1/C2	0	完整indirection表、分组、共享结果/解码成本及精度对照。
W0034	MASR	PACT 2019	稀疏架构与C1/C2	1	双稀疏 bitmask 供数与「前端解耦不规则、后端不断流」流水线；动态重分激活负载——可作 Gustav/lifting 并集供数不规则性与同k-ID 屏障的工程对照（借入≠X）。
W0041	ANT	MICRO 2022	稀疏架构与C1/C2 || other	1	无全文不可继承
W0048	FireFly-T	IEEE Transactions on C	稀疏架构与C1/C2	1	稀疏引擎吞吐向 sparsity 利用 + 二值注意力专用引擎（AND-PopCount）双 overlay——作 spiking transformer 稀疏/二值路径硬件分母（借入≠X；与已有 FireFly-S 卡区分）。
W0055	Skydiver	IEEE TCAD（旧表称） 2022 / 	稀疏架构与C1/C2	1	离线可预测的通道负载先验 + 调度均衡——可作多消费者/多 bank 并集不均的调度对照（借入≠X）。
W0062	ELSA (attention 2021)	ISCA 2021	稀疏架构与C1/C2	1	无全文不可继承
W0069	Auto-ViT-Acc	2022 32nd Internationa	稀疏架构与C1/C2	0	完整自动搜索与真实模型AEE/编译费用；当前独立INT8/Q14实验不等价原框架。
W0076	FlightVGM	Proceedings of the 202	稀疏架构与C1/C2	0	完整online sparsifier、格式/调度与误差；实际warp/因果可得性另由光流线核。
W0083	Edge-MoE	2023 IEEE/ACM Internat	稀疏架构与C1/C2	0	完整task routing/缓存和任务规模强对照；当前不作为主机制。
W0090	APEX	arXiv预印本 2026 / arXiv 	稀疏架构与C1/C2	1	近似/精度可调执行与早期退出式费用交换先验。
W0098	DJP	DAC 2025	剪枝、条件执行与编译	0	原文联合训练、阈值/BN 处理与代价目标；完整方法在 θg、τ 独立和非因果 T10 下的迁移
W0105	DynConv	CVPR 2020	剪枝、条件执行与编译	0	原文任务损失+执行预算训练；真实卷积 halo/状态/取权与消费者依赖完整优化
W0112	ComPreEND	IEEE Transactions on C	剪枝、条件执行与编译	0	完整预测/误差控制与调度；本地可比较的完整原方法数字实现
W0119	T-MAC	EuroSys 2025 || 待核	剪枝、条件执行与编译 || circuit	0	完整低比特 kernel 与位平面/寄存器布局；同学生普通子表分解与数据流成本 || venue核实
W0126	FFF	arXiv 2023	剪枝、条件执行与编译	0	原完整 FFF 训练/叶计算；真实全 T10 hidden 生产并集、等待缓存与 FC2 读出
W0133	Flextron	ICML 2024	剪枝、条件执行与编译	0	完整弹性子网络训练和路由；同 AEE 的动态宽度相对静态宽度优势
W0140	Checkmate	MLSys 2020	剪枝、条件执行与编译	0	完整求解器/生命周期费用；本地动态消费者恢复与源重读限制
W0147	Dyn-Bitpool (DAC)	DAC 2024	剪枝、条件执行与编译	0	完整方法与数字可迁移部分；本项目不开展模拟 CIM
W0154	OPN	IEEE Transactions on C	剪枝、条件执行与编译	0	完整原训练、抽样统计和 TinyEN；与固定 BN/必须保真动态 BN 两种身份分别比較
W0162	CNN-Cert	AAAI 2019	剪枝、条件执行与编译	0	完整认证域和浮点数值边界；真实全域统计依赖、精化代价与最强一次检查
W0170	PSN	NeurIPS 2023 || NeurIP	SNN、神经元与事件光流	1	并行/带状/滑动 PSN 公式族——与本地结构化 T10/lifting PSN 直接相关的神经元底座与强对照谱系（借入原作并行化≠X）。
W0178	Multi-Bit Mechanism / MBLIF	arXiv 2024	SNN、神经元与事件光流	0	需新训练/AEE 和幅值生产代价。
W0185	SpikePool	arXiv 2025	SNN、神经元与事件光流	1	用池化注意力替换二次 SSA，以低通池化平衡尖峰变压器固有高通——算法侧降注意力复杂度的强简化对照（借入≠X）。
W0192	Precise-event-timing egomotion	arXiv 2025	SNN、神经元与事件光流	1	保留事件精确时序的 egomotion 流水（时序→局部速度脉冲）——运动旁路/事件合同对照；反衬「聚帧再 ANN」损失（借入≠X）。
W0199	TMA	ICCV 2023	SNN、神经元与事件光流 || event	1	时密相关 + 线性 lookup 对齐 + cross-attn 聚合运动模式——事件时间维打包与多段共享读取对照（借入≠X）。
W0206	SciFlow	CVPR Workshops 2024	SNN、神经元与事件光流	1	自清洁迭代：用参考–扭曲特征高斯相似作SCI图指导GRU更新 + Regression Focal Loss重加权难像素——轻量迭代光流自评估/聚焦对照（借入≠X）。
W0213	hARMS	IEEE Access 2022	SNN、神经元与事件光流 || event	1	多尺度邻域选「孔径」+事件级局部流硬件加速——实时事件光流前端与并行事件服务对照（借入≠X）。
W0220	SpikePack	ICCV 2025 || arXiv 202	SNN、神经元与事件光流 || arXiv增量|all:bi	1	全时序打包为全局膜电位 + 整数zip压缩尖峰序列 + 并行GeMM——SNN信息保留与硬件友好时间折叠对照（借入≠X）。
W0227	Spike-driven Transformer	NeurIPS 2023	SNN、神经元与事件光流	1	膜势捷径（MS）保二进制尖峰驱动 + Spike-driven Self-Attention（列和+掩码、取消scale/softmax）——稀疏加法/地址化注意力聚合对照（借入≠X）。
W0234	STE-FlowNet	AAAI 2022	SNN、神经元与事件光流	0	原方法和准确标题待补核，任务训练未试。
