mechanism,borrowed_scope,observed_endpoint,failure_or_limit,next_interface,decision,evidence
C1 Prosperity∪APEC,完整M/N/K CPU服务与诊断θW；非完整两芯片RTL,原融合未胜过完整Prosperity,先抽共同根会破坏原父共享并增加状态/散播；负的是该联合布局,保留原森林，联合选择虚节点/部分lane/供权包；先与原森林同资源,保留家族，第二队列,../same_workload_c1c2_20260907/README.md
Prosperity布局与有限psum,官方程序原样运行+完整本网3000×6912×768；非原芯片,产品稀疏仍强；共支持/空间批均未胜原A,EM复制、跨K状态和供数费用；995MB是逻辑片上访问，不能当可免DRAM,普通resident-set归A；联合图执行之外，不再重跑相同重排,保留强A,open_fusion_execution/major_operator_fusions_20260913/prosperity_owned/README.md
Gustav CPTB/NRV/W交集,供数与PSN切片已迁；通用压缩交集/全层条带未全闭,原宽psum必驻留理由被普通门图分块反例推翻,补A不足与候选失效须分开；不能称Gustav已抄完,先补真实NRV∩W地址交集，再谈联合支撑/halo/W驻留,补A入队,psn/gustavsnn_implementation_status_20260908.md
时间类别状态直达PSN/六基,分类门与完整PSN的算法/有限执行探针,类别少不必然省拍；普通原行是强对照,状态、完整非因果PSN与解码仍要执行,不同表示接口须对普通原行同编译，不能只比较类别数,保留，未补新执行,psn/README.md
NR4费用训练,Gustav费用模型及受约束训练思路,旧训练端点未形成净服务赢家,代理事务数不等于完整供数/消费者；非全家不可训,若真实物理费用目标改变才重开；不恢复旧代理损失扫参,当前目标停止，家族留存,psn/README.md
支持码LUT与生产训练,支持表示、LUT/生产支路局部探针,尚无能借作当前R8加速的完整证据,支持生成、查表、后继连续算术不能免费,生成与消费同一程序计费；当前不拿旧功能绿晋级,保留具体接口,psn/README.md
隐藏通道按需树,有限隐藏通道/完成边界模型,普通hidden减宽仍必须保留,控制/树边界若普通减宽能解释则没有独立X,真实请求前取消并对同质量hidden50/结构剪枝,第二队列,psn/psn_decision_one_page.md
源Gram前馈统计,源统计替代目标域统计的代数与成本探针,深层代价差不能外推浅层FC1,Gram构造/完整BN域/保存重算可能抵消节省,只保留浅层FC1和完整BN域；未有当前R8新RTL,未闭，非全杀,../same_workload_c1c2_20260907/five_ideas_reassessment.md
晚知BN确认包A8,界包/提交叶及合成区间验证,功能通过不等于真实BN区间可省服务,尚缺真实区间及消费者；不能拿合成命中做网络收益,与普通界/真实BN和同提交链比较,未闭，条件保留,../same_workload_c1c2_20260907/five_ideas_reassessment.md
默认值BN/零叶/单遍统计,完整域统计与真实PED CPU链，实际AEE,普通融合有大收益；default相对完整普通X=0,原−μ缓存对照遗漏已修；物化省掉归普通融合,保留单遍/融合为A，不复活零响应标题,迁移有效，归A,open_fusion_execution/default_bn/onepass/integrated_consumer/README.md
PSN CMVM与提前判决,完整矩阵/常量编译及决策探针,不能把T10当因果LIF截断,非因果全矩阵及真实门/连续结果仍有消费者,执行费用必须超出完整CMVM常量编译；不按位判数命名,保留底座,psn/cmvm_20260909/README.md
公共时间列/私有尾完成,完整消费者与完成界模型,旧小比例请求减少没有主线证据,私有尾、复制、最后完成可能落在关键路径,留不同TC/TR/依赖接口；不反复改同尾宽,停旧端点，家族留存,algorithm/patch_probe/partial_completion/README.md
CFMP两因子/私有潜变量,公开功能链与算法恢复；未完整TC/TR硬件,private56小请求增量不等于CFMP全家无效,连续V、bank状态和后继链未完全计费闭合,同预算TC/TR bank+V+真实消费者完整时间线,明确漏项，第二队列,algorithm/patch_probe/factor_completion_20260909/README.md
