path,title,headings,indexing_status,url_count
ATLIF_INFERENCE_CONTRACT.md,AT-LIF 推理身份：二电平发放与阈值折权,当前合同 || 对当前硬件工作的直接影响,machine_indexed_not_full_read,0
GROK_TRACK_CODEX_OPENER.md,Grok track Codex opener (paste whole block into a NEW session; do NOT use /resume-codex),,machine_indexed_not_full_read,0
HANDOFF_NEXT_AGENT_20260905.md,下一任 Agent 接手提示词（中文，目标仅 TCAS-II）,0. 你必须先读的路径（按顺序） || 1. 工作目录与仓库 || 2. 目标刊物：只投 TCAS-II || 3. 算法架构（冻结身份 = Motion C12 / H67 / ep34） || 3.1 任务与检查点 || 3.2 网络拓扑（逻辑数据路径，不是已测的单一 RTL 顶层） || 3.3 注意力算术（身份 vs 部署） || 3.4 算法源码地图（只读这些写方法节） || 4. ATLIF 计数（不要写 85） || 5. 现有硬件架构（实现还在，创新故事要换） || 5.0 执行合同（三岛共用） || 5.1 逻辑挂载（不是已测 SoC） || 5.2 生产 RTL 目录（主仓 `hw_autoresearch_nts07/`） || 5.3 C1：瓶颈 Conv3×3 有限容量乘积捕获 || C2：类型化有符号 K8 + TSBG（在 C2 内部） || C3：Fixed-T10 精确服务 || 评价纪律 || 5.4 技术文档目录（先读哪、别读哪） || 必读（当前身份） || 冻结/禁改 || 按目录逛（不要通读） || 查证顺序建议 || 6. 硬件完成度（对 TCAS-II 桌退风险） || 7. 创新困境（用户为什么要你接手） || 8. 磁盘上三套 idea（禁止合成一座岛） || 9. 硬禁令 || 10. 接手后先做什么,machine_indexed_not_full_read,2
README.md,ideafromai — AI idea drop zone (Codex reads here),Codex read order || Layout || Hard rules || Related isolated RTL (Grok Bot only),machine_indexed_not_full_read,0
README_GROKBOT.md,ideafromai — AI-sourced ideas for SDformer C1*/C2* remake,Layout || Server path (ismd-nemo) || Related isolated RTL skeleton (separate tree) || Round 2 (2026-09-05) || Round 3 (2026-09-05) || Round 4 (2026-09-05),machine_indexed_not_full_read,0
README_SYNC.md,ideafromai 已直接纳入主仓,,machine_indexed_not_full_read,0
README_TREE_GROKBOT.md,SDformer C1* / C2* — Grok Bot isolated tree,Layout || Related research (read-only refs),machine_indexed_not_full_read,0
TRACKING_CODEX_SESSIONS.md,Grok 跟踪的 Codex 会话（2026-09-06 起）,,machine_indexed_not_full_read,0
codex_cards/CARD_A_OP_STW.md,Codex Card A — C1* OP-STW predictor,Hard rules || Goal || Files to fill (already skeletoned) || Spec || Ports (suggested; you may refine but document in README) || Behavior || TB accept criteria || Out of scope || Done means,machine_indexed_not_full_read,0
codex_cards/CARD_B_HBG_RP.md,Codex Card B — C2* HBG-RP packetizer,Hard rules || Goal || Files || Spec || Behavior || TB cases || Out of scope || Done means,machine_indexed_not_full_read,0
codex_cards/CARD_C_MX3P_DIRTY_SCORE.md,Card C — MX3P + dirty-lane Motion-XOR score island (Grok 4.6),"Goal || Identity contracts || Related-work sentences the RTL comments should not violate || Deliverables if admitted || Out of card (Rank 3, later) || Isolation",machine_indexed_not_full_read,0
codex_cards/README_GROKBOT.md,Codex cards (Grok Bot),,machine_indexed_not_full_read,0
codex_independent_20260905/01_review_and_selective_shared_reduction.md,当前 C1/C2 的独立判断与一个值得检验的研究假说,1. 独立判断：先解决创新性，不是继续包装 || C1：受约束实现不自动等于新架构 || C2：循环交换、广播和避免重复控制器属于强近邻区域 || 研究策略 || 2. 首要假说：动态公共部分和的选择性构造与广播 || 2.1 一个没有完整 subset parent 的例子 || 2.2 目的掩码表示 || 2.3 signed 边界 || 3. 查重结果：数学思想不能宣称原创 || 4. 可能值得设计的硬件，不是“全部模式桶” || 初始设计约束 || 机会判据，不是 PPA 模型 || 位精确性边界 || 5. 自我反驳与淘汰条件 || 反例 A：只有稀疏，没有相关性 || 反例 B：算术数量减少，但时钟周期增加 || 反例 C：共享状态比重算更贵 || 反例 D：研究点被近邻完整覆盖 || 6. 后续验证门槛（仅建议，未执行） || 7. 当前建议,machine_indexed_not_full_read,4
codex_independent_20260905/02_literature_and_alternative_ideas.md,文献与备选 idea 档案,1. 为什么保存历史候选但不沿用历史排序 || 2. 小容量精确模式结果表 || 3. 按 bank 独立解码的无损权重存储 || 4. 融合式 signed 归约—累加器 || 5. 有限窗口内重组独立 token 任务 || 6. 其他已检索工作及采用边界 || 7. 不推荐直接采纳的“idea”,machine_indexed_not_full_read,22
codex_independent_20260905/README.md,Codex 独立评审与研究假说,阅读顺序 || 当前结论 || 来源与隔离,machine_indexed_not_full_read,0
contracts/ATLIF_contract_r1_grokbot.md,ATLIF output contract r1 (Grok Bot defaults),Defaults (assumed until you override) || Packet || Claim discipline || Override log,machine_indexed_not_full_read,0
contracts/ablation_ladder_grokbot.md,Ablation ladder (Grok Bot),C1* || C2*,machine_indexed_not_full_read,0
gptpro/ChatGPTpro-#硬件idea深挖0911.md,chatgpt response,硬件 idea 深挖：从“少算”推进到“真正少服务” || 一、先明确：目前有研究信号，但还没有证明硬件主贡献 || 二、文献深挖：哪些“看起来新”的方向，其实已经有很强的先例 || 2.1 与当前挂点直接相关的文献 || 2.2 三个对创新边界尤其重要的发现 || 三、新增候选：舍入格点证书驱动的局部差分执行 || 3.1 它具体挂在哪里 || 3.2 精确判据可以写出来，而不依赖学习一个置信度 || 3.3 真正难的不是证明，而是让证明比原计算便宜 || 3.4 如何利用光流输入，而不是增加整帧历史缓存 || 3.5 它与 DeltaCNN 的差分到底在哪里 || 四、F1 深挖：不是“剪得更多”，而是让同一个物理字被所有消费者共同放弃 || 4.1 原来的 F1 方向是对的，但优化对象还应更具体 || 4.2 用一个例子说明为什么各支路稀疏不等于供数减少 || 4.3 应把 F1 做成“需求闭包”，而不是简单叠加两个 mask || 4.4 raw I 的残差义务可能直接封死部分布局 || 4.5 硬件上必须从“少发射”推进到“少访问” || 4.6 新颖性应怎么检验 || 五、F2/F4 深挖：提前知道门结果，不等于整组可以停止 || 5.1 一个非常直接的反例 || 5.2 将“完成”分成三件事 || 5.3 有损预测版与证书版应明确分开 || 预测版：只消除真正不再需要的义务 || 证书版：证明两个消费者所需结果均已确定 || 5.4 不要重复实现文档已经做过的“末五门 cutoff” || 5.5 MP4 已经能推导出一个有用的停止门槛 || 六、F5 深挖：让 lifting 的结构本身更容易释放状态 || 6.1 不能只做一个生存期正则项 || 6.2 优化指标应包含“占了多久”，而不只是“最多占多少” || 6.3 与 LoopTree 的差分在哪里 || 七、F3、F6、F7：哪些还值得保留，哪些应降为共同底座 || 光流任务的特点怎么真正进入硬件机制？ || 八、怎样把这些 idea 变成可以尽早裁决的实验，而不是继续堆候选卡 || 8.1 第一份真正缺少的结果：完整链瓶颈表 || 8.2 每个候选先做“理想上界”，再决定是否投入训练 || 8.3 强对照要给相同优化权限 || 九、我的最终选择建议,machine_indexed_not_full_read,16
gptpro/ChatGPTpro-#第二轮跨领域调研：.md,chatgpt response,第二轮跨领域调研：围绕 TCAS-II，筛选能落到具体电路的新机制 || 一、先把 TCAS-II 的目标定准 || 二、算法与 AI 顶刊顶会：哪些方法真正值得往硬件上借 || 2.1 重点文献矩阵 || 一个需要明确修正的地方 || 2.2 DuoGPT 对 F1 的启发，比“再加一个二阶重要性”更具体 || 2.3 Monarch、PSN 给你的不是“直接换模块就能发”，而是结构搜索空间 || 三、体系结构顶会：三篇新近邻明显提高了创新门槛 || 3.1 重点文献矩阵 || 3.2 Bishop：你需要借它的评价粒度，而不是照搬它的名字 || 3.3 Phi：F3 必须新增的最近邻 || 3.4 Transitive Array：不能再把调度开销留在图外 || 四、电路顶刊顶会与芯片实现：该借机制，也要借证据标准 || 4.1 重点文献矩阵 || 4.2 SpiDR 是本轮最需要认真面对的电路对照 || 它还给出一个很有价值的“稀疏格式成本”例子 || 4.3 ISCAS 2025 的时间展开：可借实现，不可偷换数值函数 || 五、开源核查：哪些能直接用，哪些只是“有仓库” || 六、针对 TCAS-II，继续深挖的两个主候选 || 6.1 候选 A：多消费者共同关闭的物理源字发射器 || 真正的问题 || 本轮要求增加的硬件差分：不能继续“全扫再丢” || 相对最近邻，差分必须写到这一步 || 最小实验应如何拆分 || 6.2 候选 B：舍入余量分级驱动的无损旁路 || 先解决上一轮最大的缺陷：检查不能和原乘法一样贵 || 第一步：参考计算完成时生成余量等级 || 第二步：后续计算只做廉价检查 || 一个具体缩小例子 || 一个可以立即排查的静态条件 || 真正决定硬件收益的，是整组 SIMD 能否共同接受 || 还必须正面计算参考状态和读口费用 || 最近邻与停止条件 || 七、F2 与 F3：继续研究，但暂时不要扩大投入 || 7.1 F2 应保留为“多消费者提前完成”，而不是“门预测器” || 7.2 F3 不宜再泛化成“学习模式＋公共计算” || 八、面向 TCAS-II，最终实验和论文应该长什么样 || 8.1 先选择一条因果链，而不是多个并列 idea || 主线 A：物理源字共同关闭 || 主线 B：舍入余量分级旁路 || 8.2 需要的证据，按层级分开报告 || 8.3 五页内建议保留的图表 || 最终建议,machine_indexed_not_full_read,35
microarch/05_C1star_C2star_microarch_sketches.md,C1* / C2* 微架构草图 + 工作量对比,0. 对照：旧贡献 vs 新机制 || 1. C1* 微架构草图 || 1.1 顶层数据流 || 1.2 模块拆分（可直接变 SV 目录） || 1.3 C1* 验证梯子 || 1.4 C1* 工作量 || 2. C2* 微架构草图 || 2.1 顶层数据流 || 2.2 模块拆分 || 2.3 C2* 验证梯子 || 2.4 C2* 工作量 || 3. 两边对比（决策表） || 推荐排期 || 最小可发表集（两边都碰） || 4. 共享基建 || 5. 一页结论 || 6. 待你批准后再动的工程,machine_indexed_not_full_read,0
plans/06_R1R2_full_plan_codex_ready.md,R1+R2 全做合并计划（Codex 加速版）,1. 范围冻结（全做 = 这些模块） || C1* 满配 || C2* 满配 || 明确不做（本阶段） || 2. Codex 提速后的工期（修订） || 3. 双轨并行排期（推荐） || 4. 目录骨架（待批后 NEW only） || 5. Codex 任务卡（可直接粘贴） || Card A — C1* OP-STW || Card B — C2* HBG-RP || Card C — C1* PRRC+OGEC || Card D — C2* ADP-MAC || Card E — ARM-Acc || Card F — MFBD + SP-Gate || Card G — Ablation harness || 6. 必须先钉死的 ATLIF 契约（阻塞 C2*） || 7. Grok Bot vs Codex 分工 || 8. 下一步（等一句批准）,machine_indexed_not_full_read,0
research/00_seed_notes.md,"Seed notes (parent, 2026-09-05)",Optical-flow HW || SNN / multi-bit || Opportunity gap for SDformer,machine_indexed_not_full_read,0
research/01_ann_sparsity_mechanisms.md,ANN → SDformer Transferable Mechanisms (Focus A/B),Ranking criteria (novelty for ISCAS HW/SW co-design) || Top 12 ranked mechanisms || 1. Flow-Coherent Predictive Token Wake (score **9.5**) || 2. Amplitude-Preserving Dual-Bit / Dual-Factor Spike MAC (score **9.0**) || 3. Cascade Token/Head Pruning → Spatio-Temporal Bundle Gate (score **8.5**) || 4. Cross-Stage Predictive Sparse Attention (DLZS-style) for Spike Attention (score **8.5**) || 5. Hierarchical Structured Sparsity with Runtime Reshape (score **8.0**) || 6. Pre-Gated Expert / Head Routing for Temporal Blocks (score **8.0**) || 7. Progressive / Value-Aware Bit Truncation with Confidence Recompute (score **7.5**) || 8. FlashAttention-style Fusion / Einsum Dataflow with Semantic Stationarity Twist (score **7.5**) || 9. Parallel Tick-Batching / Membrane-Unrolled Temporal Dataflow (score **7.5**) || 10. Control-Variate / Self-Healing Approximate MAC with Analytic Error Bounds (score **7.0**) || 11. Residual / Skip-Path Membrane Reuse (IAND / Potential Shortcut) (score **6.5**) || 12. Event-Triggered / Differential Activation Tile Controller (score **6.5**) || Suggested remake map for current C1 / C2 || Explicit DO NOT CLAIM list (saturated) || Focus B quick index (distinctive sparsity / skip families) || Citation bank (copy-friendly) || Next actions (for parent / Timmyz3),machine_indexed_not_full_read,39
research/02_snn_atlif_realvalued_mechanisms.md,Hardware Mechanisms for Optical-Flow SNN-Transformer (SDformer) with Real-Valued ATLIF-like Outputs,"0. Clarifying ATLIF vs. “real-valued” (important for HW claims) || 1. Survey: mechanisms beyond plain LIF accumulate-and-fire || 1.1 Temporal coding & chronological decoupling || 1.2 Spatiotemporal dataflow, membrane reuse, on-the-fly spike gen || 1.3 Spike compression, sparsity decode, event queues || 1.4 Multi-bit / non-spike / transformer-specific HW || 1.5 Mechanisms that **break** under real-valued outputs (call-out list) || 1.6 Mechanisms that **still work** (or adapt cheaply) || 2. Ranked hardware ideas (novelty 1–10) for SDformer + real ATLIF || Rank A — Lead ISCAS claims (novelty 8–10) || Rank B — Strong adaptations (novelty 6–7.5) || Rank C — Supporting / lower novelty (3–5.5) || 3. ATLIF-specific mechanism section (design recipes) || 3.1 Recommended top-level architecture (ISCAS figure story) || 3.2 Microarchitecture recipes || 3.3 What *not* to claim as novel || 3.4 Ablations ISCAS reviewers will expect || 4. Algorithm-only papers that justify a **first HW co-design** claim || 4.1 Optical-flow / event SNN (highest priority) || 4.2 Spike transformers / neurons (map to attention + ATLIF) || 4.3 Gap statement (use in intro) || 5. Suggested ISCAS contribution packaging || 6. Core bibliography (real citations) || 7. Bottom line for the parent agent / authors",machine_indexed_not_full_read,0
