id,local_key,title,authors,venue,date,read_sections,code_or_author_url,code_status,claims_used,primary_url,fulltext_status,access_date
1,est,End-to-End Learning of Representations for Asynchronous Event-Based Data,Gehrig; Loquercio; Derpanis; Scaramuzza,ICCV 2019,2019-10,§3.1–3.3; PDF pp.3–4 / printed pp.5635–5636,https://github.com/uzh-rpg/rpg_event_representation_learning,官方仓库已核；学习表示代码；不是完整光流硬件,测量/核/采样定义；极性与时间投影的信息损失,https://openaccess.thecvf.com/content_ICCV_2019/papers/Gehrig_End-to-End_Learning_of_Representations_for_Asynchronous_Event-Based_Data_ICCV_2019_paper.pdf,downloaded_selected_sections_read,2026-09-13
2,asynet,Event-based Asynchronous Sparse Convolutional Networks,Messikommer; Gehrig; Loquercio; Scaramuzza,ECCV 2020,2020,§3.1–3.2; PDF pp.4–8,https://github.com/uzh-rpg/rpg_asynet,官方仓库已核；同步/异步SSC实现,SSC不等于普通卷积；rulebook/活动变化/非线性状态,https://www.ecva.net/papers/eccv_2020/papers_ECCV/papers/123530409.pdf,downloaded_selected_sections_read,2026-09-13
3,idnet,Lightweight Event-based Optical Flow Estimation via Iterative Deblurring,Wu; Paredes-Vallés; de Croon,ICRA 2024,2024-05-13 to 2024-05-17,§III-A–F / Algorithms1–2; PDF pp.4–6 / printed pp.14709–14711,https://github.com/tudelft/idnet,官方仓库已核；训练/评估和ID/TID配置,当前批次ID vs 跨时间TID；合法先验与warm-start费用,https://pure.tudelft.nl/ws/portalfiles/portal/220695337/Lightweight_Event-based_Optical_Flow_Estimation_via_Iterative_Deblurring.pdf,downloaded_selected_sections_read,2026-09-13
4,eemflow,Efficient Meshflow and Optical Flow Estimation from Event Cameras,Luo; Luo; Wang; Lin; Zeng; Liu,CVPR 2024,2024-06,§3.1–3.2.3; PDF pp.3–5 / printed pp.19200–19202,https://github.com/boomluo02/EEMFlow,官方仓库已核；模型/训练/评估/权重链接,稀疏平滑meshflow不同于dense flow；CDC是稠密细化,https://openaccess.thecvf.com/content/CVPR2024/papers/Luo_Efficient_Meshflow_and_Optical_Flow_Estimation_from_Event_Cameras_CVPR_2024_paper.pdf,downloaded_selected_sections_read,2026-09-13
5,edcflow,EDCFlow: Exploring Temporally Dense Difference Maps for Event-based Optical Flow Estimation,Liu; Cheng; Wang; Sun,CVPR 2025,2025-06; arXiv 2025-06-04,§3.1–3.4; PDF pp.3–4 / printed pp.1986–1987,https://github.com/KK-xi/EDCFlow,官方仓库已核；模型/训练/评估/权重文件目录,高分辨率差分与低分辨率匹配互补；warp依赖上一迭代flow,https://openaccess.thecvf.com/content/CVPR2025/papers/Liu_EDCFlow_Exploring_Temporally_Dense_Difference_Maps_for_Event-based_Optical_Flow_CVPR_2025_paper.pdf,downloaded_selected_sections_read,2026-09-13
6,ematch,EMatch: A Unified Framework for Event-based Optical Flow and Stereo Matching,Zhang; Zhu; Wang; Wang; Huang,ICCV 2025,2025-10,§3.1–3.2; PDF pp.3–5 / printed pp.5847–5849,https://github.com/BIT-Vision/EMatch,官方仓库和主文链接已核；未运行,无事件位置仍需上下文；TRN/SCA产生稠密对应表征,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhang_EMatch_A_Unified_Framework_for_Event-based_Optical_Flow_and_Stereo_ICCV_2025_paper.pdf,downloaded_selected_sections_read,2026-09-13
7,consistency2026,From Contrast to Consistency: Rethinking Event-based Continuous-Time Optical Flow Estimation,Hu; Wu; Yang; Wu,CVPR 2026,2026-06; arXiv 2026-05-25,§3.1–3.3; PDF pp.3–5 / printed pp.15127–15129,,主文与arXiv均未找到官方代码链接；不等于不存在,VWE保持时间结构；局部结构/轨迹一致性；双向完整窗口依赖,https://openaccess.thecvf.com/content/CVPR2026/papers/Hu_From_Contrast_to_Consistency_Rethinking_Event-based_Continuous-Time_Optical_Flow_Estimation_CVPR_2026_paper.pdf,downloaded_selected_sections_read,2026-09-13
8,spidr,SpiDR: A Reconfigurable Digital Compute-in-Memory Spiking Neural Network Accelerator for Event-based Perception,Sharma; Negi; Dutta; Agrawal; Roy,arXiv; 正式venue未核实,2024-11-05,"§II; Fig4; §III/TableII; PDF pp.2–4,7",,未找到官方RTL/代码；不得把论文图当开源实现,65nm实测；DSEC/T10；AER门槛例子和位图/S2A成本,https://arxiv.org/pdf/2411.02854,downloaded_selected_sections_read,2026-09-13
9,harms,hARMS: A Hardware Acceleration Architecture for Real-Time Event-Based Optical Flow,Stumpp; Akolkar; George; Benosman,IEEE Access 10:58181–58198,2022-05-13,§II-B; §III–IV; Algorithm1; PDF pp.3–6 / printed pp.58183–58186,,本轮未定位官方代码；原文硬件边界可读,孔径法向流；recent flow buffer；局部流计算在PS而非PL加速范围,https://space.pitt.edu/sites/default/files/2024-10/hARMS_-A-Hardware-Acceleration-Architecture-for-Real-Time-Event-Based-Optical-Flow.pdf,downloaded_selected_sections_read,2026-09-13
10,motiondeltacnn,MotionDeltaCNN: Sparse CNN Inference of Frame Differences in Moving Camera Videos with Spherical Buffers and Padded Convolutions,Parger; Tang; Neff; Twigg; Keskin; Wang; Steinberger,ICCV 2023,2023-10; arXiv v1 2022-10-18,§3.1–3.7; PDF pp.3–5,https://dabeschte.github.io/paper/2023/10/02/motiondeltacnn.html,作者页已核；未定位本篇完整公开代码；不能以DeltaCNN仓库充当本篇代码,运动对齐与环形缓存；bias初始化；边界状态和刷新,https://openaccess.thecvf.com/content/ICCV2023/papers/Parger_MotionDeltaCNN_Sparse_CNN_Inference_of_Frame_Differences_in_Moving_Camera_ICCV_2023_paper.pdf,downloaded_selected_sections_read,2026-09-13
