uid,name,source,depth,A,B,X_hint,f_or_stageB,boundary,idea_bullets,kill_gate
MAIN-R002,GustavSNN,audit_deep_verified,审计§IV–VII + 本地镜像全文；证据见 gustavsnn_* / architecture_followup,CPTB 柱并行时间批、每PE膜/状态驻留、NRV/NR4 双缓冲、L1D/merger、双口共享W与同k-ID屏障——作为供数与执行分母可继承到 lifting 源字对齐。,普通稠密供数；未对齐 Gustav 的 residual PSN；仅广播式弱分母（已被审计否定）。,无标题级 X：明确借入底座。差分只在「与 lifting 源字打包后的并集费用是否下降」。,F5 底座；可与 Stage B 并行准备接口，但不抢 schedule_compare 档期。,不得冒用原作 PPA；本地 2×4 功能切片≠完整 8×8；θg/非因果 T10 适配未宣称等价原 LIF。,NRV 行与源∩W 计费分母固定后再比 lifting | 同k-ID 屏障作为多消费者并集同步原语 | merger/L1D 边界作为 Stage B same-port 对照的状态口 | 负结果只描述本地切片，不外推原作分母,对齐后并集费用不降或不改 Stage B 结论 → 停「当标题」，保留底座。
MAIN-R003,LoAS,audit_deep_verified,全文 FTP+Algo1；本地 r4 8bank 记录,真正时间维并行（FTP）与 dual-sparse spMspM 作为时间打包强对照；Algorithm 1 级归约/分发先验。,串行 scatter 弱分母；特定共享组织（本地已测加法降但周期升）。,共享变体不作主创新；完整 FTP 作强控制。Vσ跨BN因R>T失败只停该表示。,F2 对照（时间打包/共同完成）；不直接当 Stage B 主实验。,同负载功能诊断≠全网 DC/PT/FM；完整编码/神经元链未迁入。,用完整 FTP 作 lifting 半步检查点的时间轴对照 | dual-sparse 计费与 r1 并集费用对齐时才谈共同完成 | R>T 条件变化后重测，不沿用旧弱分母收益,相对 direct 仅加法降而服务周期升 → 停该共享组织。
MAIN-R004,ExSpike / APEC,audit_deep_verified,§III-A2/Fig.5 方法精读 + 本地 fusion 负结果,ExSpike/APEC 式活动/乘积稀疏与多消费者共享接口（非当前失败的 G4 融合布局）。,Prosperity∪APEC-θ 当前 G4 完整算子（已慢于同资源 Prosperity）。,完整 ExSpike 非 C1 部分仍可能有未试接口；失败的是特定 G4 融合。,F3 相关；第二队列；不抢 Stage B。,CPU 有限服务模型≠VCS 闭环；不得把 G4 负结果扩成家族失败。,拆开 ExSpike 非C1 与 G4 融合，分布局复测 | 多消费者共享换挂到 lifting 后源活动再谈,再出现同资源慢于 Prosperity → 停该融合布局。
MAIN-R005,Phi,audit_deep_verified,全文层次pattern/PWP/处理器,层次 pattern / PWP / 处理器式稀疏执行组织可作结构剪枝与执行解耦对照。,平坦稠密；无层次 pattern 的剪枝。,层次 pattern 本身≠本地标题；只有落到 r1 物理源字删字且过 AEE 才有差分。,F1 对照轴；Stage B 后可挂。,未完整迁移原处理器；勿搬 PPA。,层次 pattern 作为 F1 删字候选的结构约束 | PWP 式打包与并集读端口对照,不胜 HiNM/窄稠密或破 AEE → 停该布局。
MAIN-R027,VENOM,audit_deep_verified,§3–4/§6 + 官方剪枝代码,结构化/模式稀疏与官方剪枝代码级先验；可作 F1 开源强对照工具链一端。,非结构化幅值剪枝；无模式约束。,模式稀疏训练/内核≠自动 X；需同槽服务对比。,F1 强对照；Stage B 后可挂。,官方代码读过≠本地完整迁入 GPU/ASIC。,用 VENOM 模式作为 HiNM/2:4 之外的结构对照 | 官方剪枝流程对齐 r1 双消费者损失,同服务不胜窄稠密 → 停该模式布局。
MAIN-R029,TASD,audit_deep_verified,§3/4.2–4.4/图11,时间/结构感知稀疏调度先验，可对照 lifting 半步边界上的组完成。,静态窄层；无时间感知调度。,调度先验借入；挂点必须换到本地半步/RNE 才可能差分。,F2；第二队列。,未完整迁入；图11级方法不等于本任务精度门。,时间感知调度映射到半步检查点 | 与独立预测+同组关闭对照,预测费吞收益或 AEE 破门 → 停。
MAIN-R031,SCNN,audit_deep_verified,§III–IV/图4–6,压缩稀疏卷积数据流经典底座：非零探测、笛卡尔积式稀疏执行、PE 间传递。,稠密卷积；忽略激活稀疏的加速器。,SCNN 是祖先底座≠X；本地 PSN/门控消费者接口不同。,F1/F5 数据流对照；旁路主岛时作方法学参照。,CNN 假设；直接搬到 T10 PSN 非法。,非零源字广播域与 r1 删字域对齐讨论 | 稀疏执行计费口径对照 Stage B same-port,计费口径无法对齐 same-port → 仅作文献对照不停主实验。
MAIN-R103,LUT-DLA,audit_deep_verified,§IV–VI/Algorithm1,LUT/查表式算术与编译到固定函数单元的先验，贴近 da4ml CSE/逻辑网思路。,通用 MAC 阵列；无表驱动折叠。,表驱动折叠借入；本地已有 CSE，单独搬 LUT-DLA 不构成标题。,底座/对照；不抢 Stage B。,Algo1 级已读；未完整迁入训练/综合。,LUT/CSE 边界作为净费用合同的一列 | 与 lifting 编译图中间 RNE 对照,不降并集逻辑需求 → 不进入标题候选。
MAIN-R110,APEX,audit_deep_verified,§II-B/III-B/E,近似/精度可调执行与早期退出式费用交换先验。,固定全精度全算。,近似执行≠证书跳过；需本地 finite 互斥与 AEE 门。,F4/F2 旁路；第二队列。,§II-B/III-B/E；非完整系统迁入。,精度-费用旋钮映射到门控生存期 | 与无证书全算对照,验证/近似费≥省下的计算 → 停该布局。
MAIN-R324,Tambe Sparse Transformer Processor,audit_deep_verified,本轮重新读作者全文（审计标注）,稀疏 Transformer 处理器数据流与 token/注意力稀疏硬件接口。,稠密注意力；FlashAttention 类软件核（非芯片对照）。,解码器旁路可能省费用；搬到 r1 主岛易诱拐课题。,F7 旁路；明确不进主岛、不抢 Stage B。,任务与光流 SNN PSN 主岛不同；勿用 LLM serving 指标替代 AEE/净服务。,仅评估解码器侧并集费用 | 与本地 K=0 注意力有限份额对照,主岛 AEE/净服务无增益 → 停进主贡献。
local_author_txt:GustavSNN_HPCA2026_public_mirror.txt,GustavSNN,local_author_fulltext,方法级（§II SpMM/GP；§III tick-batch vs temporal-parallel；§IV CPTB/NRV/in-situ GP PE；§V weight-row tile + column-major time-second；§VI P 因子与 SPA/ONE 评测）,,,,,,,
local_author_txt:FlexSpIM_ISCAS2025_author.txt,FlexSpIM,local_author_fulltext,方法级（§I 三挑战；§II 数字 CIM 五相位/任意分辨率与 operand shaping/HS 数据流；§III 芯片与系统外推）,,,,,,,
local_author_txt:SCNN_ISCA2017_author.txt,SCNN,local_author_fulltext,方法级（§III PT-IS-CP-dense/sparse 数据流；§IV PE/scatter/PPU/RLE；§VI 利用率与能量）,,,,,,,
local_author_txt:LoopTree_TCASAI2024_author.txt,LoopTree,local_author_fulltext,方法级（§II 融合层 tiling×retain/recompute；§III 层间映射选择空间；§IV 多面体分析流水线；§V–VI 验证与算例）,,,,,,,
local_author_txt:RISCSparse_ICCAD2024_author.txt,RISCSparse,local_author_fulltext,方法级（§2 SSC/GMS 与剖析；§3.1–3.4 向量化 Mapping、GMS 卸载、算子融合；§4 评测分解）,,,,,,,
