item,cpu_logical_bytes,cpu_macro_proxy_bytes,m962_realization,m962_physically_included,port_or_access_boundary,closure_action
one_block_parent_scratch_signed12_row_indexed,9216,18432,"9x TS1N28HPCPHVTB128X128M4S; lower 64 rows addressed",yes,"one coherent 1152-bit synchronous 1RW access per cycle; read XOR write",already physically bound; preserve as measured parent component
descriptor32_pingpong,512,2304,"directory_q[2][64]x32 flattened into standard cells",yes,"parallel tournament/preprocess reads; writes during prep",keep standard-cell for minimum closure; do not pretend its 2304-byte macro proxy is a separate macro
source_mask_pingpong,256,2304,"mask_q[2][64]x16 flattened into standard cells",yes,"parallel tournament/preprocess reads; writes during prep",keep standard-cell for minimum closure unless a new multicycle schedule is separately replayed
parent_liveness_class_2bit_per_row,16,1152,"parent_live_q[2]x64 flattened into standard cells",yes,"parallel candidate qualification",keep standard-cell; logical encoding differs from CPU item name but capacity role is present
active_bitmap,8,1152,"several 64-bit control maps exist; no sealed one-to-one identity",ambiguous,"control/scheduling",bind one authoritative RTL signal or remove the duplicate analytical proxy
psum,116736,119808,"issue_psum_prior[1823:0] input and psum_write_data[1823:0] output; no resident psum array",no,"external ready/valid plus 6-bit address",integrate foundry memory or declare identical external common charge for candidate and baseline
psum_valid_bitmap,64,1152,"no sealed resident psum-valid sidecar mapping",no,"must share psum address and schedule without adding a hidden port",bind sidecar/spare-bit implementation with exact port proof or common-charge it identically
weight_payload,12288,50688,"issue_residual_data[1151:0] arrives from outside; no weight/PWP tile store or DMA",no,"two logical four-output-block half-slots in CPU ledger",integrate foundry memory or declare identical external common charge; prove whether half-slots can share one 1RW group
fifo_control_reserve,16384,16384,"actual two-entry 2x1152-bit response payload plus scheduler metadata in standard cells; no 16-KiB memory",partial,"two wide response slots plus control",replace abstract reserve with audited implemented state or instantiate/common-charge a real shared buffer
source_store,not_in_213376,not_in_213376,"external; CPU traffic charges 103680000 logical source-SRAM bytes",no,"external source delivery",common-charge identical capacity/ports/latency/area or integrate in both comparison tops
weight_dram_and_dma,not_in_213376,not_in_213376,"external; CPU traffic charges 9069207552 weight-DRAM bytes",no,"external DRAM/DMA",common-charge identical controller and memory model; energy remains unavailable until modeled or measured
current_row_accumulator,not_separate_cpu_capacity_item,not_separate_cpu_capacity_item,"row_acc_q[96]x13 and psum_acc_q[96]x20 in standard cells",yes,"current row only; not the resident 116736-byte psum store",keep in island; never use it as evidence that the full psum store is integrated
debug_and_counters,not_in_cpu_capacity,not_in_cpu_capacity,"debug state and ten 64-bit counters included in flattened standard-cell area",yes,"observability only",either keep on both matched tops or remove and resynthesize both; never subtract a linear estimate
