name,catalog_ids,titles,venues,reason_unmerged
Avalanche,W0018 || W0356,Avalanche: Optimizing Cache Utilization via Matrix Reordering for Sparse Matrix Multiplication Accelerator || Avalanche SpMM completion recycling and input reuse,ISCA 2025 || ASPLOS 2025,"same short name only; source family, venue or identity remains unresolved"
FireFly-T,W0048 || W0341,FireFly-T: High-Throughput Sparsity Exploitation for Spiking Transformer Acceleration with Dual-Engine Overlay Architecture || FireFly-T: sparse engine + binary AND-PopCount attention for Spike Transformer,IEEE Transactions on Computers 2026 || arXiv 2025,"same short name only; source family, venue or identity remains unresolved"
ESSA,W0054 || W0342,ESSA: Design of a Programmable Efficient Sparse Spiking Neural Network Accelerator || ESSA: Efficient Sparse Spiking Architecture with adaptive spike compression,IEEE TVLSI（旧表称） 2022 / IEEE TVLSI 2022 || IEEE TVLSI 2022,"same short name only; source family, venue or identity remains unresolved"
ViTCoD,W0068 || W0350,ViTCoD: Vision Transformer Acceleration via Dedicated Algorithm and Accelerator Co-Design || ViTCoD: prune-and-polarize with denser/sparser engines,HPCA 2023 || 待核,"same short name only; source family, venue or identity remains unresolved"
FlashAttention,W0070 || W0349,FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness || FlashAttention / FA-2 / FA-3 GPU kernels,NeurIPS 2022,"same short name only; source family, venue or identity remains unresolved"
SparseInfer,W0099 || W0357,SparseInfer: Training-free Prediction of Activation Sparsity for Fast LLM Inference || SparseInfer: predict-then-skip weights,DATE 2025 || 2024 || arXiv 2024,"same short name only; source family, venue or identity remains unresolved"
CompRRAE,W0108 || W0366,CompRRAE: RRAM-based Convolutional Neural Network Accelerator with Reduced Computations through a Runtime Activation Estimation || CompRRAE MSB-first bound early-stop for approximate compute,ASP-DAC 2019 || arXiv 2019,"same short name only; source family, venue or identity remains unresolved"
USEFUSE,W0124 || W0368,USEFUSE: Uniform stride for enhanced performance in fused layer architecture of deep neural networks || USEFUSE unfinished intermediate MSB consumption,Journal of Systems Architecture 2025 || journal (待核) 2025,"same short name only; source family, venue or identity remains unresolved"
Xpikeformer,W0174 || W0343,Xpikeformer: Hybrid Analog-Digital Hardware Acceleration for Spiking Transformers || Xpikeformer: hybrid AIMC + stochastic spiking attention,IEEE TVLSI 2025 || IEEE (journal 待核) 2024,"same short name only; source family, venue or identity remains unresolved"
ASTER,W0175 || W0345,ASTER: Attention-based Spiking Transformer Engine for Event-driven Reasoning || ASTER layer-skip / spike transformer related,arXiv 2025,"same short name only; source family, venue or identity remains unresolved"
S3Net,W0218 || W0359,S3Net: Spatiotemporally Separated Sparse Network for Neuromorphic Vision Processing || S3Net / submanifold sparse front-end,AAAI 2026 || 待核,"same short name only; source family, venue or identity remains unresolved"
SPARTA,W0252 || W0344,完整题名待核；SPARTA || SPARTA Spiking Transformer accelerator,ICCAD 2025,"same short name only; source family, venue or identity remains unresolved"
DeltaCNN,W0288 || W0361,DeltaCNN: End-to-End CNN Inference of Sparse Frame Differences in Videos || DeltaCNN / MotionDeltaCNN temporal delta convolution,CVPR 2022 || CVPR 2022；CUDA/PyTorch 实现公开 || 待核,"same short name only; source family, venue or identity remains unresolved"
Ultra-Flow,W0292 || W0335,完整题名待核；Ultra-Flow（Ling et al.） || Ultra-Flow FPGA optical flow,FPL 2022,"same short name only; source family, venue or identity remains unresolved"
Eyeriss,W0380 || W0718,Eyeriss row-stationary CNN accelerator || Eyeriss,ISCA 2016 || ISSCC 2016 / JSSC 2017，芯片工作,"same short name only; source family, venue or identity remains unresolved"
