idea_id,information_gain,information_gain_low,information_gain_high,originality_vs_search,originality_vs_search_low,originality_vs_search_high,feasibility,feasibility_low,feasibility_high,aee_risk,aee_risk_low,aee_risk_high,qualitative_review,uncertainties,evidence_status,ethics_status
I001,5,4,5,4,3,5,5,4,5,2,1,3,Algorithm-native leaf; T0 unknown,ep34 share unknown,challenge-located,not-applicable
I002,4,3,5,3,2,4,4,3,5,2,1,3,Token skip real; window skip not,row grain unaligned,challenge-located,not-applicable
I003,4,3,5,3,2,4,3,2,4,4,3,5,Cheapest algo face,AEE regression,support-located,not-applicable
I004,4,3,5,2,2,3,4,3,5,2,1,3,Big-share circuit face,LoAS prior,support-located,not-applicable
I005,3,2,4,1,1,2,5,4,5,2,1,3,Largest CPU number,unoriginal broadcast,challenge-located,not-applicable
I006,2,1,3,1,1,2,4,3,5,2,1,4,Prosperity copy,title novelty,challenge-located,not-applicable
I007,3,2,4,3,2,4,4,3,5,2,1,3,Neuron island,not first mixed-T,search-incomplete,not-applicable
I008,3,2,4,2,1,3,2,1,3,2,1,3,Decoder share,no Table-A,search-incomplete,not-applicable
I009,3,2,4,2,2,3,2,1,3,2,1,3,Layout steal,macro mapping,support-located,not-applicable
I010,3,2,4,3,2,4,2,1,3,3,2,4,Training-only face,not a circuit,search-incomplete,not-applicable
I011,3,2,4,2,1,3,3,2,4,4,3,5,BN identity,1.47 prior,mixed,not-applicable
I012,4,3,5,3,2,4,5,4,5,1,1,2,Term-wise skip hangs on I001,SV fusion unknown,no-direct-evidence-located,not-applicable
I013,3,2,4,2,1,3,2,1,3,3,2,4,CICC analog; different object,no activation traces,support-located,not-applicable
