view_index,idea_ref,name,view_type,catalog_id,interface_family,family_name,coverage_state,original_A,original_B,original_X,concrete_family_execution,family_evidence,view_specific_remaining,remaining_executable_interface,next_batch,external_gap,execution_scope,stale_source_status,source,original_boundary
0,MAIN-R002,GustavSNN,per_paper_fusion_hint,W0002,F01,稀疏NRV×W供数/共享索引,已实做局部；完整原作未迁,CPTB 柱并行时间批、每PE膜/状态驻留、NRV/NR4 双缓冲、L1D/merger、双口共享W与同k-ID屏障——作为供数与执行分母可继承到 lifting 源字对齐。,普通稠密供数；未对齐 Gustav 的 residual PSN；仅广播式弱分母（已被审计否定）。,无标题级 X：明确借入底座。差分只在「与 lifting 源字打包后的并集费用是否下降」。,2tile×4ID完整C384→T10的原双指针RTL，以及本轮同址合并/冷cache CPU前端,psn/rtl/gp_slice/intersection_result.json;open_fusion_execution/breadth_20260912/coverage_owned/shared_index_results.json,对齐后并集费用不降或不改 Stage B 结论 → 停「当标题」，保留底座。 | 8×8完整调度/带宽；同址W与索引广播/驻留强控制；完整producer→FC1→PSN→FC2→BN2/shortcut。当前四ID重复读索引的负结果只能描述本地切片，不能作为原作分母。 / 完整适配本任务 θg、非因果 T10、实际存储/供数与生产成本尚未全部完成。 || 完整64PE/源SRAM/PSN/FC2；与Prosperity同资源净收益≥10-15%,8×8完整层、索引与源/NR4并行生成、真实冷DMA、后继FC2/BN2；本文CPU不覆盖这些,B1,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F5 底座；可与 Stage B 并行准备接口，但不抢 schedule_compare 档期。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,不得冒用原作 PPA；本地 2×4 功能切片≠完整 8×8；θg/非因果 T10 适配未宣称等价原 LIF。
1,MAIN-R003,LoAS,per_paper_fusion_hint,W0003,F02,时间类别/FTP/在途上下文,已实做固定F_live2；其余布局开放,真正时间维并行（FTP）与 dual-sparse spMspM 作为时间打包强对照；Algorithm 1 级归约/分发先验。,串行 scatter 弱分母；特定共享组织（本地已测加法降但周期升）。,共享变体不作主创新；完整 FTP 作强控制。Vσ跨BN因R>T失败只停该表示。,packed-class/time与有限NR4；本轮同P4×R7×F2=56字S/总双NR4的352次CPU数值排程，F1同预取/合并/编译权限，当前F2布局未胜最强F1,psn/rtl/gp_slice/intersection_result.json;open_fusion_execution/breadth_20260912/coverage_owned/flive2/results.json;open_fusion_execution/breadth_20260912/coverage_owned/flive2/README.md,相对 direct 仅加法降而服务周期升 → 停该共享组织。 | 完整LoAS编码/控制/神经元链与checkpoint数值输入；目前同负载功能诊断不是全网或DC/PT/FM闭环。 / 完整 dual-sparse 数据流与当前非因果消费者联合迁移尚不完整。,完整阵列、不同NRV推进/包所有权的多上下文布局及source16+consumer80交织；F4未试且本轮不扫，不扩大候选容量,B2,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F2 对照（时间打包/共同完成）；不直接当 Stage B 主实验。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,同负载功能诊断≠全网 DC/PT/FM；完整编码/神经元链未迁入。
2,MAIN-R004,ExSpike / APEC,per_paper_fusion_hint,W0004,F03,重复/包含关系/有限公共部分和,只停旧布局,ExSpike/APEC 式活动/乘积稀疏与多消费者共享接口（非当前失败的 G4 融合布局）。,Prosperity∪APEC-θ 当前 G4 完整算子（已慢于同资源 Prosperity）。,完整 ExSpike 非 C1 部分仍可能有未试接口；失败的是特定 G4 融合。,M20/K16/H8完整K864的TCAM/列流与当前融合已测，元数据税抵消算术收益,open_fusion_execution/EXECUTION_QUEUE.md,再出现同资源慢于 Prosperity → 停该融合布局。 | 完整事件压缩格式、APEC生成/消费、有限缓冲与全部执行路径；不能只用免费intersection或高稀疏toy。 / 作者完整压缩/检测/调度与适配缓存层次的联合迁移未完成。,固定lifting子图的受限匹配、跨K有限父值生命周期；完整Prosperity/Phi/ExSpike不是旧融合结果,B6,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F3 相关；第二队列；不抢 Stage B。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,CPU 有限服务模型≠VCS 闭环；不得把 G4 负结果扩成家族失败。
3,MAIN-R005,Phi,per_paper_fusion_hint,W0005,F03,重复/包含关系/有限公共部分和,只停旧布局,层次 pattern / PWP / 处理器式稀疏执行组织可作结构剪枝与执行解耦对照。,平坦稠密；无层次 pattern 的剪枝。,层次 pattern 本身≠本地标题；只有落到 r1 物理源字删字且过 AEE 才有差分。,M20/K16/H8完整K864的TCAM/列流与当前融合已测，元数据税抵消算术收益,open_fusion_execution/EXECUTION_QUEUE.md,不胜 HiNM/窄稠密或破 AEE → 停该布局。 | 原八输入并行归约、PWP存储/预取、冲突处理及完整Phi→TA式融合；不能只与每次重算基的弱Phi比。 / 原 PAFT 在 ep34 上的完整训练、层间布局与执行仍未做。,固定lifting子图的受限匹配、跨K有限父值生命周期；完整Prosperity/Phi/ExSpike不是旧融合结果,B6,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F1 对照轴；Stage B 后可挂。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,未完整迁移原处理器；勿搬 PPA。
4,MAIN-R027,VENOM,per_paper_fusion_hint,W0021,F04,物理源字删读/结构化剪枝,已实做局部；新训练布局未试,结构化/模式稀疏与官方剪枝代码级先验；可作 F1 开源强对照工具链一端。,非结构化幅值剪枝；无模式约束。,模式稀疏训练/内核≠自动 X；需同槽服务对比。,global/phase/row-phase源门剪枝、请求前地址生成、同mask/all_keep控制,open_fusion_execution/stage_20260912/hardware/mask_fusion_global_group2.json;open_fusion_execution/stage_20260912/hardware/mask_fusion_all_keep.json,同服务不胜窄稠密 → 停该模式布局。 | 完整column-loc/行内索引、pairwise OBS、渐进恢复和Spatha输入/输出bank处理。 / 完整向量格式、OBS 类保留权重补偿和渐进训练；与真实 P4 源字及 FC1/PSN 生命周期一起比较 || 完整OBS保留权重补偿；T10消费损失目标,同预算窄稠密、2:4、VENOM/HiNM完整训练；真实物理字并集目标而非分支稀疏率,B3,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F1 强对照；Stage B 后可挂。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,官方代码读过≠本地完整迁入 GPU/ASIC。
5,MAIN-R029,TASD,per_paper_fusion_hint,W0022,F02,时间类别/FTP/在途上下文,已实做固定F_live2；其余布局开放,时间/结构感知稀疏调度先验，可对照 lifting 半步边界上的组完成。,静态窄层；无时间感知调度。,调度先验借入；挂点必须换到本地半步/RNE 才可能差分。,packed-class/time与有限NR4；本轮同P4×R7×F2=56字S/总双NR4的352次CPU数值排程，F1同预取/合并/编译权限，当前F2布局未胜最强F1,psn/rtl/gp_slice/intersection_result.json;open_fusion_execution/breadth_20260912/coverage_owned/flive2/results.json;open_fusion_execution/breadth_20260912/coverage_owned/flive2/README.md,预测费吞收益或 AEE 破门 → 停。 | 完整项选择/提取器、例外真实物理字触达和多项累加，只跑一次PSN的同精度执行。 / 完整张量分解、额外项恢复和合并费用；在 θg/完整 T10 下的实际源字与输出状态比较,完整阵列、不同NRV推进/包所有权的多上下文布局及source16+consumer80交织；F4未试且本轮不扫，不扩大候选容量,B2,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F2；第二队列。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,未完整迁入；图11级方法不等于本任务精度门。
6,MAIN-R031,SCNN,per_paper_fusion_hint,W0024,F01,稀疏NRV×W供数/共享索引,已实做局部；完整原作未迁,压缩稀疏卷积数据流经典底座：非零探测、笛卡尔积式稀疏执行、PE 间传递。,稠密卷积；忽略激活稀疏的加速器。,SCNN 是祖先底座≠X；本地 PSN/门控消费者接口不同。,2tile×4ID完整C384→T10的原双指针RTL，以及本轮同址合并/冷cache CPU前端,psn/rtl/gp_slice/intersection_result.json;open_fusion_execution/breadth_20260912/coverage_owned/shared_index_results.json,计费口径无法对齐 same-port → 仅作文献对照不停主实验。 | 完整输入/输出halo、bank冲突与压缩finish；两Conv+PSN+BN2/shortcut同域融合目前未闭。 || -,8×8完整层、索引与源/NR4并行生成、真实冷DMA、后继FC2/BN2；本文CPU不覆盖这些,B1,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F1/F5 数据流对照；旁路主岛时作方法学参照。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,CNN 假设；直接搬到 T10 PSN 非法。
7,MAIN-R103,LUT-DLA,per_paper_fusion_hint,W0087,F05,时间因子结构/常量编译/配对训练,已实做匹配训练、新825、局部执行及GPU halo,LUT/查表式算术与编译到固定函数单元的先验，贴近 da4ml CSE/逻辑网思路。,通用 MAC 阵列；无表驱动折叠。,表驱动折叠借入；本地已有 CSE，单独搬 LUT-DLA 不构成标题。,保留旧RTL/35RNE/DFS；新三结构同父320步恢复/十帧/新常量公共RTL及matched局部六例CPU已执行；另同规则两项signed-PoT固定投影dense/lifting已做CPU门差和公共RTL，指数/cutoff/下游不变，量化新函数两臂十帧过NB0、四局部链及实际GPU整数端点匹配,open_fusion_execution/stage_20260912/hardware/rtl_source/schedule_controls.json;open_fusion_execution/breadth_20260912/algorithm/matched_training/run.json;open_fusion_execution/breadth_20260912/source_execution/;open_fusion_execution/breadth_20260912/hardware/matched_local_chain/;open_fusion_execution/breadth_20260912/algorithm/valid825/run.json;open_fusion_execution/breadth_20260912/source_constant_probe/summary.json,不降并集逻辑需求 → 不进入标题候选。 | 分阶段训练完整流程、实际table bank/128bit字、LUT INT8同AEE、常量PSN尾编译；不把token频率当请求权重。 / 完整 CCM、队列、IMM/LS 及生产消费者排程；同字典/训练/资源的全链强基线 || 表INT8 QAT；CCM距离/argmin完整；IMM查表/局部累加；LS双缓冲；LUTBoost分阶段训练,主三臂825/GPU halo、两项新函数diverse10及四halo已完成；真实I24全层/新参数完整下游、普通小RF同权交织、不同配对/PIT完整恢复仍开放,B3,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",底座/对照；不抢 Stage B。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,Algo1 级已读；未完整迁入训练/综合。
8,MAIN-R110,APEX,per_paper_fusion_hint,W0090,F06,精确证书/整组接受与回退,只停旧证书/旧早停布局,近似/精度可调执行与早期退出式费用交换先验。,固定全精度全算。,近似执行≠证书跳过；需本地 finite 互斥与 AEE 门。,原9/11已做严格equal-a/水平P2分级余量；本轮独立复放同305760lane及38220SIMD8证书命中0，不计新接口，未停不同参考轴,PRO_GROK_REVIEW_20260911.md;open_fusion_execution/EXECUTION_QUEUE.md;open_fusion_execution/breadth_20260912/rounding_margin/results.json,验证/近似费≥省下的计算 → 停该布局。 | 完整训练/编码/兴奋抑制修正/输出，真实θg及同模型精度；原40nm结果不迁本地。 / 原文完整精确推理数据流未在 ep34 上验证。,新参考轴/可训裕度/连续消费者联合接受，比较应不先算原乘法；量化稳定不等于门正确,B5,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F4/F2 旁路；第二队列。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,§II-B/III-B/E；非完整系统迁入。
9,MAIN-R324,Tambe Sparse Transformer Processor,per_paper_fusion_hint,W0296,F15,注意力/残差算子替换或训练,未试此网络替换,稀疏 Transformer 处理器数据流与 token/注意力稀疏硬件接口。,稠密注意力；FlashAttention 类软件核（非芯片对照）。,解码器旁路可能省费用；搬到 r1 主岛易诱拐课题。,原打分叶分析不等于SDSA/QKFormer/STSA/SLI等新网络恢复,open_fusion_execution/catalog/idea_views.csv,主岛 AEE/净服务无增益 → 停进主贡献。 | 光流可用的廉价判据、校准、错误代价、FP4/8与V/F联合控制；不能借用原文实测收益。,只替换一个固定block、同训练预算与原head比较；IAND不能无损删PED,B8,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F7 旁路；明确不进主岛、不抢 Stage B。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,任务与光流 SNN PSN 主岛不同；勿用 LLM serving 指标替代 AEE/净服务。
