priority,item,decision_gate,expected_paper_effect,status
P0,TSBG fair VCS result review,Independent seal and zero P0-P2,Admit directed RTL request reduction,PASS 99/100
P0,TSBG fair matched DC,Same ports cache scheduler constraints; setup met; area overhead <=10%,Physicalize C2 delivery specialization,PASS 99/100; area overhead 0.0117568%; hold open
P0,C1 model to RTL calibration,Accepted service and commit counts match on a small frozen trace,Strengthen the 1.6945x model claim,PASS 100/100; one ep34 64-row real-mask tile
P0,ep34 INT8 operator bridge,160 calls 8 operators full-output metrics plus integer oracle,Bind static export to real operators,PASS 99/100; 3.272B outputs and 1280 oracle probes
P0,ep34 hardware-order valid825,Candidate minus baseline AEE <= 0.02,Bind algorithm accuracy to deployment arithmetic,"PASS; 1.199514 to 1.197367; two independent result audits; frozen-baseline referenced"
P0,ISCAS four-page draft,No pending claims in abstract; one unified result table,Raise presentation readiness,NewTX IEEEtran compile PASS after M2045 insertion; 4 letter-size pages; no overfull boxes; balanced final columns; visual QA PASS
P1,C2 symmetric hold cleanup,Both K8 and K1x8 repaired under the same post-CTS method,Replace hold-open physical row,optional; no more buffer-only DC sweeps
P1,TSBG SAIF or SRAM access energy,Same activity window and storage assumptions,Add energy evidence,optional
P1,decoder D0 replay,Sealed full replay,Add workload breadth only,running in background
DROP,Shiftmax threshold pruning,Requires separate AEE Pareto and unique benefit beyond exact skips,Do not distract C1/C2,not started
DROP,full-system Table A as submission gate,ISCAS component paper does not require it,Save integration time,removed from P0
