id,category,name,full_title,venue,venue_verification,entity_type,depth,role,status,reason,what_untried,source_url,evidence_file
R001,稀疏架构与C1/C2,Prosperity,Prosperity: Accelerating Spiking Neural Networks via Product Sparsity,HPCA 2025,本轮作者/出版社/会议一手元数据核验,paper,全文与官方模拟器已读；原作/模拟器tie差异已核,C1产品稀疏及完整PPU对照,已纳入强底座；完整移植仍不完整,旧C1继承精确子集父行、dispatch与product capture；后续运行官方run_fc全单算子循环。Prosperity+Phi/APEC特定融合在同资源CPU比较未胜，不能写成Prosperity失败。；条件变化：新训练的时间码/剪枝改变支持分布，可重评原法；不能沿用旧分布的融合负结果作总否定。,完整Detector/Pruner/Dispatcher/Processor双缓冲与内外tiling、attention/neuron/SFU统一硬件链；原版256×16×128与本地64×16×96公平资源对齐。九宏是同地址宽度slice，不是九个独立bank。,https://arxiv.org/abs/2503.03379；https://arxiv.org/html/2503.03379v2,/home/zhumd/work/ideafromai/research/prosperity_fusion_20260906/architecture_map.md；/home/zhumd/work/ideafromai/research/complete_transfer_20260907/README.md；/home/zhumd/work/ideafromai/research/same_workload_c1c2_20260907/README.md
R002,稀疏架构与C1/C2,GustavSNN,GustavSNN: Unleashing the Power of Gustavson's Algorithm on SNN Acceleration with Column-Parallel Tick-Batch Dataflow,2026 IEEE International Symposium on High Performance Computer Architecture (HPCA) 2026,出版方 DOI 元数据已核（根节点公共缓存）；不等于全文已读,paper,全文已读（§IV–VII；本地公开镜像） / 已读主文 §IV–VII；本地迁移 CPTB/NRV/merger/有限状态与完整层模型，非原论文芯片复现,当前C2柱并行时间批、私人NRV/L1D、W共享与双稀疏完整底座 / SNN/事件电路或架构强先验,已纳入paper-guided CPU及2×4功能RTL；未完成原作全系统 / 纳入；不冒用原作 PPA,原作不只是广播：CPTB、每PE膜驻留、NR4双缓冲、L1D/merger、双口共享W、同k-ID屏障及双指针均已逐项研究。切片已接C384→全部T10门；144/352任务功能通过不等于完整Gustav性能复现。；条件变化：早期只因接近广播降级已过时；固定BN/训练码使非因果消费者可编译，但不是将原LIF替换成原ep34 full-rank PSN而免费等价。 / 已完整读 CPTB/NRV/L1D/merger/局部膜与跨 PE 同步；作为迁移底座。F_cache/NR4/普通时间行共同优化后不能沿用旧弱分母收益。,8×8完整调度/带宽；同址W与索引广播/驻留强控制；完整producer→FC1→PSN→FC2→BN2/shortcut。当前四ID重复读索引的负结果只能描述本地切片，不能作为原作分母。 / 完整适配本任务 θg、非因果 T10、实际存储/供数与生产成本尚未全部完成。,https://doi.org/10.1109/HPCA68181.2026.11408587；https://2026.hpca-conf.org/program/program-hpca-2026/Detailed-Timeline,/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/architecture_followup_20260908.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/psn/gustavsnn_implementation_status_20260908.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/psn/rtl/gp_slice/README.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md；/home/zhumd/work/ideafromai/research/11_event_camera_stack_accelerators.md；/home/zhumd/work/ideafromai/research/grok46_20260905/04_paper_survey.md；/home/zhumd/work/ideafromai/research/fusion_delivery_20260907/report-source.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/README.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/psn/gustavsnn_migration_notes.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/psn/gustavsnn_reference_notes.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/psn/direct_class_review.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/psn/gustavsnn_hardware_direction.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/patch_temporal_dependency_review_20260908.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/algorithm/patch_probe/partial_completion/README.md
R003,稀疏架构与C1/C2,LoAS,LoAS: Fully Temporal-Parallel Dataflow for Dual-Sparse Spiking Neural Networks,MICRO 2024,本轮作者/出版社/会议一手元数据核验,paper,全文已读（FTP及Algorithm 1）；非仅摘要 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,C2完整时间维并行、两侧稀疏 / SNN / 注意力 / 事件视觉算法或硬件先验,已纳入真正T并行强对照；共享变体停止作主创新 / 强时间打包底座,r4已用真实8bank并发及每bank T10并行累加，修正了早期单源/串行scatter弱分母；特定共享相对direct加法下降8.9552%而服务周期增加0.23454%。；条件变化：后续训练K8改变自然R>T，值得把完整FTP继续作为强控制；失败的是特定共享组织。 / 完整时间签名归约/分发属于强先验；Vσ 跨 BN 保存因 R>T 失败只停止该表示。,完整LoAS编码/控制/神经元链与checkpoint数值输入；目前同负载功能诊断不是全网或DC/PT/FM闭环。 / 完整 dual-sparse 数据流与当前非因果消费者联合迁移尚不完整。,https://arxiv.org/abs/2407.14073；https://arxiv.org/html/2407.14073v3,/home/zhumd/work/ideafromai/research/fusion_delivery_20260907/report-source.md；/home/zhumd/work/ideafromai/research/same_workload_c1c2_20260907/c2/README_R4.md；/home/zhumd/work/ideafromai/research/same_workload_c1c2_20260907/README.md；/home/zhumd/work/ideafromai/codex_independent_20260905/02_literature_and_alternative_ideas.md；/home/zhumd/work/ideafromai/research/complete_transfer_20260907/report-source.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/README.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/patch_trainable_fusion_followup_20260908.md；/home/zhumd/work/ideafromai/research/hardware_innovation_execution_plan_20260908.md；/home/zhumd/work/ideafromai/research/idea_reassessment_four_questions_20260907.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md；/home/zhumd/work/ideafromai/research/prosperity_fusion_20260906/README.md；/home/zhumd/work/ideafromai/research/same_workload_c1c2_20260907/c2_independent_review.md；/home/zhumd/work/ideafromai/research/same_workload_c1c2_20260907/c2_parallel_independent_review.md；/home/zhumd/work/ideafromai/research/same_workload_c1c2_20260907/report-source.md
R004,稀疏架构与C1/C2,ExSpike / APEC,ExSpike: A General Full-Event Neuromorphic Architecture for Exploiting Irregular Sparsity with Event Compression,FPL 2026,本轮作者/出版社/会议一手元数据核验,paper,全文相关方法精读（§III-A2/Fig.5）；本轮作者arXiv身份更新 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,事件压缩及跨位置公共输入贡献 / SNN / 注意力 / 事件视觉算法或硬件先验,APEC进入C1融合CPU比较；完整ExSpike未迁入 / 完整先验，停止限定旧融合布局,APEC曾被误当事件坐标合并；已纠正为多个位置公共通道贡献。与Prosperity融合的特定静态基/残差组织未胜，不能据此否定APEC完整方法。；条件变化：arXiv v2写Accepted by FPL2026，旧“无会议预印本”标签应更新；算法可训练后支持集合不再等于旧捕获。 / APEC 是输入空间组共享贡献，再重建残差；固定小缓存负结果只约束该 C1 布局。,完整事件压缩格式、APEC生成/消费、有限缓冲与全部执行路径；不能只用免费intersection或高稀疏toy。 / 作者完整压缩/检测/调度与适配缓存层次的联合迁移未完成。,https://arxiv.org/abs/2606.20414,/home/zhumd/work/ideafromai/research/concept_reassessment_20260906/report-source.md；/home/zhumd/work/ideafromai/research/prosperity_fusion_20260906/README.md；/home/zhumd/work/ideafromai/research/same_workload_c1c2_20260907/README.md；/home/zhumd/work/ideafromai/research/handoff_reconciliation_20260906/report-source.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/patch_conditional_fusion_followup_20260908.md；/home/zhumd/work/ideafromai/research/idea_reassessment_four_questions_20260907.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md；/home/zhumd/work/ideafromai/research/mechanism_rebuild_gh_20260906/report-source.md；/home/zhumd/work/ideafromai/research/same_workload_c1c2_20260907/five_ideas_reassessment.md；/home/zhumd/work/ideafromai/research/same_workload_c1c2_20260907/report-source.md
R005,稀疏架构与C1/C2,Phi,Phi: Leveraging Pattern-based Hierarchical Sparsity for High-Efficiency Spiking Neural Networks,ISCA 2025,本轮作者/出版社/会议一手元数据核验,paper,全文已读（层次pattern、PWP和处理器） / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,模式基部分和、层次稀疏与预计算权重模式 / SNN / 注意力 / 事件视觉算法或硬件先验,部分CPU迁移；onehot类共享成为强基线 / 强模式稀疏训练底座,本地按需Phi基结果+纯残差森林在选定q8/cap16上比原Prosperity多加法/系数读；这只是变体。后续onehot7类聚合仍被采用为最强普通控制。；条件变化：原自然高签名数失败条件被训练固定K8改变；静态模式方法仍应保留。 / PAFT 是本文内部训练方法；本地 K8/类别实验不等于完整 Phi 复现。,原八输入并行归约、PWP存储/预取、冲突处理及完整Phi→TA式融合；不能只与每次重算基的弱Phi比。 / 原 PAFT 在 ep34 上的完整训练、层间布局与执行仍未做。,https://arxiv.org/abs/2505.10909,/home/zhumd/work/ideafromai/codex_independent_20260905/02_literature_and_alternative_ideas.md；/home/zhumd/work/ideafromai/research/prosperity_fusion_20260906/README.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/README.md；/home/zhumd/work/ideafromai/codex_independent_20260905/01_review_and_selective_shared_reduction.md；/home/zhumd/work/ideafromai/research/c1_prosperity_fusion_20260906/README.md；/home/zhumd/work/ideafromai/research/codex_deep_rebuild_20260906/report-source.md；/home/zhumd/work/ideafromai/research/complete_transfer_20260907/report-source.md；/home/zhumd/work/ideafromai/research/fusion_delivery_20260907/report-source.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/psn/direct_class_review.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/psn/gustavsnn_migration_notes.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md
R006,稀疏架构与C1/C2,TA / Transitive Array,Transitive Array: An Efficient GEMM Accelerator with Result Reuse,ISCA 2025,本轮作者/出版社/会议一手元数据核验,paper,全文相关章节已读（§2–4）,Hasse图、传递复用和依赖调度,结果复用图/虚父节点部分迁移；完整阵列未试,已用于识别C1虚父/交集/保留父提升不是新代数，有限CPU变体增量很薄。不能将特定贪心parent选择失败等价原TA无效。；条件变化：可改变训练支持/存储口数，旧冻结64行限制不是永久排除条件。,完整TA阵列、scoreboard/虚拟节点调度、与Phi基图联合的公平硬件服务；动态发现与有限存储成本。,https://arxiv.org/abs/2504.16339,/home/zhumd/work/ideafromai/research/c1_prosperity_fusion_20260906/README.md；/home/zhumd/work/ideafromai/research/c1_retained_parent_promotion_20260907/README.md；/home/zhumd/work/ideafromai/research/prosperity_fusion_20260906/README.md
R007,稀疏架构与C1/C2,Comperity,Comperity: A Stateless Spiking Neural Network Accelerator with Differential Spike Encoding,ACM Transactions on Architecture and Code Optimization 2026,出版方 DOI 元数据已核（根节点公共缓存）；不等于全文已读,paper,仅出版社元数据/摘要；全文获取仍有缺口 / 方法深度各异：Gustav 有全文与实现迁移；多数宏仅本地引文/元数据核查,差分spike编码与无状态执行 / SNN/事件电路或架构强先验,保留完整先验缺口；未实验 / 纳入；不冒用原作 PPA,不能把XOR-GEMM差分复用冒充Motion-XOR分数，也不能凭名字判与我们的路径等价。现有笔记尚未完成全文方法对照。；条件变化：Crossref已核TACO出版2026-07-24；ACM访问失败不代表论文不存在。 / 差分 spike 编码是原机制，XOR-GeMM 不等于 H67 Motion-XOR。,获取正文与完整算术/状态/编码成本，核与θg、非因果T10及K-as-V兼容性；没有原法同负载迁移。 / 完整适配本任务 θg、非因果 T10、实际存储/供数与生产成本尚未全部完成。,https://doi.org/10.1145/3828526,/home/zhumd/work/ideafromai/research/prosperity_fusion_20260906/README.md；/home/zhumd/work/ideafromai/research/grok46_20260905/04_paper_survey.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md；/home/zhumd/work/ideafromai/research/11_event_camera_stack_accelerators.md；/home/zhumd/work/ideafromai/research/codex_deep_rebuild_20260906/report-source.md；/home/zhumd/work/ideafromai/research/c1_prosperity_fusion_20260906/README.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/candidate_cards_v1.md
R008,稀疏架构与C1/C2,RSR / RSR++,An Efficient Matrix Multiplication Algorithm for Accelerating Inference in Binary and Ternary Neural Networks,ICML 2025,本轮作者/出版社/会议一手元数据核验,paper,全文已读；递归分组算法CPU实现,签名类和递归部分和共享,完整算法级参考与有界变体已试；硬件全迁未做,RSR/RSR++是同一论文方法，不能列成两篇。原静态二值/三值矩阵转用于动态时间支持时需付分组、目录、S和散射；自然R>T宽状态版本不利。；条件变化：训练K8后类别数已受限，旧自然R>T负结果不再直接成立。,完整递归元数据和供数有限硬件；有界D8原型不是完整RSR++，不得替代生产C2分母。,https://arxiv.org/abs/2411.06360；https://arxiv.org/html/2411.06360v3,/home/zhumd/work/ideafromai/research/fusion_delivery_20260907/report-source.md；/home/zhumd/work/ideafromai/research/c2_temporal_shared_protocol_20260907/contract.md；/home/zhumd/work/ideafromai/research/complete_transfer_20260907/README.md
R009,稀疏架构与C1/C2,Mailman,The Mailman algorithm: A note on matrix–vector multiplication,Information Processing Letters 2009,本轮作者/出版社/会议一手元数据核验,paper,原文相关算法已读,有限字母表矩阵向量乘法,数学强先验；选择性共享部分和已借鉴,按目的mask建共享和不是新代数；需有限预处理/目录/结果存储，不能按免费类桶宣称新电路。；条件变化：从任意自然支持改训练有限码字使适用条件更好；方法先验仍保留。,原法块划分及预处理完全收费的实现；高幅值θ应静态折系数，不是把源码变成任意INT8。,https://www.sciencedirect.com/science/article/pii/S0020019008002949；https://cs.yale.edu/homes/el327/papers/mailmanAlgorithm.pdf,/home/zhumd/work/ideafromai/codex_independent_20260905/01_review_and_selective_shared_reduction.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md
R010,稀疏架构与C1/C2,SumMerge,SumMerge: An Efficient Algorithm and Implementation for Weight Repetition-Aware DNN Inference,ICS 2021,本轮作者/出版社/会议一手元数据核验,paper,全文已读（§3.3交集）,重复权值及共享支撑的子表达式归约,交集/共享子表达式CPU变体已纳入,一般交集和选择性共享已是先验；C1虚父/残差变体没胜不能否定原静态重复权值场景。；条件变化：训练支持/重复系数能改变共享机会，不能继续用旧捕获微弱增量杀全部方向。,完整intersection发现、共享值物化/消费、布局及编译成本；本地只覆盖有限候选/缓存控制。,https://cwfletcher.github.io/content/research/2021.ics.summerge.paper.pdf；https://ics21.github.io/program,/home/zhumd/work/ideafromai/research/c1_prosperity_fusion_20260906/README.md；/home/zhumd/work/ideafromai/research/fusion_delivery_20260907/report-source.md；/home/zhumd/work/ideafromai/research/c1_retained_parent_promotion_20260907/README.md
